{ Red  Green  Blue }
 64            0             64 
 64            0             192 
 0             64            255 
 0             128           255 
 0             160           255 
 64            192           255 
 64            224           255 
 64            255           255 
 64            255           192 
 64            255           64 
 128           255           64 
 192           255           64 
 255           255           64 
 255           224           64 
 255           160           64 
 255           96            64 
 255           32            64 
 255           96            192 
 255           160           255 
 255           224           255 
