{ Red  Green  Blue }
 9             0             121 
 40            0             150 
 19            5             175 
 0             9             200 
 0             25            212 
 0             40            224 
 26            102           240 
 13            129           249 
 25            175           255 
 50            190           255 
 68            202           255 
 97            225           240 
 106           236           225 
 124           236           200 
 138           236           174 
 172           247           168 
 205           255           162 
 223           247           141 
 240           236           121 
 249           215           104 
 255           189           87 
 255           160           69 
 244           117           75 
 238           80            78 
 255           90            90 
 255           124           124 
 255           158           158 
 247           179           174 
 255           196           196 
 255           215           215 
 255           236           236 
 255           255           255 
