{ Red  Green  Blue }
 18            151           151 
 28            157           141 
 39            164           132 
 63            177           118 
 76            183           115 
 90            190           113 
 105           196           116 
 120           203           120 
 131           203           123 
 141           203           126 
 146           203           127 
 151           203           129 
 159           203           132 
 166           203           135 
 170           203           136 
 174           203           138 
 181           203           141 
 188           203           144 
 190           203           145 
 192           203           147 
 195           203           148 
 198           203           150 
 203           203           153 
 204           200           156 
 203           199           153 
 203           199           151 
 203           198           148 
 203           197           145 
 203           195           140 
 203           194           137 
 203           193           135 
 203           191           129 
 203           189           124 
 203           183           113 
 203           180           108 
 203           178           103 
 203           175           97 
 203           173           92 
 200           170           98 
 196           168           102 
 194           167           104 
 192           167           107 
 188           165           110 
 184           163           114 
 182           161           116 
 180           160           118 
 176           159           120 
 172           157           123 
 170           156           125 
 169           156           127 
 167           155           128 
 165           154           129 
 163           153           130 
 161           152           131 
 157           149           133 
 155           148           134 
 153           147           135 
 151           146           135 
 149           145           136 
 145           143           138 
 149           147           142 
 153           151           146 
 156           154           150 
 160           158           154 
 167           165           162 
 175           174           170 
 184           183           179 
 193           192           189 
 202           201           199 
 219           219           217 
 227           227           226 
 236           236           236 
 245           245           245 
 255           255           255 
