{ Red  Green  Blue }
 134           123           184 
 137           127           186 
 140           132           190 
 145           137           192 
 150           143           196 
 154           148           199 
 158           153           202 
 152           146           198 
 140           131           189 
 130           117           181 
 122           105           175 
 119           102           173 
 115           103           175 
 114           103           175 
 115           103           175 
 118           103           174 
 119           111           179 
 122           121           184 
 130           133           191 
 138           147           200 
 142           155           205 
 140           161           209 
 141           168           214 
 140           176           219 
 141           184           225 
 140           190           230 
 142           200           236 
 146           210           238 
 152           214           231 
 160           217           222 
 165           218           217 
 172           220           214 
 171           219           203 
 167           215           183 
 169           215           167 
 168           214           157 
 167           212           146 
 168           211           134 
 168           210           124 
 169           210           119 
 169           210           118 
 170           210           118 
 172           211           117 
 173           211           117 
 176           212           117 
 180           214           119 
 184           215           120 
 189           217           122 
 194           219           123 
 196           220           126 
 201           222           133 
 205           225           141 
 210           227           148 
 214           230           159 
 218           232           168 
 222           234           173 
 226           235           171 
 228           236           171 
 231           237           170 
 235           238           169 
 239           239           170 
 241           240           170 
 244           240           169 
 247           238           164 
 250           231           116 
 252           216           79 
 252           203           80 
 251           191           74 
 252           182           73 
 250           173           73 
 249           164           74 
 248           153           75 
 247           144           77 
 246           137           77 
 245           131           76 
 245           126           75 
 244           119           72 
 244           115           70 
 243           110           70 
 243           108           69 
 242           106           68 
 242           104           68 
 241           102           71 
 241           103           76 
 241           107           83 
 242           113           92 
 242           120           101 
 243           127           108 
 244           133           117 
 245           138           125 
 245           143           134 
 243           137           145 
 240           131           157 
 231           126           171 
 213           117           174 
 198           111           173 
 208           132           184 
 220           154           195 
 230           176           207 
