{ Red  Green  Blue }
 254           254           254 
 250           250           250 
 246           246           246 
 242           242           242 
 238           238           238 
 233           233           233 
 230           230           230 
 226           226           226 
 222           222           222 
 219           219           219 
 216           216           216 
 212           212           212 
 208           208           208 
 205           205           205 
 202           202           202 
 198           198           198 
 196           196           196 
 192           192           192 
 188           188           188 
 186           186           186 
 183           183           183 
 180           180           180 
 177           177           177 
 174           174           174 
 171           171           171 
 168           168           168 
 166           166           166 
 163           163           163 
 160           160           160 
 158           158           158 
 155           155           155 
 152           152           152 
 150           150           150 
 148           148           148 
 146           146           146 
 142           142           142 
 140           140           140 
 138           138           138 
 136           136           136 
 134           134           134 
 132           132           132 
 130           130           130 
 128           128           128 
 125           125           125 
 123           123           123 
 121           121           121 
 119           119           119 
 116           116           116 
 115           115           115 
 113           113           113 
 112           112           112 
 110           110           110 
 108           108           108 
 106           106           106 
 104           104           104 
 102           102           102 
 101           101           101 
 99            99            99 
 98            98            98 
 96            96            96 
 94            94            94 
 93            93            93 
 92            92            92 
 90            90            90 
 88            88            88 
 86            86            86 
 84            84            84 
 82            82            82 
 80            80            80 
 78            78            78 
 76            76            76 
 75            75            75 
 74            74            74 
 72            72            72 
 71            71            71 
 70            70            70 
 69            69            69 
 68            68            68 
 66            66            66 
 64            64            64 
 62            62            62 
 60            60            60 
 58            58            58 
 56            56            56 
 54            54            54 
 52            52            52 
 51            51            51 
 50            50            50 
 48            48            48 
 47            47            47 
 46            46            46 
 44            44            44 
 43            43            43 
 42            42            42 
 41            41            41 
 40            40            40 
 39            39            39 
 38            38            38 
 37            37            37 
 36            36            36 
 35            35            35 
 34            34            34 
 33            33            33 
 32            32            32 
 31            31            31 
 30            30            30 
 28            28            28 
 27            27            27 
 26            26            26 
 25            25            25 
 24            24            24 
 23            23            23 
 22            22            22 
 21            21            21 
 20            20            20 
 19            19            19 
 18            18            18 
 17            17            17 
 16            16            16 
 15            15            15 
 14            14            14 
 13            13            13 
 12            12            12 
 11            11            11 
 10            10            10 
 9             9             9 
 8             8             8 
 7             7             7 
 6             6             6 
 5             5             5 
 4             4             4 
 3             3             3 
 2             2             2 
 1             1             1 
 0             0             0 
