{ Red  Green  Blue }
 153           0             255 
 136           17            255 
 119           34            255 
 102           51            255 
 85            68            255 
 68            85            255 
 51            102           255 
 34            119           255 
 17            136           255 
 0             153           255 
 27            164           255 
 54            175           255 
 81            186           255 
 108           197           255 
 134           208           255 
 161           219           255 
 188           230           255 
 215           241           255 
 241           252           255 
 51            102           0 
 51            170           68 
 96            212           117 
 187           228           146 
 202           226           155 
 217           224           163 
 232           223           172 
 247           221           181 
 254           219           182 
 253           216           175 
 251           214           169 
 249           212           163 
 248           209           156 
 246           207           150 
 245           204           143 
 243           202           137 
 241           200           130 
 240           197           124 
 238           195           117 
 236           192           111 
 234           190           104 
 233           188           98 
 231           185           91 
 229           183           85 
 227           180           78 
 226           178           72 
 224           176           65 
 222           173           59 
 220           171           52 
 219           168           46 
 217           166           39 
 210           164           38 
 204           163           37 
 197           161           36 
 191           160           35 
 184           158           34 
 178           156           33 
 171           155           32 
 168           153           31 
 167           152           30 
 167           151           29 
 166           149           28 
 166           148           27 
 165           147           27 
 165           145           26 
 164           144           25 
 164           143           24 
 163           141           23 
 163           140           23 
 163           139           22 
 163           137           21 
 162           136           20 
 162           135           19 
 162           133           19 
 161           132           18 
 161           130           17 
 161           129           16 
 160           127           15 
 160           126           15 
 159           124           14 
 159           123           13 
 159           122           12 
 158           120           11 
 158           119           11 
 157           118           10 
 157           116           9 
 157           115           8 
 156           114           7 
 156           112           7 
 155           111           6 
 155           109           5 
 155           108           4 
 154           106           3 
 154           105           2 
 153           103           1 
 153           102           0 
 154           100           12 
 155           99            24 
 157           97            36 
 158           95            47 
 159           93            59 
 160           92            71 
 161           90            83 
 163           91            91 
 165           95            95 
 167           99            99 
 169           103           103 
 172           106           106 
 174           110           110 
 176           114           114 
 178           118           118 
 179           122           122 
 179           126           126 
 180           130           130 
 181           133           133 
 181           137           137 
 182           141           141 
 183           145           145 
 184           149           149 
 185           153           153 
 187           157           157 
 188           161           161 
 190           164           164 
 191           168           168 
 193           172           172 
 194           176           176 
 195           180           180 
 197           183           183 
 198           187           187 
 199           191           191 
 201           195           195 
 202           198           198 
 203           202           202 
 206           206           206 
 209           209           209 
 212           212           212 
 216           216           216 
 219           219           219 
 222           222           222 
 226           226           226 
 229           229           229 
 231           231           231 
 232           232           232 
 234           234           234 
 236           236           236 
 238           238           238 
 239           239           239 
 241           241           241 
 243           243           243 
 245           245           245 
 246           246           246 
 248           248           248 
 250           250           250 
 252           252           252 
 253           253           253 
 255           255           255 
