{ Red  Green  Blue }
 190           254           175 
 190           253           175 
 190           252           175 
 190           251           175 
 190           250           175 
 190           249           174 
 190           248           174 
 190           247           174 
 190           246           174 
 190           245           174 
 190           244           174 
 190           243           174 
 190           242           174 
 190           241           174 
 190           240           174 
 190           239           174 
 190           238           174 
 190           236           174 
 190           235           174 
 190           234           174 
 190           233           174 
 190           232           174 
 190           231           174 
 190           230           174 
 190           229           174 
 190           228           174 
 190           227           173 
 190           226           173 
 190           225           173 
 190           224           173 
 190           223           173 
 190           222           173 
 190           221           173 
 190           220           173 
 190           219           173 
 190           218           173 
 190           217           173 
 190           216           172 
 190           215           172 
 190           214           172 
 190           213           172 
 190           212           172 
 190           211           172 
 190           210           172 
 190           209           172 
 190           208           172 
 190           207           171 
 190           206           171 
 190           205           171 
 190           204           171 
 190           203           170 
 190           201           170 
 190           200           170 
 189           198           169 
 189           197           169 
 189           196           169 
 188           195           168 
 188           194           168 
 187           193           167 
 187           192           167 
 186           190           166 
 186           189           166 
 185           188           165 
 185           187           165 
 185           186           165 
 184           185           164 
 184           184           164 
 183           182           163 
 183           181           163 
 182           180           162 
 182           179           162 
 181           178           161 
 181           177           161 
 181           176           161 
 180           174           160 
 180           173           160 
 179           172           159 
 179           171           159 
 178           170           158 
 178           169           158 
 177           168           157 
 177           167           157 
 177           166           157 
 176           165           156 
 176           164           156 
 175           163           155 
 175           161           155 
 174           160           154 
 174           159           154 
 174           158           154 
 173           157           153 
 173           156           153 
 172           155           152 
 172           154           152 
 171           153           151 
 171           152           151 
 170           151           150 
 170           150           150 
 169           150           150 
 168           151           151 
 167           152           152 
 166           153           153 
 166           154           154 
 165           155           155 
 164           156           156 
 163           157           157 
 162           158           158 
 161           158           158 
 160           159           159 
 161           161           161 
 164           164           164 
 166           166           166 
 169           169           169 
 171           171           171 
 174           174           174 
 177           177           177 
 180           180           180 
 182           182           182 
 185           185           185 
 187           187           187 
 190           190           190 
 192           192           192 
 196           196           196 
 198           198           198 
 201           201           201 
 203           203           203 
 206           206           206 
 208           208           208 
 211           211           211 
 214           214           214 
 217           217           217 
 219           219           219 
 220           220           220 
 221           221           221 
 222           222           222 
 223           223           223 
 224           224           224 
 225           225           225 
 226           226           226 
 227           227           227 
 228           228           228 
 229           229           229 
 230           230           230 
 231           231           231 
 232           232           232 
 233           233           233 
 234           234           234 
 235           235           235 
 236           236           236 
 237           237           237 
 238           238           238 
 239           239           239 
 240           240           240 
 241           241           241 
 242           242           242 
 243           243           243 
 244           244           244 
 245           245           245 
 246           246           246 
 247           247           247 
 248           248           248 
 249           249           249 
 250           250           250 
 251           251           251 
 252           252           252 
 253           253           253 
 254           254           254 
 255           255           255 
