{ Red  Green  Blue }
 255           255           255 
 254           254           254 
 253           253           253 
 252           252           252 
 251           251           251 
 250           250           250 
 249           249           249 
 248           248           248 
 247           247           247 
 246           246           246 
 245           245           245 
 244           244           244 
 242           242           242 
 241           241           241 
 240           240           240 
 238           238           238 
 237           237           237 
 236           236           236 
 235           235           235 
 234           234           234 
 233           233           233 
 232           232           232 
 231           231           231 
 230           230           230 
 229           229           229 
 228           228           228 
 227           227           227 
 226           226           226 
 225           225           225 
 224           224           224 
 222           222           222 
 220           220           220 
 219           219           219 
 218           218           218 
 216           216           216 
 214           214           214 
 213           213           213 
 212           212           212 
 210           210           210 
 209           209           209 
 208           208           208 
 206           206           206 
 205           205           205 
 204           204           204 
 202           202           202 
 201           201           201 
 200           200           200 
 198           198           198 
 197           197           197 
 196           196           196 
 194           194           194 
 193           193           193 
 191           191           191 
 190           190           190 
 188           188           188 
 187           187           187 
 186           186           186 
 184           184           184 
 182           182           182 
 181           181           181 
 180           180           180 
 178           178           178 
 177           177           177 
 176           176           176 
 174           174           174 
 172           172           172 
 170           170           170 
 168           168           168 
 166           166           166 
 164           164           164 
 163           163           163 
 162           162           162 
 160           160           160 
 159           159           159 
 158           158           158 
 156           156           156 
 154           154           154 
 152           152           152 
 151           151           151 
 150           150           150 
 148           148           148 
 146           146           146 
 145           145           145 
 144           144           144 
 142           142           142 
 140           140           140 
 139           139           139 
 138           138           138 
 136           136           136 
 134           134           134 
 133           133           133 
 132           132           132 
 130           130           130 
 128           128           128 
 126           126           126 
 125           125           125 
 124           124           124 
 122           122           122 
 121           121           121 
 119           119           119 
 118           118           118 
 116           116           116 
 115           115           115 
 114           114           114 
 112           112           112 
 110           110           110 
 109           109           109 
 108           108           108 
 106           106           106 
 105           105           105 
 104           104           104 
 102           102           102 
 101           101           101 
 100           100           100 
 98            98            98 
 97            97            97 
 96            96            96 
 94            94            94 
 93            93            93 
 92            92            92 
 90            90            90 
 89            89            89 
 88            88            88 
 86            86            86 
 85            85            85 
 84            84            84 
 83            83            83 
 82            82            82 
 80            80            80 
 79            79            79 
 78            78            78 
 77            77            77 
 76            76            76 
 74            74            74 
 72            72            72 
 71            71            71 
 70            70            70 
 69            69            69 
 68            68            68 
 66            66            66 
 64            64            64 
 62            62            62 
 60            60            60 
 59            59            59 
 58            58            58 
 56            56            56 
 54            54            54 
 52            52            52 
 50            50            50 
 49            49            49 
 48            48            48 
 47            47            47 
 46            46            46 
 44            44            44 
 43            43            43 
 42            42            42 
 40            40            40 
 39            39            39 
 38            38            38 
 37            37            37 
 36            36            36 
 34            34            34 
 32            32            32 
 30            30            30 
 29            29            29 
 28            28            28 
 27            27            27 
 26            26            26 
 25            25            25 
 24            24            24 
 23            23            23 
 22            22            22 
 21            21            21 
 20            20            20 
 19            19            19 
 18            18            18 
 17            17            17 
 16            16            16 
 15            15            15 
 14            14            14 
 13            13            13 
 12            12            12 
 11            11            11 
 10            10            10 
 9             9             9 
 8             8             8 
 7             7             7 
 6             6             6 
 5             5             5 
 4             4             4 
 3             3             3 
 2             2             2 
 1             1             1 
 0             0             0 
