{ Red  Green  Blue }
 255           1             0 
 254           2             0 
 254           3             0 
 254           4             0 
 254           5             0 
 254           7             0 
 254           8             0 
 254           9             0 
 255           11            0 
 255           13            0 
 255           14            0 
 255           15            0 
 255           17            0 
 255           18            0 
 255           19            0 
 255           20            0 
 255           22            0 
 255           23            0 
 255           24            0 
 255           25            0 
 255           27            0 
 255           28            0 
 255           29            0 
 255           30            0 
 255           32            0 
 255           33            0 
 255           34            0 
 255           35            0 
 255           37            0 
 255           38            0 
 255           39            0 
 255           40            0 
 254           41            0 
 254           42            0 
 254           43            0 
 254           45            0 
 254           46            0 
 254           47            0 
 254           48            0 
 254           50            0 
 254           51            0 
 254           52            0 
 254           53            0 
 254           55            0 
 254           56            0 
 254           57            0 
 254           58            0 
 254           60            0 
 254           61            0 
 254           62            0 
 254           63            0 
 254           65            0 
 254           66            0 
 254           67            0 
 254           68            0 
 254           70            0 
 254           71            0 
 254           72            0 
 254           74            0 
 254           75            0 
 254           76            0 
 254           77            0 
 254           79            0 
 254           80            0 
 255           82            0 
 254           82            0 
 254           84            0 
 254           85            0 
 254           86            0 
 254           87            0 
 254           89            0 
 254           90            0 
 254           91            0 
 254           92            0 
 254           94            0 
 254           95            0 
 254           96            0 
 254           97            0 
 254           99            0 
 254           100           0 
 254           101           0 
 254           103           0 
 254           104           0 
 254           105           0 
 254           106           0 
 254           108           0 
 254           109           0 
 254           110           0 
 254           111           0 
 254           113           0 
 254           114           0 
 254           115           0 
 254           116           0 
 254           118           0 
 254           119           0 
 254           120           0 
 254           121           0 
 254           123           0 
 254           124           0 
 254           125           0 
 254           126           0 
 254           128           0 
 254           129           0 
 254           130           0 
 254           132           0 
 254           133           0 
 254           134           0 
 254           135           0 
 254           137           0 
 254           138           0 
 254           139           0 
 254           140           0 
 254           142           0 
 254           143           0 
 254           144           0 
 254           145           0 
 254           147           0 
 254           148           0 
 254           149           0 
 254           150           0 
 254           152           0 
 254           153           0 
 254           154           0 
 254           156           0 
 254           157           0 
 254           158           0 
 254           159           0 
 254           161           0 
 255           163           0 
 254           163           0 
 254           164           0 
 254           166           0 
 254           167           0 
 254           168           0 
 254           169           0 
 254           171           0 
 254           172           0 
 254           173           0 
 254           174           0 
 254           176           0 
 254           177           0 
 254           178           0 
 254           179           0 
 254           181           0 
 254           182           0 
 254           183           0 
 254           185           0 
 254           186           0 
 254           187           0 
 254           188           0 
 254           190           0 
 254           191           0 
 254           192           0 
 254           193           0 
 254           195           0 
 254           196           0 
 254           197           0 
 254           198           0 
 254           200           0 
 254           201           0 
 254           202           0 
 254           203           0 
 254           205           0 
 254           206           0 
 254           207           0 
 254           208           0 
 254           210           0 
 254           211           0 
 254           212           0 
 254           214           0 
 254           215           0 
 254           216           0 
 254           217           0 
 254           219           0 
 254           220           0 
 254           221           0 
 254           222           0 
 254           224           0 
 254           225           0 
 254           226           0 
 254           227           0 
 254           229           0 
 254           230           0 
 254           231           0 
 254           232           0 
 254           234           0 
 254           235           0 
 254           236           0 
 254           237           0 
 254           239           0 
 254           240           0 
 254           241           0 
 254           243           0 
 254           244           0 
 254           245           0 
 254           246           0 
 254           248           0 
 254           249           0 
 254           250           0 
 254           251           0 
