{ Red  Green  Blue }
 105           144           209 
 105           145           209 
 106           145           209 
 106           145           210 
 106           146           210 
 107           146           210 
 107           147           210 
 108           147           211 
 108           148           211 
 109           149           211 
 109           149           212 
 110           150           212 
 110           151           212 
 111           151           212 
 111           152           213 
 112           152           213 
 112           153           213 
 113           154           214 
 113           155           214 
 114           155           214 
 114           156           214 
 114           156           215 
 115           156           215 
 115           157           215 
 116           158           215 
 116           158           216 
 117           159           216 
 117           160           216 
 118           160           217 
 118           161           217 
 119           161           217 
 119           162           217 
 119           162           218 
 120           162           218 
 120           163           218 
 122           164           218 
 123           165           219 
 125           166           219 
 126           167           220 
 128           168           220 
 130           169           220 
 132           170           221 
 133           171           221 
 135           172           222 
 136           174           222 
 138           175           222 
 140           176           223 
 141           177           223 
 143           178           224 
 145           179           224 
 146           180           225 
 148           181           225 
 150           183           226 
 151           184           226 
 153           185           226 
 155           186           227 
 156           187           227 
 158           188           228 
 160           189           228 
 161           190           229 
 163           191           229 
 165           192           229 
 166           193           230 
 168           195           230 
 170           196           231 
 171           197           231 
 173           198           232 
 174           199           232 
 176           200           232 
 178           201           233 
 180           202           233 
 181           203           234 
 183           205           234 
 184           206           235 
 186           207           235 
 188           208           235 
 190           209           236 
 191           210           236 
 193           211           237 
 194           212           237 
 196           213           238 
 198           215           238 
 199           216           238 
 201           217           239 
 203           218           239 
 204           219           240 
 206           220           240 
 208           221           241 
 209           222           241 
 211           223           241 
 213           224           242 
 214           225           242 
 216           226           243 
 218           228           243 
 219           229           244 
 221           230           244 
 222           231           244 
 224           232           245 
 226           233           245 
 228           234           246 
 229           235           246 
 231           237           247 
 232           238           247 
 234           239           247 
 236           240           248 
 238           241           248 
 239           242           249 
 241           243           249 
 242           244           250 
 244           245           250 
 245           246           250 
 247           248           251 
 249           249           251 
 251           250           252 
 252           251           252 
 254           252           253 
 254           252           252 
 252           250           251 
 250           248           250 
 249           247           249 
 248           245           247 
 246           243           246 
 245           242           245 
 243           240           244 
 242           238           243 
 240           236           242 
 239           235           241 
 237           233           239 
 236           231           238 
 234           230           237 
 232           228           236 
 231           226           235 
 229           224           234 
 228           223           232 
 226           221           231 
 225           219           230 
 223           217           229 
 221           216           228 
 220           214           227 
 218           212           226 
 217           211           224 
 215           209           223 
 214           207           222 
 212           205           221 
 211           204           220 
 209           202           219 
 208           200           218 
 206           198           216 
 204           197           215 
 203           195           214 
 201           193           213 
 200           192           212 
 198           190           211 
 197           188           210 
 195           186           208 
 194           185           207 
 192           183           206 
 191           181           205 
 189           179           204 
 187           177           202 
 186           176           201 
 184           174           200 
 183           172           199 
 181           171           198 
 180           169           197 
 178           167           195 
 176           165           194 
 175           164           193 
 174           162           192 
 172           160           191 
 171           159           190 
 169           157           188 
 167           155           187 
 166           153           186 
 164           152           185 
 163           150           184 
 161           148           183 
 159           146           182 
 158           145           180 
 156           143           179 
 155           141           178 
 153           140           177 
 152           138           176 
 150           136           175 
 149           134           174 
 147           133           172 
 146           131           171 
 144           129           170 
 143           128           169 
 141           126           168 
 139           124           167 
 138           122           165 
 136           121           164 
 135           119           163 
 133           117           162 
 131           115           161 
 130           114           160 
 129           112           159 
 127           110           157 
 126           109           156 
 124           107           155 
 122           105           154 
 121           103           153 
 119           101           152 
 118           100           151 
 117           99            151 
 117           99            150 
 116           98            150 
 116           98            149 
 115           97            149 
 115           97            148 
 114           96            148 
 114           96            147 
 113           95            147 
 113           95            146 
 112           94            146 
 112           94            145 
 111           93            145 
 111           93            144 
 110           92            144 
 110           92            143 
 109           91            143 
 109           91            142 
 108           90            142 
