{ Red  Green  Blue }
 201           119           217 
 197           119           217 
 193           119           217 
 190           119           217 
 186           119           217 
 182           119           217 
 178           119           217 
 174           119           217 
 170           119           217 
 167           119           217 
 163           119           217 
 175           138           230 
 171           138           230 
 168           138           230 
 164           138           230 
 161           138           230 
 157           138           230 
 154           138           230 
 150           138           230 
 147           138           230 
 143           138           230 
 140           138           230 
 138           140           230 
 138           142           230 
 138           145           230 
 138           148           230 
 138           151           230 
 138           154           230 
 138           156           230 
 138           159           230 
 138           162           230 
 138           165           230 
 138           168           230 
 138           171           230 
 138           174           230 
 138           177           230 
 138           180           230 
 138           183           230 
 138           186           230 
 138           189           230 
 138           192           230 
 138           195           230 
 138           198           230 
 138           202           230 
 139           205           231 
 139           209           231 
 140           213           231 
 141           217           232 
 141           221           232 
 142           225           233 
 143           229           233 
 143           233           234 
 144           237           234 
 145           241           235 
 145           243           233 
 143           243           229 
 142           243           224 
 141           243           220 
 140           243           216 
 139           243           211 
 138           243           207 
 137           243           202 
 136           243           198 
 134           243           194 
 133           243           189 
 133           243           185 
 133           243           181 
 133           243           176 
 133           243           172 
 133           243           168 
 133           243           163 
 133           243           159 
 133           243           155 
 133           243           151 
 133           243           146 
 133           243           142 
 137           243           141 
 140           243           140 
 144           243           139 
 148           243           139 
 151           243           138 
 155           243           137 
 158           243           136 
 162           243           135 
 166           243           134 
 169           243           134 
 173           243           133 
 177           243           133 
 181           243           133 
 185           243           133 
 189           243           133 
 193           243           133 
 197           243           133 
 201           243           133 
 205           243           133 
 209           243           133 
 213           243           133 
 216           242           133 
 219           240           133 
 222           238           133 
 224           237           133 
 227           235           133 
 230           233           133 
 232           231           133 
 235           230           133 
 237           228           133 
 240           226           133 
 243           224           133 
 243           220           133 
 243           216           133 
 243           212           133 
 243           208           133 
 243           204           133 
 243           199           133 
 243           195           133 
 243           191           133 
 243           187           133 
 243           183           133 
 243           179           133 
 242           178           133 
 240           177           134 
 239           175           134 
 238           174           135 
 237           173           135 
 236           172           135 
 234           171           136 
 233           169           136 
 232           168           136 
 231           167           137 
 229           166           137 
 228           165           138 
 227           164           138 
 226           162           138 
 225           161           139 
 223           160           139 
 222           159           139 
 221           158           140 
 220           157           140 
 219           155           141 
 217           154           141 
 216           162           162 
 215           161           161 
 214           160           160 
 212           160           160 
 211           159           159 
 210           158           158 
 209           157           157 
 208           156           156 
 206           155           155 
 205           154           154 
 116           163           179 
 114           167           173 
 112           170           168 
 110           174           162 
 108           178           157 
 105           179           147 
 103           179           135 
 101           179           123 
 99            179           112 
 103           182           106 
 113           187           107 
 124           193           109 
 135           199           111 
 145           204           112 
 149           204           112 
 153           204           112 
 158           204           112 
 162           204           112 
 166           204           112 
 171           204           112 
 175           204           112 
 179           204           112 
 184           205           114 
 188           206           117 
 193           207           121 
 197           208           124 
 202           209           128 
 206           210           131 
 211           211           135 
 216           212           138 
 220           214           142 
 225           215           145 
 229           216           149 
 231           217           151 
 231           217           153 
 232           218           154 
 232           218           156 
 233           219           158 
 233           219           160 
 234           220           162 
 235           221           164 
 235           221           166 
 236           222           168 
 236           222           170 
 237           223           171 
 238           224           173 
 238           224           175 
 239           225           177 
 239           225           179 
 240           226           181 
 240           226           183 
 241           227           185 
 242           228           187 
 242           228           188 
 243           229           190 
 243           229           192 
 244           230           194 
 244           230           196 
 245           231           198 
 246           232           200 
 246           232           202 
 247           233           204 
 247           233           205 
 248           234           207 
 249           235           209 
 249           235           211 
 250           236           213 
 250           236           215 
 251           237           217 
 252           238           219 
 252           238           221 
 253           239           222 
 253           239           224 
 254           240           226 
 254           240           228 
 255           248           243 
 255           248           244 
 255           249           244 
 255           249           245 
 255           249           246 
 255           250           246 
 255           250           247 
 255           251           247 
 255           251           248 
 255           251           249 
 255           252           249 
 255           252           250 
 255           252           251 
 255           253           251 
 255           253           252 
 255           254           252 
 255           254           253 
 255           254           254 
 255           255           254 
 255           255           255 
