{ Red  Green  Blue }
 99            65            76 
 103           65            77 
 105           66            76 
 106           66            77 
 108           67            77 
 111           67            77 
 112           67            76 
 114           68            77 
 116           67            76 
 118           68            75 
 120           69            76 
 122           68            76 
 124           69            76 
 126           70            75 
 127           69            76 
 129           70            75 
 131           71            74 
 133           70            75 
 135           71            75 
 137           72            75 
 139           71            74 
 141           72            75 
 142           73            74 
 144           72            73 
 147           73            74 
 148           74            74 
 149           73            74 
 151           74            73 
 153           75            74 
 155           74            73 
 157           75            72 
 159           76            73 
 161           76            73 
 163           75            72 
 164           76            73 
 167           77            72 
 168           76            71 
 170           77            72 
 172           78            72 
 174           77            72 
 176           78            71 
 178           79            72 
 180           78            71 
 182           79            71 
 183           80            70 
 185           79            71 
 187           80            71 
 189           81            70 
 191           80            71 
 193           81            70 
 195           82            69 
 197           81            70 
 198           82            70 
 200           82            70 
 203           83            69 
 204           82            70 
 206           83            69 
 208           84            68 
 210           83            69 
 212           84            69 
 214           85            69 
 216           84            68 
 218           85            69 
 219           86            68 
 221           85            67 
 223           86            68 
 225           87            68 
 226           86            68 
 225           87            68 
 226           87            68 
 225           87            68 
 226           88            68 
 227           91            68 
 226           94            68 
 227           96            68 
 228           99            68 
 227           101           68 
 228           103           68 
 229           105           68 
 229           109           68 
 230           111           68 
 229           113           68 
 230           116           68 
 231           118           68 
 231           120           68 
 231           123           68 
 231           126           68 
 232           128           68 
 233           130           68 
 232           133           68 
 233           135           68 
 234           137           68 
 233           140           68 
 234           143           68 
 234           145           68 
 235           148           68 
 236           150           68 
 235           152           68 
 236           155           68 
 237           157           68 
 236           160           68 
 237           162           68 
 237           165           67 
 238           167           68 
 239           170           67 
 238           172           66 
 239           175           67 
 240           176           67 
 239           179           67 
 240           182           67 
 240           184           67 
 241           186           67 
 242           189           67 
 241           191           67 
 242           193           67 
 243           196           67 
 243           199           67 
 244           201           67 
 243           203           67 
 244           206           67 
 245           208           67 
 245           210           67 
 245           213           67 
 245           216           67 
 246           218           67 
 246           221           67 
 246           223           67 
 247           225           67 
 248           228           67 
 248           231           67 
 248           233           67 
 249           235           67 
 249           238           67 
 249           240           67 
 249           243           67 
 250           245           67 
 251           248           67 
 250           250           67 
 251           252           67 
 251           254           66 
 248           252           68 
 246           250           69 
 244           248           71 
 241           246           72 
 239           244           73 
 237           242           74 
 234           240           76 
 232           238           77 
 229           236           79 
 227           234           80 
 225           232           81 
 222           230           82 
 220           228           84 
 217           226           85 
 215           225           86 
 212           223           87 
 211           221           89 
 208           219           90 
 205           217           91 
 203           215           93 
 201           213           94 
 198           211           95 
 196           209           97 
 194           207           98 
 191           204           99 
 188           203           101 
 186           201           102 
 184           199           103 
 181           197           105 
 179           195           106 
 176           192           107 
 174           190           109 
 171           189           110 
 169           187           111 
 167           185           113 
 164           183           113 
 162           180           115 
 159           178           117 
 157           176           118 
 155           175           119 
 152           173           121 
 150           171           121 
 148           169           123 
 145           166           124 
 142           164           126 
 140           162           127 
 138           161           128 
 135           159           129 
 133           157           131 
 130           154           132 
 128           152           133 
 125           150           135 
 123           148           136 
 121           146           137 
 119           145           139 
 115           142           140 
 113           140           141 
 111           138           143 
 109           136           144 
 106           134           145 
 104           132           147 
 101           130           148 
 99            128           149 
 96            127           150 
 95            125           152 
 92            123           153 
 89            121           154 
 86            118           156 
 86            118           157 
 87            119           158 
 88            121           160 
 89            122           161 
 91            123           163 
 92            125           164 
 93            126           166 
 94            128           167 
 95            129           168 
 97            131           170 
 98            132           171 
 99            134           173 
 100           135           174 
 101           136           176 
 103           138           177 
 104           139           178 
 104           140           180 
 106           142           182 
 107           143           183 
 109           145           184 
 109           146           185 
 110           147           187 
 112           149           188 
 113           150           190 
 114           152           191 
 115           153           193 
 116           154           194 
 118           156           195 
 119           157           197 
 120           159           199 
 121           160           200 
 122           161           201 
 124           163           203 
 125           164           204 
 126           165           205 
 127           167           207 
 128           169           209 
 130           170           210 
 131           171           211 
 132           173           213 
 133           174           214 
 134           176           216 
 136           177           217 
 137           178           219 
 138           180           220 
 139           181           221 
 140           182           222 
 141           183           224 
 143           185           225 
 144           186           227 
 145           188           228 
 146           189           230 
 147           191           231 
 148           192           232 
 150           194           234 
 151           195           236 
 152           196           237 
 153           198           238 
 154           199           240 
 155           200           241 
 157           202           243 
 158           203           244 
 159           205           246 
 160           206           247 
 161           207           248 
 163           209           250 
 161           207           247 
