{ Red  Green  Blue }
 174           200           201 
 173           200           201 
 172           199           202 
 171           199           202 
 171           198           202 
 170           198           202 
 169           197           202 
 168           197           203 
 167           196           203 
 166           196           203 
 165           195           204 
 164           195           204 
 164           194           204 
 163           194           204 
 162           193           205 
 161           193           205 
 161           192           205 
 160           192           205 
 159           191           205 
 158           191           206 
 157           190           206 
 156           190           206 
 155           189           207 
 154           189           207 
 154           188           207 
 153           188           207 
 152           187           207 
 151           187           208 
 150           186           208 
 149           185           208 
 148           185           209 
 147           184           209 
 146           183           209 
 145           183           209 
 144           183           210 
 144           182           210 
 143           182           210 
 142           181           210 
 141           181           211 
 140           180           211 
 139           179           211 
 138           179           211 
 137           178           212 
 136           177           212 
 135           177           212 
 134           177           213 
 134           176           213 
 133           176           213 
 132           175           213 
 131           175           214 
 130           174           214 
 129           173           214 
 128           173           214 
 127           172           215 
 126           172           215 
 126           171           215 
 125           171           215 
 124           171           216 
 123           170           216 
 122           169           216 
 121           169           216 
 120           168           217 
 120           168           216 
 121           168           215 
 122           168           214 
 123           168           213 
 124           168           212 
 125           168           211 
 127           168           210 
 128           168           209 
 129           168           208 
 130           168           207 
 131           168           206 
 132           168           205 
 133           168           204 
 135           168           203 
 136           168           202 
 137           168           201 
 138           168           200 
 139           168           199 
 140           169           198 
 142           169           197 
 143           169           196 
 144           169           195 
 145           169           194 
 146           169           193 
 147           169           192 
 149           169           191 
 150           169           190 
 151           169           189 
 152           169           188 
 153           169           187 
 154           169           186 
 156           169           185 
 157           169           184 
 158           169           183 
 159           169           183 
 159           168           183 
 160           168           183 
 160           167           183 
 160           166           183 
 161           166           183 
 161           165           183 
 162           165           183 
 164           166           184 
 165           167           184 
 167           168           184 
 168           169           185 
 170           170           185 
 172           171           185 
 174           172           186 
 175           173           186 
 177           174           187 
 178           174           187 
 180           175           187 
 182           176           188 
 183           177           188 
 185           178           189 
 187           179           189 
 188           180           189 
 190           181           190 
 192           182           190 
 193           183           190 
 195           184           191 
 196           185           191 
 198           185           192 
 200           186           192 
 201           187           192 
 203           188           193 
 205           189           193 
 206           190           194 
 208           191           194 
 210           192           194 
 211           193           195 
 213           194           195 
 214           195           195 
 215           196           196 
 216           196           196 
 217           196           196 
 218           196           196 
 218           196           195 
 219           196           195 
 220           196           195 
 221           196           195 
 222           196           195 
 223           196           195 
 223           196           194 
 224           196           194 
 225           196           194 
 226           196           194 
 226           196           193 
 226           195           193 
 226           195           192 
 226           195           191 
 226           194           191 
 226           194           190 
 226           193           190 
 226           193           189 
 225           193           188 
 225           192           188 
 225           192           187 
 225           192           186 
 225           191           186 
 225           191           185 
 225           190           184 
 225           190           183 
 225           189           182 
 225           189           181 
 225           188           180 
 225           187           179 
 225           187           178 
 224           187           178 
 224           186           177 
 224           186           176 
 224           185           175 
 224           185           174 
 224           184           173 
 224           184           172 
 224           183           172 
 224           182           171 
 224           182           170 
 224           181           169 
 224           181           168 
 224           180           167 
 225           179           166 
 225           179           165 
 225           178           164 
 225           178           163 
 225           177           162 
 225           176           161 
 225           176           160 
 225           175           159 
 225           174           158 
 225           174           157 
 225           173           157 
 226           172           156 
 226           172           154 
 226           171           154 
 226           171           153 
 226           170           152 
 226           169           151 
 226           169           150 
 226           168           149 
 226           167           148 
 226           167           147 
 226           166           146 
 227           166           145 
 227           165           144 
 227           164           143 
 227           164           142 
 227           163           141 
 227           163           140 
 227           163           139 
 228           163           138 
 228           162           137 
 229           162           136 
 229           162           135 
 229           162           134 
 230           162           133 
 230           162           132 
 231           162           131 
 231           161           130 
 231           161           129 
 232           161           128 
 232           161           127 
 233           161           126 
 233           161           125 
 234           161           124 
 234           160           123 
 234           160           122 
 235           160           121 
 235           160           120 
 236           160           118 
 236           160           117 
 236           159           116 
 237           159           115 
 237           159           114 
 238           159           113 
 238           159           112 
 239           159           111 
 239           159           110 
 239           158           109 
 240           158           108 
 240           158           107 
 241           158           106 
 240           158           106 
 238           158           107 
 236           158           107 
 234           158           108 
 231           158           108 
 229           158           109 
 228           158           109 
 226           158           110 
 224           157           110 
 222           157           111 
 219           157           111 
 217           157           112 
 215           157           112 
 213           157           113 
 212           157           113 
 210           157           114 
 207           157           114 
 205           157           115 
 203           157           115 
 201           157           116 
 199           157           116 
 197           157           117 
 195           157           117 
 193           157           118 
 191           157           118 
 189           156           119 
 187           156           119 
 185           156           120 
 183           156           120 
 181           156           121 
 179           156           121 
 177           156           122 
 175           156           122 
