{ Red  Green  Blue }
 1             128           102 
 2             128           102 
 3             128           102 
 4             129           102 
 5             130           102 
 6             130           102 
 7             130           102 
 7             131           102 
 8             131           102 
 9             131           102 
 9             132           102 
 10            132           102 
 11            132           102 
 12            133           102 
 13            133           102 
 14            134           102 
 15            134           102 
 16            134           102 
 16            135           102 
 17            135           102 
 18            136           102 
 19            136           102 
 20            137           102 
 21            137           102 
 21            138           102 
 22            138           102 
 23            138           102 
 23            139           102 
 24            139           102 
 25            140           102 
 26            140           102 
 27            141           102 
 28            141           102 
 28            142           102 
 29            142           102 
 30            142           102 
 30            143           102 
 31            143           102 
 32            144           102 
 33            144           102 
 34            145           102 
 35            145           102 
 36            146           102 
 37            146           102 
 38            147           102 
 39            147           102 
 40            147           102 
 40            148           102 
 41            148           102 
 42            149           102 
 43            149           102 
 44            150           102 
 45            150           102 
 46            151           102 
 47            151           102 
 48            152           102 
 49            152           102 
 51            153           102 
 52            154           102 
 53            154           102 
 54            155           102 
 55            155           102 
 56            155           102 
 56            156           102 
 57            156           102 
 58            156           102 
 59            157           102 
 60            157           102 
 61            158           102 
 62            158           102 
 62            159           102 
 63            159           102 
 64            159           102 
 65            160           102 
 66            160           102 
 67            161           102 
 68            161           102 
 69            162           102 
 70            162           102 
 70            163           102 
 71            163           102 
 72            163           102 
 73            164           102 
 74            165           102 
 75            165           102 
 76            166           102 
 77            166           102 
 78            167           102 
 79            167           102 
 80            168           102 
 81            169           102 
 82            169           102 
 83            169           102 
 83            170           102 
 84            170           102 
 85            170           102 
 86            171           102 
 87            171           102 
 88            172           102 
 89            172           102 
 90            173           102 
 91            173           102 
 92            173           102 
 93            174           102 
 94            175           102 
 95            175           102 
 96            175           102 
 97            176           102 
 98            176           102 
 99            177           102 
 100           177           102 
 101           177           102 
 101           178           102 
 102           178           102 
 103           179           102 
 104           179           102 
 105           179           102 
 106           180           102 
 107           181           102 
 108           181           102 
 109           182           102 
 110           182           102 
 111           182           102 
 111           183           102 
 112           183           102 
 113           183           102 
 114           184           102 
 115           184           102 
 116           185           102 
 117           185           102 
 117           186           102 
 118           186           102 
 119           186           102 
 120           187           102 
 121           187           102 
 122           188           102 
 123           188           102 
 123           189           102 
 124           189           102 
 125           189           102 
 125           190           102 
 126           190           102 
 127           191           102 
 128           191           102 
 129           192           102 
 130           192           102 
 131           193           102 
 132           193           102 
 132           194           102 
 133           194           102 
 134           194           102 
 134           195           102 
 135           195           102 
 136           196           102 
 137           196           102 
 138           196           102 
 138           197           102 
 139           197           102 
 140           198           102 
 141           198           102 
 142           198           102 
 142           199           102 
 143           199           102 
 144           199           102 
 145           200           102 
 146           200           102 
 146           201           102 
 147           201           102 
 148           201           102 
 149           202           102 
 150           202           102 
 150           203           102 
 151           203           102 
 152           203           102 
 153           204           102 
 154           205           102 
 155           205           102 
 156           206           102 
 157           206           102 
 158           206           102 
 158           207           102 
 159           207           102 
 160           207           102 
 161           208           102 
 162           208           102 
 163           209           102 
 164           209           102 
 164           210           102 
 165           210           102 
 166           210           102 
 167           211           102 
 168           211           102 
 169           212           102 
 170           212           102 
 171           213           102 
 172           213           102 
 173           214           102 
 174           214           102 
 175           215           102 
 176           215           102 
 177           216           102 
 178           217           102 
 179           217           102 
 180           218           102 
 181           218           102 
 182           219           102 
 183           219           102 
 184           220           102 
 185           220           102 
 185           221           102 
 186           221           102 
 187           221           102 
 187           222           102 
 188           222           102 
 189           222           102 
 190           223           102 
 191           223           102 
 192           224           102 
 193           224           102 
 194           225           102 
 195           225           102 
 196           226           102 
 197           226           102 
 198           226           102 
 199           227           102 
 200           227           102 
 201           228           102 
 202           228           102 
 203           229           102 
 204           229           102 
 205           229           102 
 206           230           102 
 207           230           102 
 208           231           102 
 209           232           102 
 210           232           102 
 211           232           102 
 211           233           102 
 212           233           102 
 213           233           102 
 214           234           102 
 215           234           102 
 216           235           102 
 217           235           102 
 218           236           102 
 219           236           102 
 220           237           102 
 221           237           102 
 222           238           102 
 223           238           102 
 224           239           102 
 225           239           102 
 226           240           102 
 227           240           102 
 227           241           102 
 228           241           102 
 229           241           102 
 229           242           102 
 230           242           102 
 231           243           102 
 232           243           102 
 233           244           102 
 234           244           102 
 234           245           102 
 235           245           102 
 236           245           102 
 236           246           102 
 237           246           102 
 238           246           102 
 239           247           102 
 240           247           102 
 240           248           102 
 241           248           102 
 242           248           102 
 243           249           102 
 244           249           102 
 244           250           102 
 245           250           102 
 246           250           102 
 247           251           102 
 248           252           102 
 249           253           102 
 250           252           102 
 251           253           102 
 251           254           102 
 252           254           102 
 253           254           102 
 254           254           102 
