{ Red  Green  Blue }
 251           222           0 
 255           224           0 
 255           223           0 
 255           222           0 
 255           221           0 
 255           220           0 
 255           219           0 
 255           218           0 
 255           217           0 
 255           216           0 
 255           214           0 
 255           213           0 
 255           212           0 
 255           211           0 
 255           210           0 
 255           208           0 
 255           207           0 
 255           206           0 
 255           205           0 
 255           204           0 
 255           203           0 
 255           201           0 
 255           200           0 
 255           199           0 
 255           198           0 
 255           197           0 
 255           195           0 
 255           194           0 
 255           193           0 
 255           192           0 
 255           191           0 
 255           189           0 
 255           188           0 
 255           187           0 
 255           186           0 
 255           185           0 
 255           183           0 
 255           182           0 
 255           181           0 
 255           180           0 
 255           181           0 
 255           180           0 
 255           179           0 
 255           180           0 
 255           179           0 
 255           178           0 
 255           179           0 
 255           178           0 
 255           177           0 
 255           178           0 
 255           177           0 
 255           176           0 
 255           177           0 
 255           176           0 
 255           175           0 
 255           176           0 
 255           175           0 
 255           174           0 
 255           175           0 
 255           174           0 
 255           173           0 
 255           174           0 
 255           173           0 
 255           172           0 
 255           173           0 
 255           172           0 
 255           171           0 
 255           172           0 
 255           171           0 
 255           170           0 
 255           171           0 
 255           170           0 
 255           169           0 
 255           170           0 
 255           169           0 
 255           168           0 
 255           169           0 
 255           168           0 
 255           167           0 
 255           168           0 
 255           167           0 
 255           166           0 
 255           167           0 
 255           166           0 
 255           165           0 
 255           166           0 
 255           165           0 
 255           164           0 
 255           165           0 
 255           164           0 
 255           163           0 
 255           162           0 
 255           163           0 
 255           162           0 
 255           161           0 
 255           162           0 
 255           161           0 
 255           160           0 
 255           161           0 
 255           160           0 
 255           159           0 
 255           160           0 
 255           159           0 
 255           158           0 
 255           159           0 
 255           158           0 
 255           157           0 
 255           158           0 
 255           157           0 
 255           156           0 
 255           157           0 
 255           156           0 
 255           155           0 
 255           156           0 
 255           155           0 
 255           154           0 
 255           155           0 
 255           154           0 
 255           153           0 
 255           154           0 
 255           153           0 
 255           152           0 
 255           153           0 
 255           152           0 
 255           151           0 
 255           152           0 
 255           151           0 
 255           150           0 
 255           149           0 
 255           148           0 
 255           149           0 
 255           148           0 
 255           147           0 
 255           148           0 
 255           147           0 
 255           146           0 
 255           147           0 
 255           146           0 
 255           145           0 
 255           146           0 
 255           145           0 
 255           144           0 
 255           145           0 
 255           144           0 
 255           143           0 
 255           144           0 
 255           143           0 
 255           142           0 
 255           143           0 
 255           142           0 
 255           141           0 
 255           142           0 
 255           141           0 
 255           140           0 
 255           141           0 
 255           140           0 
 255           139           0 
 255           140           0 
 255           139           0 
 255           138           0 
 255           139           0 
 255           138           0 
 255           137           0 
 255           138           0 
 255           137           0 
 255           136           0 
 255           135           0 
 255           136           0 
 254           135           0 
 255           136           0 
 254           135           0 
 253           134           1 
 254           135           0 
 254           135           1 
 254           134           1 
 253           135           0 
 254           134           1 
 253           133           2 
 252           134           1 
 253           134           2 
 253           133           2 
 252           134           1 
 253           133           2 
 252           132           3 
 251           133           2 
 252           133           3 
 252           132           3 
 252           133           2 
 252           132           3 
 251           131           4 
 252           132           3 
 251           132           4 
 250           132           4 
 251           132           4 
 251           131           4 
 251           132           3 
 251           131           4 
 250           131           4 
 251           130           5 
 250           131           5 
 249           131           5 
 250           131           5 
 250           130           5 
 250           131           4 
 250           130           5 
 249           129           6 
 250           130           5 
 249           130           6 
 248           130           6 
 249           130           6 
 249           129           6 
 249           130           5 
 249           129           6 
 249           128           7 
 249           129           6 
 248           129           7 
 249           129           7 
 248           129           7 
 247           129           7 
 248           129           7 
 248           128           7 
 248           129           6 
 248           128           7 
 248           127           8 
 248           128           7 
 247           128           8 
 248           128           8 
 247           128           8 
 246           128           8 
 247           127           8 
 247           128           7 
 247           127           8 
 247           126           9 
 247           127           8 
 247           127           9 
 246           127           9 
 247           127           9 
 246           127           9 
 245           126           9 
 246           127           8 
 246           126           9 
 246           125           10 
 246           126           10 
 245           126           10 
 246           126           10 
 245           125           10 
 245           126           9 
 244           125           10 
 245           125           10 
 245           124           11 
 245           125           10 
 245           125           11 
 244           125           11 
 245           125           11 
 244           124           11 
 243           125           10 
 244           124           11 
 244           123           12 
 244           124           11 
 244           124           12 
 243           124           12 
 244           123           12 
 243           124           11 
 242           123           12 
 243           122           13 
 243           123           12 
 243           123           13 
 242           122           13 
 243           123           12 
 242           122           13 
 241           121           14 
 242           122           13 
 241           121           14 
 242           122           13 
 241           121           14 
 241           121           15 
 240           120           15 
 239           119           16 
 239           118           17 
 238           118           18 
 237           117           19 
 237           116           19 
 236           115           20 
 235           115           21 
 234           114           22 
 234           113           23 
 233           112           23 
 232           112           24 
 232           111           25 
 227           108           25 
