{ Red  Green  Blue }
 255           1             254 
 255           2             253 
 255           3             252 
 255           4             251 
 255           5             250 
 255           6             249 
 255           7             248 
 255           7             247 
 255           8             247 
 255           9             246 
 255           9             245 
 255           10            244 
 255           11            243 
 255           12            243 
 255           13            242 
 255           13            241 
 255           14            240 
 255           15            239 
 255           16            239 
 255           16            238 
 255           17            237 
 255           18            236 
 255           19            235 
 255           20            234 
 255           21            233 
 255           22            232 
 255           23            231 
 255           24            230 
 255           25            229 
 255           26            228 
 255           27            227 
 255           28            226 
 255           29            225 
 255           30            224 
 255           31            223 
 255           32            222 
 255           33            221 
 255           34            220 
 255           35            219 
 255           36            219 
 255           37            218 
 255           37            217 
 255           38            216 
 255           39            215 
 255           40            215 
 255           40            214 
 255           41            213 
 255           42            212 
 255           43            212 
 255           43            211 
 255           44            211 
 255           45            210 
 255           46            209 
 255           47            208 
 255           48            207 
 255           49            206 
 255           49            205 
 255           51            205 
 255           51            204 
 255           52            203 
 255           53            202 
 255           54            201 
 255           55            200 
 255           56            199 
 255           56            198 
 255           57            198 
 255           58            197 
 255           59            196 
 255           59            195 
 255           60            194 
 255           61            194 
 255           62            193 
 255           62            192 
 255           63            191 
 255           64            190 
 255           65            189 
 255           66            188 
 255           67            187 
 255           68            186 
 255           69            185 
 255           70            184 
 255           71            183 
 255           72            182 
 255           73            181 
 255           74            180 
 255           75            179 
 255           76            178 
 255           77            177 
 255           78            176 
 255           79            175 
 255           80            174 
 255           81            173 
 255           82            172 
 255           83            171 
 255           84            170 
 255           85            169 
 255           86            169 
 255           86            168 
 255           87            167 
 255           88            166 
 255           89            166 
 255           89            165 
 255           90            164 
 255           91            163 
 255           92            163 
 255           93            162 
 255           93            161 
 255           94            160 
 255           95            160 
 255           96            159 
 255           97            158 
 255           97            157 
 255           98            157 
 255           99            156 
 255           100           155 
 255           101           154 
 255           102           153 
 255           102           152 
 255           103           152 
 255           104           151 
 255           105           150 
 255           106           149 
 255           106           148 
 255           107           148 
 255           108           147 
 255           108           146 
 255           109           145 
 255           110           144 
 255           111           144 
 255           111           143 
 255           112           142 
 255           113           141 
 255           114           140 
 255           115           140 
 255           115           139 
 255           116           138 
 255           117           137 
 255           118           136 
 255           119           135 
 255           120           134 
 255           121           133 
 255           122           132 
 255           123           131 
 255           124           130 
 255           125           129 
 255           126           128 
 255           127           127 
 255           128           126 
 255           129           125 
 255           130           124 
 255           131           123 
 255           132           122 
 255           133           121 
 255           134           120 
 255           135           119 
 255           136           118 
 255           137           117 
 255           138           117 
 255           138           116 
 255           139           115 
 255           140           114 
 255           141           113 
 255           142           113 
 255           142           112 
 255           143           111 
 255           144           111 
 255           145           110 
 255           146           109 
 255           146           108 
 255           147           108 
 255           148           107 
 255           149           106 
 255           150           105 
 255           150           104 
 255           151           104 
 255           152           103 
 255           153           102 
 255           154           101 
 255           155           100 
 255           155           99 
 255           156           99 
 255           157           98 
 255           158           97 
 255           158           96 
 255           159           95 
 255           160           95 
 255           161           94 
 255           161           93 
 255           162           92 
 255           163           91 
 255           164           91 
 255           164           90 
 255           165           89 
 255           166           88 
 255           167           88 
 255           167           87 
 255           168           86 
 255           169           85 
 255           170           84 
 255           171           83 
 255           172           82 
 255           173           81 
 255           174           80 
 255           175           79 
 255           176           78 
 255           177           77 
 255           178           76 
 255           179           75 
 255           180           74 
 255           181           73 
 255           182           72 
 255           183           71 
 255           184           70 
 255           185           69 
 255           186           68 
 255           187           67 
 255           188           66 
 255           189           65 
 255           190           64 
 255           191           64 
 255           191           63 
 255           192           62 
 255           193           61 
 255           194           61 
 255           195           60 
 255           195           59 
 255           196           58 
 255           197           58 
 255           198           57 
 255           199           56 
 255           199           55 
 255           200           55 
 255           201           54 
 255           202           53 
 255           202           52 
 255           203           52 
 255           204           51 
 255           205           50 
 255           206           49 
 255           207           48 
 255           208           47 
 255           208           46 
 255           209           45 
 255           210           45 
 255           211           44 
 255           211           43 
 255           212           42 
 255           213           42 
 255           214           41 
 255           215           40 
 255           215           39 
 255           216           39 
 255           216           38 
 255           217           37 
 255           218           36 
 255           219           35 
 255           220           34 
 255           221           33 
 255           222           32 
 255           223           31 
 255           224           30 
 255           225           29 
 255           226           28 
 255           227           27 
 255           228           26 
 255           229           25 
 255           230           24 
 255           231           23 
 255           232           22 
 255           233           21 
 255           234           20 
 255           235           19 
 255           236           18 
 255           237           17 
 255           238           16 
 255           239           15 
 255           240           14 
 255           241           13 
 255           242           12 
 255           243           12 
 255           244           11 
 255           244           10 
 255           245           9 
 255           246           9 
 255           247           8 
 255           247           7 
 255           248           6 
 255           249           5 
 255           250           5 
 255           251           4 
 255           251           3 
 255           252           3 
 255           253           2 
 255           254           1 
