{ Red  Green  Blue }
 138           102           255 
 135           102           255 
 133           102           255 
 131           102           255 
 129           102           255 
 126           102           255 
 124           102           255 
 122           102           255 
 119           102           255 
 117           102           255 
 115           102           255 
 113           102           255 
 110           102           255 
 108           102           255 
 106           102           255 
 104           102           255 
 102           103           255 
 102           105           255 
 102           107           255 
 102           110           255 
 102           112           255 
 102           114           255 
 102           116           255 
 102           119           255 
 102           121           255 
 102           123           255 
 102           126           255 
 102           128           255 
 102           130           255 
 102           132           255 
 102           135           255 
 102           137           255 
 102           139           255 
 102           142           255 
 102           144           255 
 102           146           255 
 102           149           255 
 102           151           255 
 102           153           255 
 102           156           255 
 102           158           255 
 102           160           255 
 102           163           255 
 102           165           255 
 102           167           255 
 102           170           255 
 102           172           255 
 102           174           255 
 102           177           255 
 102           179           255 
 102           181           255 
 102           184           255 
 102           186           255 
 102           188           255 
 102           190           255 
 102           193           255 
 102           195           255 
 102           197           255 
 102           200           255 
 102           202           255 
 102           204           255 
 102           206           255 
 102           209           255 
 102           211           255 
 102           213           255 
 102           215           255 
 102           218           255 
 102           220           255 
 102           222           255 
 102           225           255 
 102           227           255 
 102           229           255 
 102           231           255 
 102           234           255 
 102           236           255 
 102           238           255 
 102           241           255 
 102           243           255 
 102           245           255 
 102           247           255 
 102           250           255 
 102           252           255 
 102           254           255 
 102           255           253 
 102           255           251 
 102           255           249 
 102           255           247 
 102           255           244 
 102           255           242 
 102           255           240 
 102           255           238 
 102           255           235 
 102           255           233 
 102           255           231 
 102           255           228 
 102           255           226 
 102           255           224 
 102           255           222 
 102           255           219 
 102           255           217 
 102           255           215 
 102           255           212 
 102           255           210 
 102           255           208 
 102           255           206 
 102           255           203 
 102           255           201 
 102           255           199 
 102           255           196 
 102           255           194 
 102           255           192 
 102           255           190 
 102           255           187 
 102           255           185 
 102           255           183 
 102           255           181 
 102           255           178 
 102           255           176 
 102           255           174 
 102           255           171 
 102           255           169 
 102           255           167 
 102           255           164 
 102           255           162 
 102           255           159 
 102           255           157 
 102           255           155 
 102           255           152 
 102           255           150 
 102           255           148 
 102           255           145 
 102           255           143 
 102           255           141 
 102           255           138 
 102           255           136 
 102           255           134 
 102           255           132 
 102           255           129 
 102           255           127 
 102           255           125 
 102           255           123 
 102           255           120 
 102           255           118 
 102           255           116 
 102           255           113 
 102           255           111 
 102           255           109 
 102           255           107 
 102           255           104 
 102           255           102 
 104           255           102 
 107           255           102 
 109           255           102 
 111           255           102 
 113           255           102 
 116           255           102 
 118           255           102 
 120           255           102 
 123           255           102 
 125           255           102 
 127           255           102 
 129           255           102 
 132           255           102 
 134           255           102 
 136           255           102 
 138           255           102 
 141           255           102 
 143           255           102 
 145           255           102 
 148           255           102 
 150           255           102 
 152           255           102 
 155           255           102 
 157           255           102 
 160           255           102 
 162           255           102 
 164           255           102 
 167           255           102 
 169           255           102 
 171           255           102 
 174           255           102 
 176           255           102 
 178           255           102 
 181           255           102 
 183           255           102 
 185           255           102 
 187           255           102 
 190           255           102 
 192           255           102 
 194           255           102 
 196           255           102 
 199           255           102 
 201           255           102 
 203           255           102 
 206           255           102 
 208           255           102 
 210           255           102 
 212           255           102 
 215           255           102 
 255           255           166 
 255           253           166 
 255           252           166 
 255           250           166 
 255           248           166 
 255           246           166 
 255           245           166 
 255           243           166 
 255           241           166 
 255           239           166 
 255           238           166 
 255           236           166 
 255           234           166 
 255           232           166 
 255           231           166 
 255           229           166 
 255           227           166 
 255           225           166 
 255           224           166 
 255           222           166 
 255           220           166 
 255           218           166 
 255           216           166 
 255           215           166 
 255           213           166 
 255           211           166 
 255           209           166 
 255           207           166 
 255           206           166 
 255           204           166 
 255           202           166 
 255           200           166 
 255           198           166 
 255           197           166 
 255           195           166 
 255           193           166 
 255           191           166 
 255           189           166 
 255           188           166 
 255           186           166 
 255           184           166 
 255           182           166 
 255           180           166 
 255           179           166 
 255           177           166 
 255           175           166 
 255           173           166 
 255           171           166 
 255           170           166 
 255           168           166 
 255           166           166 
 255           167           168 
 255           168           170 
 255           168           172 
 255           169           174 
 255           170           176 
 255           171           178 
 255           171           179 
 255           172           181 
 255           173           183 
 255           174           185 
 255           175           187 
 255           175           189 
 255           176           191 
 255           177           193 
 255           178           195 
 255           178           197 
 255           179           199 
 255           180           200 
 255           181           202 
 255           181           203 
 255           182           205 
 255           183           206 
 255           184           208 
 255           184           209 
 255           185           211 
 255           186           212 
 255           186           214 
 255           187           215 
 255           188           217 
 255           189           218 
 255           189           220 
 255           190           221 
 255           191           223 
 255           192           224 
 255           192           225 
 255           193           226 
 255           194           227 
 255           195           229 
 255           195           230 
 255           196           231 
 255           197           232 
 255           198           233 
 255           199           235 
 255           199           236 
 255           200           237 
 255           201           238 
 255           202           239 
 255           202           241 
