{ Red  Green  Blue }
 0             0             255 
 2             2             255 
 3             3             255 
 5             5             255 
 7             7             255 
 8             8             255 
 10            10            255 
 12            12            255 
 14            14            255 
 15            15            255 
 17            17            255 
 19            19            255 
 20            20            255 
 22            22            255 
 24            24            255 
 25            25            255 
 27            27            255 
 29            29            255 
 31            31            255 
 32            32            255 
 34            34            255 
 36            36            255 
 37            37            255 
 39            39            255 
 41            41            255 
 42            42            255 
 44            44            255 
 46            46            255 
 48            48            255 
 49            49            255 
 51            51            255 
 53            53            255 
 54            54            255 
 56            56            255 
 58            58            255 
 60            60            255 
 61            61            255 
 63            63            255 
 65            65            255 
 66            66            255 
 68            68            255 
 70            70            255 
 71            71            255 
 73            73            255 
 75            75            255 
 77            77            255 
 78            78            255 
 80            80            255 
 82            82            255 
 83            83            255 
 85            85            255 
 87            87            255 
 88            88            255 
 90            90            255 
 92            92            255 
 94            94            255 
 95            95            255 
 97            97            255 
 99            99            255 
 100           100           255 
 102           102           255 
 104           104           255 
 105           105           255 
 107           107           255 
 109           109           255 
 110           110           255 
 112           112           255 
 114           114           255 
 116           116           255 
 117           117           255 
 119           119           255 
 121           121           255 
 122           122           255 
 124           124           255 
 126           126           255 
 128           128           255 
 129           129           255 
 131           131           255 
 133           133           255 
 134           134           255 
 136           136           255 
 138           138           255 
 139           139           255 
 141           141           255 
 143           143           255 
 144           144           255 
 146           146           255 
 148           148           255 
 150           150           255 
 151           151           255 
 153           153           255 
 155           155           255 
 156           156           255 
 158           158           255 
 160           160           255 
 162           162           255 
 163           163           255 
 165           165           255 
 167           167           255 
 168           168           255 
 170           170           255 
 172           172           255 
 173           173           255 
 175           175           255 
 177           177           255 
 178           178           255 
 180           180           255 
 182           182           255 
 184           184           255 
 185           185           255 
 187           187           255 
 189           189           255 
 190           190           255 
 192           192           255 
 194           194           255 
 196           196           255 
 197           197           255 
 199           199           255 
 201           201           255 
 202           202           255 
 204           204           255 
 206           206           255 
 207           207           255 
 209           209           255 
 211           211           255 
 212           212           255 
 214           214           255 
 216           216           255 
 218           218           255 
 219           219           255 
 221           221           255 
 223           223           255 
 224           224           255 
 226           226           255 
 228           228           255 
 230           230           255 
 231           231           255 
 233           233           255 
 235           235           255 
 236           236           255 
 238           238           255 
 240           240           255 
 241           241           255 
 243           243           255 
 245           245           255 
 246           246           255 
 248           248           255 
 250           250           255 
 252           252           255 
 253           253           255 
 255           255           255 
 255           253           253 
 255           252           252 
 255           250           250 
 255           248           248 
 255           246           246 
 255           245           245 
 255           243           243 
 255           241           241 
 255           240           240 
 255           238           238 
 255           236           236 
 255           235           235 
 255           233           233 
 255           231           231 
 255           229           229 
 255           228           228 
 255           226           226 
 255           224           224 
 255           223           223 
 255           221           221 
 255           219           219 
 255           218           218 
 255           216           216 
 255           214           214 
 255           213           213 
 255           211           211 
 255           209           209 
 255           207           207 
 255           206           206 
 255           204           204 
 255           202           202 
 255           201           201 
 255           199           199 
 255           197           197 
 255           195           195 
 255           194           194 
 255           192           192 
 255           190           190 
 255           189           189 
 255           187           187 
 255           185           185 
 255           184           184 
 255           182           182 
 255           180           180 
 255           179           179 
 255           177           177 
 255           175           175 
 255           173           173 
 255           172           172 
 255           170           170 
 255           168           168 
 255           167           167 
 255           165           165 
 255           163           163 
 255           162           162 
 255           160           160 
 255           158           158 
 255           156           156 
 255           155           155 
 255           153           153 
 255           151           151 
 255           150           150 
 255           148           148 
 255           146           146 
 255           145           145 
 255           143           143 
 255           141           141 
 255           139           139 
 255           138           138 
 255           136           136 
 255           134           134 
 255           133           133 
 255           131           131 
 255           129           129 
 255           127           127 
 255           126           126 
 255           124           124 
 255           122           122 
 255           121           121 
 255           119           119 
 255           117           117 
 255           116           116 
 255           114           114 
 255           112           112 
 255           110           110 
 255           109           109 
 255           107           107 
 255           105           105 
 255           104           104 
 255           102           102 
 255           100           100 
 255           99            99 
 255           97            97 
 255           95            95 
 255           93            93 
 255           92            92 
 255           90            90 
 255           88            88 
 255           87            87 
 255           85            85 
 255           83            83 
 255           82            82 
 255           80            80 
 255           78            78 
 255           76            76 
 255           75            75 
 255           73            73 
 255           71            71 
 255           70            70 
 255           68            68 
 255           66            66 
 255           65            65 
 255           63            63 
 255           61            61 
 255           60            60 
 255           58            58 
 255           56            56 
 255           54            54 
 255           53            53 
 255           51            51 
 255           49            49 
 255           48            48 
 255           46            46 
 255           44            44 
 255           43            43 
 255           41            41 
 255           39            39 
 255           37            37 
 255           36            36 
 255           34            34 
 255           32            32 
 255           31            31 
 255           29            29 
 255           27            27 
 255           25            25 
 255           24            24 
 255           22            22 
 255           20            20 
 255           19            19 
 255           17            17 
 255           15            15 
 255           14            14 
 255           12            12 
 255           10            10 
 255           8             8 
 255           7             7 
 255           5             5 
 255           3             3 
