{ Red  Green  Blue }
 255           0             0 
 255           2             2 
 255           3             3 
 255           5             5 
 255           7             7 
 255           8             8 
 255           10            10 
 255           12            12 
 255           14            14 
 255           15            15 
 255           17            17 
 255           19            19 
 255           20            20 
 255           22            22 
 255           24            24 
 255           25            25 
 255           27            27 
 255           29            29 
 255           31            31 
 255           32            32 
 255           34            34 
 255           36            36 
 255           37            37 
 255           39            39 
 255           41            41 
 255           42            42 
 255           44            44 
 255           46            46 
 255           48            48 
 255           49            49 
 255           51            51 
 255           53            53 
 255           54            54 
 255           56            56 
 255           58            58 
 255           60            60 
 255           61            61 
 255           63            63 
 255           65            65 
 255           66            66 
 255           68            68 
 255           70            70 
 255           71            71 
 255           73            73 
 255           75            75 
 255           77            77 
 255           78            78 
 255           80            80 
 255           82            82 
 255           83            83 
 255           85            85 
 255           87            87 
 255           88            88 
 255           90            90 
 255           92            92 
 255           94            94 
 255           95            95 
 255           97            97 
 255           99            99 
 255           100           100 
 255           102           102 
 255           104           104 
 255           105           105 
 255           107           107 
 255           109           109 
 255           110           110 
 255           112           112 
 255           114           114 
 255           116           116 
 255           117           117 
 255           119           119 
 255           121           121 
 255           122           122 
 255           124           124 
 255           126           126 
 255           128           128 
 255           129           129 
 255           131           131 
 255           133           133 
 255           134           134 
 255           136           136 
 255           138           138 
 255           139           139 
 255           141           141 
 255           143           143 
 255           144           144 
 255           146           146 
 255           148           148 
 255           150           150 
 255           151           151 
 255           153           153 
 255           155           155 
 255           156           156 
 255           158           158 
 255           160           160 
 255           162           162 
 255           163           163 
 255           165           165 
 255           167           167 
 255           168           168 
 255           170           170 
 255           172           172 
 255           173           173 
 255           175           175 
 255           177           177 
 255           178           178 
 255           180           180 
 255           182           182 
 255           184           184 
 255           185           185 
 255           187           187 
 255           189           189 
 255           190           190 
 255           192           192 
 255           194           194 
 255           196           196 
 255           197           197 
 255           199           199 
 255           201           201 
 255           202           202 
 255           204           204 
 255           206           206 
 255           207           207 
 255           209           209 
 255           211           211 
 255           212           212 
 255           214           214 
 255           216           216 
 255           218           218 
 255           219           219 
 255           221           221 
 255           223           223 
 255           224           224 
 255           226           226 
 255           228           228 
 255           230           230 
 255           231           231 
 255           233           233 
 255           235           235 
 255           236           236 
 255           238           238 
 255           240           240 
 255           241           241 
 255           243           243 
 255           245           245 
 255           246           246 
 255           248           248 
 255           250           250 
 255           252           252 
 255           253           253 
 255           255           255 
 253           255           253 
 252           255           252 
 250           255           250 
 248           255           248 
 246           255           246 
 245           255           245 
 243           255           243 
 241           255           241 
 240           255           240 
 238           255           238 
 236           255           236 
 235           255           235 
 233           255           233 
 231           255           231 
 229           255           229 
 228           255           228 
 226           255           226 
 224           255           224 
 223           255           223 
 221           255           221 
 219           255           219 
 218           255           218 
 216           255           216 
 214           255           214 
 213           255           213 
 211           255           211 
 209           255           209 
 207           255           207 
 206           255           206 
 204           255           204 
 202           255           202 
 201           255           201 
 199           255           199 
 197           255           197 
 195           255           195 
 194           255           194 
 192           255           192 
 190           255           190 
 189           255           189 
 187           255           187 
 185           255           185 
 184           255           184 
 182           255           182 
 180           255           180 
 179           255           179 
 177           255           177 
 175           255           175 
 173           255           173 
 172           255           172 
 170           255           170 
 168           255           168 
 167           255           167 
 165           255           165 
 163           255           163 
 162           255           162 
 160           255           160 
 158           255           158 
 156           255           156 
 155           255           155 
 153           255           153 
 151           255           151 
 150           255           150 
 148           255           148 
 146           255           146 
 145           255           145 
 143           255           143 
 141           255           141 
 139           255           139 
 138           255           138 
 136           255           136 
 134           255           134 
 133           255           133 
 131           255           131 
 129           255           129 
 127           255           127 
 126           255           126 
 124           255           124 
 122           255           122 
 121           255           121 
 119           255           119 
 117           255           117 
 116           255           116 
 114           255           114 
 112           255           112 
 110           255           110 
 109           255           109 
 107           255           107 
 105           255           105 
 104           255           104 
 102           255           102 
 100           255           100 
 99            255           99 
 97            255           97 
 95            255           95 
 93            255           93 
 92            255           92 
 90            255           90 
 88            255           88 
 87            255           87 
 85            255           85 
 83            255           83 
 82            255           82 
 80            255           80 
 78            255           78 
 76            255           76 
 75            255           75 
 73            255           73 
 71            255           71 
 70            255           70 
 68            255           68 
 66            255           66 
 65            255           65 
 63            255           63 
 61            255           61 
 60            255           60 
 58            255           58 
 56            255           56 
 54            255           54 
 53            255           53 
 51            255           51 
 49            255           49 
 48            255           48 
 46            255           46 
 44            255           44 
 43            255           43 
 41            255           41 
 39            255           39 
 37            255           37 
 36            255           36 
 34            255           34 
 32            255           32 
 31            255           31 
 29            255           29 
 27            255           27 
 25            255           25 
 24            255           24 
 22            255           22 
 20            255           20 
 19            255           19 
 17            255           17 
 15            255           15 
 14            255           14 
 12            255           12 
 10            255           10 
 8             255           8 
 7             255           7 
 5             255           5 
 3             255           3 
 0             255           0 
