{ Red  Green  Blue }
 128           128           255 
 126           126           253 
 125           125           252 
 123           123           250 
 121           121           248 
 119           119           247 
 118           118           245 
 116           116           243 
 114           114           241 
 113           113           240 
 111           111           238 
 109           109           236 
 108           108           235 
 106           106           233 
 104           104           231 
 102           102           230 
 101           101           228 
 99            99            226 
 97            97            225 
 96            96            223 
 94            94            221 
 92            92            219 
 90            90            218 
 89            89            216 
 87            87            214 
 85            85            213 
 84            84            211 
 82            82            209 
 80            80            208 
 79            79            206 
 77            77            204 
 75            75            203 
 73            73            201 
 72            72            199 
 70            70            197 
 68            68            196 
 67            67            194 
 65            65            192 
 63            63            191 
 61            61            189 
 60            60            187 
 58            58            186 
 56            56            184 
 55            55            182 
 53            53            180 
 51            51            179 
 49            49            177 
 48            48            175 
 46            46            174 
 44            44            172 
 43            43            170 
 41            41            169 
 39            39            167 
 38            38            165 
 36            36            164 
 34            34            162 
 32            32            160 
 31            31            158 
 29            29            157 
 27            27            155 
 26            26            153 
 24            24            152 
 22            22            150 
 20            20            148 
 19            19            147 
 17            17            145 
 15            15            143 
 14            14            142 
 12            12            140 
 10            10            138 
 9             9             136 
 7             7             135 
 5             5             133 
 3             3             131 
 2             2             130 
 0             0             128 
 0             0             126 
 0             0             125 
 0             0             123 
 0             0             121 
 0             0             119 
 0             0             118 
 0             0             116 
 0             0             114 
 0             0             113 
 0             0             111 
 0             0             109 
 0             0             108 
 0             0             106 
 0             0             104 
 0             0             102 
 0             0             101 
 0             0             99 
 0             0             97 
 0             0             96 
 0             0             94 
 0             0             92 
 0             0             90 
 0             0             89 
 0             0             87 
 0             0             85 
 0             0             84 
 0             0             82 
 0             0             80 
 0             0             79 
 0             0             77 
 0             0             75 
 0             0             73 
 0             0             72 
 0             0             70 
 0             0             68 
 0             0             67 
 0             0             65 
 0             0             63 
 0             0             61 
 0             0             60 
 0             0             58 
 0             0             56 
 0             0             55 
 0             0             53 
 0             0             51 
 0             0             49 
 0             0             48 
 0             0             46 
 0             0             44 
 0             0             43 
 0             0             41 
 0             0             39 
 0             0             38 
 0             0             36 
 0             0             34 
 0             0             32 
 0             0             31 
 0             0             29 
 0             0             27 
 0             0             26 
 0             0             24 
 0             0             22 
 0             0             20 
 0             0             19 
 0             0             17 
 0             0             15 
 0             0             14 
 0             0             12 
 0             0             10 
 0             0             9 
 0             0             7 
 0             0             5 
 0             0             3 
 0             0             2 
 0             0             0 
 2             0             0 
 3             0             0 
 5             0             0 
 7             0             0 
 9             0             0 
 10            0             0 
 12            0             0 
 14            0             0 
 15            0             0 
 17            0             0 
 19            0             0 
 20            0             0 
 22            0             0 
 24            0             0 
 26            0             0 
 27            0             0 
 29            0             0 
 31            0             0 
 32            0             0 
 34            0             0 
 36            0             0 
 38            0             0 
 39            0             0 
 41            0             0 
 43            0             0 
 44            0             0 
 46            0             0 
 48            0             0 
 49            0             0 
 51            0             0 
 53            0             0 
 55            0             0 
 56            0             0 
 58            0             0 
 60            0             0 
 61            0             0 
 63            0             0 
 65            0             0 
 67            0             0 
 68            0             0 
 70            0             0 
 72            0             0 
 73            0             0 
 75            0             0 
 77            0             0 
 79            0             0 
 80            0             0 
 82            0             0 
 84            0             0 
 85            0             0 
 87            0             0 
 89            0             0 
 90            0             0 
 92            0             0 
 94            0             0 
 96            0             0 
 97            0             0 
 99            0             0 
 101           0             0 
 102           0             0 
 104           0             0 
 106           0             0 
 108           0             0 
 109           0             0 
 111           0             0 
 113           0             0 
 114           0             0 
 116           0             0 
 118           0             0 
 119           0             0 
 121           0             0 
 123           0             0 
 125           0             0 
 126           0             0 
 128           0             0 
 130           2             2 
 131           3             3 
 133           5             5 
 135           7             7 
 136           9             9 
 138           10            10 
 140           12            12 
 142           14            14 
 143           15            15 
 145           17            17 
 147           19            19 
 148           20            20 
 150           22            22 
 152           24            24 
 153           26            26 
 155           27            27 
 157           29            29 
 158           31            31 
 160           32            32 
 162           34            34 
 164           36            36 
 165           38            38 
 167           39            39 
 169           41            41 
 170           43            43 
 172           44            44 
 174           46            46 
 175           48            48 
 177           49            49 
 179           51            51 
 180           53            53 
 182           55            55 
 184           56            56 
 186           58            58 
 187           60            60 
 189           61            61 
 191           63            63 
 192           65            65 
 194           67            67 
 196           68            68 
 197           70            70 
 199           72            72 
 201           73            73 
 203           75            75 
 204           77            77 
 206           79            79 
 208           80            80 
 209           82            82 
 211           84            84 
 213           85            85 
 214           87            87 
 216           89            89 
 218           90            90 
 219           92            92 
 221           94            94 
 223           96            96 
 225           97            97 
 226           99            99 
 228           101           101 
 230           102           102 
 231           104           104 
 233           106           106 
 235           108           108 
 236           109           109 
 238           111           111 
 240           113           113 
 241           114           114 
 243           116           116 
 245           118           118 
 247           119           119 
 248           121           121 
 250           123           123 
 252           125           125 
 253           126           126 
