{ Red  Green  Blue }
 243           246           122 
 241           247           123 
 239           247           123 
 237           247           123 
 235           248           124 
 233           248           124 
 231           248           125 
 229           249           125 
 227           249           125 
 226           249           126 
 224           250           126 
 222           250           127 
 219           250           127 
 218           251           127 
 216           251           128 
 214           251           128 
 212           252           129 
 210           252           129 
 208           252           129 
 206           252           130 
 204           252           130 
 202           252           130 
 200           252           130 
 199           252           131 
 196           252           131 
 194           251           131 
 193           251           132 
 191           251           132 
 189           251           132 
 187           251           132 
 185           251           133 
 183           251           133 
 181           251           133 
 179           251           134 
 177           251           134 
 176           251           133 
 175           251           132 
 173           251           131 
 172           251           131 
 171           251           130 
 169           251           129 
 168           251           128 
 166           252           128 
 165           252           127 
 164           252           126 
 162           252           125 
 161           252           125 
 160           252           124 
 158           252           123 
 157           252           122 
 156           252           122 
 154           252           121 
 153           252           120 
 151           252           119 
 150           252           119 
 149           252           118 
 147           253           117 
 146           253           116 
 145           253           116 
 143           253           115 
 142           253           114 
 141           253           113 
 139           253           113 
 137           253           113 
 135           252           114 
 133           252           116 
 131           252           117 
 129           252           117 
 128           251           118 
 126           251           119 
 124           251           120 
 122           251           121 
 120           250           122 
 118           250           123 
 116           250           124 
 114           250           125 
 112           249           126 
 111           249           127 
 108           249           128 
 106           249           129 
 105           248           130 
 103           248           131 
 101           248           132 
 99            248           133 
 97            247           134 
 95            247           135 
 93            247           136 
 92            247           138 
 92            246           141 
 91            245           144 
 90            245           148 
 90            244           151 
 89            244           154 
 89            243           157 
 88            243           160 
 87            242           163 
 86            242           166 
 86            241           169 
 85            241           172 
 85            240           175 
 84            240           178 
 83            239           181 
 83            239           185 
 82            238           188 
 81            238           191 
 81            237           194 
 80            236           197 
 79            236           200 
 79            235           204 
 78            235           207 
 77            234           210 
 77            233           212 
 77            231           214 
 78            229           216 
 79            227           217 
 80            225           218 
 81            223           220 
 82            221           221 
 83            219           222 
 84            218           224 
 85            215           225 
 86            213           227 
 86            211           228 
 87            209           230 
 88            208           231 
 89            206           233 
 90            203           234 
 91            201           235 
 92            199           237 
 94            198           238 
 97            197           239 
 101           195           240 
 104           193           241 
 108           192           242 
 111           191           243 
 114           189           244 
 118           188           244 
 122           186           246 
 125           185           247 
 128           183           247 
 129           181           248 
 130           178           248 
 130           176           249 
 131           173           249 
 131           170           249 
 132           168           250 
 132           165           250 
 133           163           250 
 133           160           250 
 134           157           251 
 134           154           251 
 135           152           251 
 135           149           252 
 136           147           252 
 137           147           252 
 139           149           252 
 141           150           252 
 143           152           252 
 145           153           252 
 147           155           252 
 149           156           252 
 151           157           252 
 153           159           252 
 155           160           252 
 158           162           252 
 160           163           252 
 162           165           252 
 164           166           252 
 166           167           252 
 168           169           252 
 171           170           252 
 173           172           252 
 174           173           252 
 175           174           252 
 176           175           252 
 178           176           252 
 179           177           252 
 180           178           252 
 182           179           252 
 183           180           253 
 184           181           253 
 185           182           253 
 187           183           253 
 188           184           253 
 189           185           253 
 191           186           253 
 192           187           253 
 192           188           253 
 193           188           253 
 193           189           253 
 194           189           253 
 194           190           254 
 195           190           254 
 195           191           254 
 196           191           254 
 196           192           254 
 197           193           254 
 198           192           254 
 199           192           254 
 199           191           254 
 200           191           254 
 201           191           254 
 202           190           254 
 203           190           254 
 204           189           254 
 205           189           254 
 205           188           254 
 205           187           254 
 205           186           254 
 205           185           254 
 206           184           254 
 206           183           254 
 206           182           254 
 206           181           254 
 206           180           254 
 206           179           254 
 207           178           254 
 207           177           254 
 207           176           254 
 207           175           253 
 207           171           251 
 207           165           249 
 206           160           246 
 206           156           244 
 206           151           242 
 206           146           239 
 206           141           237 
 206           135           234 
 206           131           232 
 205           126           229 
 205           121           227 
 205           117           225 
 205           112           222 
 204           107           219 
 204           105           217 
 203           104           215 
 202           102           212 
 201           101           210 
 200           100           207 
 199           98            204 
 198           96            202 
 198           95            199 
 197           94            197 
 196           92            194 
 195           91            192 
 194           89            189 
 193           88            186 
 193           87            184 
 192           85            181 
 191           84            179 
 190           82            176 
 189           81            173 
 188           79            171 
 187           78            168 
 187           77            166 
 188           78            164 
 190           79            162 
 192           82            160 
 194           83            158 
 196           85            156 
 198           86            154 
 200           88            152 
 202           90            149 
 204           92            147 
 206           93            145 
 208           95            143 
 210           97            141 
 212           98            139 
 214           101           137 
 217           104           138 
 219           108           139 
 221           112           140 
 223           115           141 
 225           119           143 
 228           123           144 
 230           127           145 
 232           131           147 
 235           135           148 
 237           138           149 
 239           142           150 
 242           146           151 
 244           150           153 
 246           154           154 
 248           158           155 
 251           161           157 
 253           165           158 
 254           169           158 
 254           174           156 
 253           178           154 
 253           183           153 
 252           187           151 
 252           191           149 
 251           196           148 
 250           201           146 
 250           205           144 
 249           209           142 
 249           214           141 
 248           218           139 
 248           222           137 
 247           227           136 
 246           232           134 
 246           236           132 
 246           240           131 
