{ Red  Green  Blue }
 1             1             3 
 2             2             4 
 3             3             5 
 3             3             6 
 4             4             7 
 5             5             8 
 5             5             9 
 6             6             10 
 7             7             11 
 7             7             12 
 8             8             12 
 9             9             13 
 9             9             14 
 10            10            15 
 11            11            16 
 12            12            17 
 13            13            18 
 13            13            19 
 14            14            20 
 15            15            21 
 15            15            22 
 16            16            23 
 16            16            24 
 17            17            25 
 18            18            26 
 18            18            27 
 19            19            27 
 20            20            28 
 21            21            29 
 21            21            30 
 22            22            31 
 22            22            32 
 23            23            33 
 23            23            34 
 24            24            35 
 25            25            36 
 25            25            37 
 26            26            38 
 27            27            39 
 28            28            39 
 28            28            41 
 29            29            41 
 29            29            42 
 30            30            43 
 30            30            44 
 31            31            45 
 32            32            46 
 32            32            47 
 33            33            48 
 34            34            49 
 34            34            50 
 35            35            50 
 36            36            51 
 36            36            52 
 37            37            53 
 38            38            54 
 39            39            55 
 40            40            56 
 40            40            57 
 41            41            58 
 42            42            59 
 42            42            60 
 43            43            61 
 44            44            62 
 45            45            63 
 46            46            64 
 47            47            65 
 47            47            66 
 48            48            67 
 48            48            68 
 49            49            69 
 49            49            70 
 50            50            70 
 51            51            71 
 52            52            72 
 52            52            73 
 53            53            74 
 54            54            75 
 54            54            76 
 55            55            77 
 55            55            78 
 56            56            79 
 57            57            80 
 57            57            81 
 58            58            82 
 59            59            83 
 60            60            84 
 61            61            85 
 61            61            86 
 62            62            87 
 63            63            88 
 64            64            89 
 65            65            90 
 65            65            91 
 66            66            92 
 67            67            93 
 67            67            94 
 68            68            95 
 69            69            96 
 70            70            97 
 70            70            98 
 71            71            99 
 72            72            100 
 72            72            101 
 73            73            102 
 74            74            103 
 74            74            104 
 75            75            105 
 76            76            106 
 76            76            107 
 77            77            107 
 77            77            108 
 78            78            109 
 79            79            110 
 80            80            111 
 80            80            112 
 81            81            113 
 82            82            114 
 82            83            114 
 82            84            115 
 83            85            115 
 84            86            116 
 85            87            117 
 86            88            118 
 86            89            119 
 87            90            120 
 88            91            120 
 89            92            121 
 89            93            121 
 90            93            122 
 91            94            122 
 92            95            123 
 92            96            124 
 93            97            124 
 93            98            125 
 94            98            125 
 94            99            127 
 95            100           127 
 96            101           128 
 96            102           128 
 97            103           129 
 98            104           130 
 99            104           131 
 99            106           131 
 100           106           132 
 100           107           132 
 101           108           133 
 101           109           133 
 102           110           134 
 103           111           135 
 104           112           136 
 104           113           136 
 105           114           137 
 106           115           138 
 106           116           138 
 107           117           139 
 108           118           140 
 109           119           141 
 109           120           141 
 110           121           142 
 111           122           143 
 112           123           144 
 112           124           144 
 113           125           145 
 114           126           146 
 114           127           146 
 115           128           147 
 115           129           147 
 116           130           148 
 116           131           148 
 117           131           149 
 118           132           150 
 119           133           151 
 119           134           151 
 120           135           152 
 121           136           153 
 121           137           153 
 122           137           154 
 122           138           154 
 123           139           155 
 124           140           156 
 124           141           156 
 125           142           157 
 125           142           158 
 127           143           159 
 127           144           159 
 128           145           160 
 128           146           160 
 129           147           161 
 130           148           161 
 131           149           162 
 131           150           163 
 132           151           163 
 132           152           164 
 133           153           165 
 133           154           166 
 134           154           166 
 135           156           167 
 136           156           168 
 136           157           169 
 137           158           169 
 138           159           170 
 138           160           171 
 139           161           171 
 140           162           172 
 141           163           173 
 141           164           173 
 142           165           174 
 143           166           175 
 143           167           175 
 144           168           176 
 145           169           177 
 145           170           177 
 146           170           178 
 147           171           179 
 147           172           179 
 148           173           180 
 149           174           181 
 150           175           182 
 151           176           183 
 151           177           183 
 152           178           184 
 153           179           185 
 153           180           185 
 154           181           186 
 154           182           186 
 155           183           187 
 156           184           188 
 156           185           188 
 157           185           189 
 158           187           190 
 159           187           191 
 159           188           191 
 160           189           192 
 160           190           192 
 161           191           193 
 161           192           193 
 162           193           194 
 163           194           195 
 163           195           195 
 164           196           196 
 165           197           197 
 166           198           198 
 167           198           198 
 167           199           199 
 168           199           199 
 169           200           200 
 170           200           200 
 171           201           201 
 172           202           202 
 173           203           203 
 174           203           203 
 175           204           204 
 176           205           205 
 177           205           205 
 178           206           206 
 180           207           207 
 181           207           207 
 182           208           208 
 183           208           208 
 184           209           209 
 185           210           210 
 186           210           210 
 187           211           211 
 187           212           212 
 188           213           213 
 189           213           213 
 191           214           214 
 192           215           215 
 193           216           216 
 194           216           216 
 195           217           217 
 196           217           217 
 197           218           218 
 198           219           219 
 199           219           219 
 200           219           219 
 201           220           220 
 202           221           221 
 203           222           222 
 204           223           223 
 205           223           223 
 206           224           224 
 207           224           224 
 208           225           225 
 209           225           225 
 210           226           226 
 211           227           227 
 212           227           227 
 213           228           228 
 214           229           229 
 215           230           230 
 216           230           230 
 217           231           231 
 218           231           231 
 219           232           232 
 220           232           232 
 221           233           233 
 222           234           234 
 223           235           235 
 224           235           235 
 225           236           236 
 226           237           237 
 227           237           237 
 229           238           238 
 230           239           239 
 231           240           240 
 232           240           240 
 233           241           241 
 234           242           242 
 236           242           242 
 237           243           243 
 238           244           244 
 239           244           244 
 240           245           245 
 241           246           246 
 242           246           246 
 242           247           247 
 243           247           247 
 244           248           248 
 245           249           249 
 247           250           250 
 248           250           250 
 249           251           251 
 250           252           252 
 251           252           252 
 252           253           253 
 253           254           254 
