{ Red  Green  Blue }
 0             1             127 
 0             2             128 
 0             3             129 
 0             5             130 
 0             6             131 
 0             8             133 
 0             9             134 
 0             10            135 
 0             12            136 
 0             13            137 
 0             14            138 
 0             16            140 
 0             17            141 
 0             19            142 
 0             20            143 
 0             21            144 
 0             23            146 
 0             24            147 
 0             26            148 
 0             27            149 
 0             28            151 
 0             30            152 
 0             31            153 
 0             33            154 
 0             34            155 
 0             35            157 
 0             37            158 
 0             38            159 
 0             39            160 
 0             41            162 
 0             42            163 
 0             44            164 
 0             45            165 
 0             46            166 
 0             47            167 
 0             48            168 
 0             49            169 
 0             50            170 
 0             51            171 
 0             52            172 
 0             53            173 
 0             54            174 
 0             55            175 
 0             56            176 
 0             57            177 
 0             58            178 
 0             59            179 
 0             60            180 
 1             61            181 
 1             63            182 
 2             64            183 
 2             66            183 
 3             68            185 
 4             69            185 
 4             71            186 
 5             72            187 
 5             74            188 
 6             75            189 
 7             77            190 
 7             78            191 
 8             80            192 
 9             81            193 
 9             83            194 
 10            84            195 
 10            86            195 
 10            87            196 
 10            87            197 
 10            88            197 
 10            89            198 
 10            90            198 
 10            91            199 
 10            92            200 
 10            93            200 
 10            94            201 
 10            95            202 
 10            96            202 
 10            97            203 
 10            98            203 
 10            99            204 
 10            99            205 
 10            101           205 
 10            102           205 
 10            105           204 
 10            106           204 
 10            108           204 
 10            110           203 
 10            112           203 
 10            114           203 
 10            116           202 
 10            118           202 
 10            119           202 
 10            121           201 
 10            123           201 
 10            125           201 
 10            127           201 
 10            129           200 
 10            130           200 
 10            131           200 
 10            133           200 
 10            134           200 
 10            135           200 
 10            137           200 
 10            138           200 
 10            139           200 
 10            140           200 
 10            141           200 
 10            143           200 
 10            144           200 
 10            145           200 
 10            146           200 
 10            147           200 
 10            149           200 
 10            150           200 
 10            151           200 
 10            151           201 
 10            152           201 
 10            153           202 
 10            154           202 
 10            155           202 
 10            156           203 
 10            157           203 
 10            157           204 
 10            158           204 
 10            159           204 
 10            159           205 
 10            160           205 
 12            160           205 
 15            161           206 
 17            162           206 
 20            162           206 
 22            163           206 
 24            164           207 
 27            164           207 
 30            165           207 
 32            165           208 
 34            166           208 
 37            167           208 
 39            167           209 
 41            168           209 
 44            169           209 
 47            169           210 
 49            170           210 
 51            170           210 
 53            170           210 
 55            170           211 
 57            170           211 
 59            170           211 
 60            170           212 
 62            170           212 
 64            170           212 
 66            170           213 
 68            170           213 
 70            170           213 
 72            170           214 
 73            170           214 
 75            170           214 
 77            170           214 
 79            170           215 
 80            170           215 
 81            171           215 
 81            171           216 
 82            172           216 
 83            173           216 
 83            173           217 
 84            174           217 
 85            175           217 
 85            175           218 
 86            176           218 
 87            177           219 
 88            178           219 
 89            179           219 
 89            179           220 
 90            180           200 
 92            180           202 
 94            180           203 
 96            180           204 
 98            180           205 
 100           180           206 
 101           180           208 
 104           180           209 
 105           180           210 
 107           180           211 
 109           180           213 
 111           180           214 
 112           180           215 
 115           180           216 
 116           180           218 
 118           180           219 
 120           180           220 
 122           180           220 
 124           180           220 
 126           180           220 
 128           180           220 
 129           180           220 
 131           180           220 
 133           180           220 
 135           180           220 
 137           180           220 
 139           180           220 
 140           180           220 
 142           180           220 
 144           180           220 
 146           180           220 
 148           180           220 
 150           180           220 
 151           181           219 
 152           181           219 
 153           182           218 
 155           183           217 
 155           184           216 
 156           184           216 
 157           185           215 
 158           185           215 
 159           186           214 
 160           187           213 
 161           187           213 
 162           188           212 
 163           189           211 
 164           189           211 
 165           190           210 
 165           190           211 
 166           191           212 
 166           192           212 
 166           192           213 
 166           193           214 
 167           193           215 
 167           194           216 
 167           195           217 
 168           195           218 
 168           196           219 
 168           197           220 
 169           197           221 
 169           198           222 
 169           198           223 
 170           199           224 
 170           200           224 
 170           200           225 
 170           201           226 
 171           202           227 
 171           203           227 
 171           204           228 
 172           205           228 
 172           206           229 
 172           207           230 
 173           208           230 
 173           209           231 
 173           210           231 
 174           211           232 
 174           211           233 
 174           212           233 
 174           213           234 
 175           214           235 
 175           215           235 
 176           215           236 
 176           216           236 
 177           216           237 
 178           216           238 
 178           217           238 
 179           217           239 
 180           218           240 
 181           218           241 
 182           218           242 
 183           219           243 
 184           219           244 
 184           220           244 
 186           220           245 
 189           221           246 
 192           222           246 
 196           223           247 
 199           224           247 
 203           225           248 
 207           226           248 
 211           227           249 
 214           228           249 
 218           229           250 
 221           230           250 
 223           231           250 
 226           232           250 
 228           233           250 
 230           233           250 
 232           234           250 
 235           235           250 
 123           130           80 
 135           136           82 
 142           139           88 
 148           141           92 
 152           142           95 
 157           144           98 
 161           145           100 
 167           147           102 
 171           149           104 
 175           150           105 
 178           153           105 
 181           156           105 
 184           159           105 
 188           162           107 
 191           163           108 
 194           165           110 
 197           167           109 
 200           170           108 
 203           173           106 
 207           176           105 
 210           177           105 
 213           179           104 
 215           180           104 
 218           182           104 
 221           183           103 
 225           185           104 
 228           188           103 
 231           191           103 
 234           194           102 
 237           196           102 
 240           197           102 
 244           199           101 
 246           202           101 
 247           205           101 
 249           208           100 
 250           210           102 
 250           213           111 
 250           215           123 
 250           218           133 
 250           220           143 
 250           222           152 
 250           224           162 
 250           226           171 
 250           229           183 
 250           231           193 
 250           234           203 
 250           236           212 
 250           238           222 
