{ Red  Green  Blue }
 250           155           0 
 253           157           0 
 252           156           0 
 253           155           0 
 253           154           0 
 253           153           0 
 253           152           0 
 253           151           0 
 253           150           0 
 252           149           0 
 251           149           0 
 252           147           0 
 252           146           0 
 251           145           0 
 252           144           0 
 251           143           0 
 250           142           0 
 251           141           0 
 251           140           0 
 251           139           0 
 250           138           0 
 251           138           0 
 250           137           0 
 249           135           0 
 250           135           0 
 250           134           0 
 250           133           0 
 249           132           0 
 250           131           0 
 249           130           0 
 248           129           0 
 249           128           0 
 249           127           0 
 248           126           0 
 249           124           0 
 248           124           0 
 247           123           0 
 248           122           0 
 248           121           0 
 248           120           0 
 247           119           1 
 248           118           0 
 247           118           1 
 246           116           1 
 247           116           1 
 247           115           1 
 247           114           1 
 246           113           1 
 247           112           1 
 246           111           1 
 246           110           1 
 245           109           1 
 246           108           1 
 246           107           1 
 246           106           1 
 246           105           1 
 245           104           1 
 244           103           1 
 245           102           1 
 245           101           1 
 245           100           1 
 244           99            1 
 245           98            1 
 244           97            1 
 243           96            1 
 244           96            1 
 244           95            1 
 244           94            1 
 243           93            1 
 244           92            1 
 243           91            1 
 242           90            1 
 243           89            1 
 243           88            1 
 243           87            1 
 242           86            1 
 243           86            1 
 242           85            1 
 241           84            1 
 242           83            1 
 242           82            1 
 242           81            1 
 241           80            1 
 242           79            1 
 241           78            1 
 241           77            1 
 240           76            1 
 241           75            1 
 240           74            1 
 241           73            1 
 240           72            1 
 240           71            1 
 239           70            1 
 240           69            1 
 239           68            1 
 240           67            1 
 239           66            1 
 239           65            1 
 238           64            1 
 239           63            0 
 239           62            1 
 239           61            2 
 239           60            1 
 239           59            2 
 238           58            2 
 237           58            2 
 238           57            2 
 238           56            2 
 238           55            2 
 237           54            2 
 238           53            2 
 237           52            2 
 236           51            2 
 237           50            2 
 237           49            2 
 237           48            2 
 236           48            2 
 237           47            2 
 236           46            2 
 235           45            2 
 236           44            2 
 236           43            2 
 236           42            2 
 235           41            2 
 236           40            2 
 235           39            2 
 234           38            2 
 235           37            2 
 235           36            2 
 234           35            2 
 235           34            2 
 234           33            2 
 234           32            2 
 233           31            2 
 234           30            2 
 234           29            2 
 233           28            2 
 234           27            2 
 233           26            2 
 233           25            2 
 232           25            2 
 233           24            1 
 233           23            2 
 233           22            3 
 233           21            2 
 232           20            3 
 232           19            3 
 231           19            3 
 232           18            3 
 232           17            3 
 232           16            3 
 231           15            3 
 232           14            3 
 231           13            3 
 230           12            3 
 231           11            3 
 231           10            3 
 231           9             3 
 230           8             3 
 231           8             3 
 230           7             3 
 229           6             3 
 230           5             3 
 230           4             3 
 229           4             2 
 228           6             3 
 226           7             4 
 225           8             4 
 224           9             5 
 222           11            4 
 221           12            5 
 220           14            6 
 219           15            5 
 217           16            6 
 216           18            6 
 214           19            7 
 213           20            8 
 212           22            7 
 211           23            8 
 209           24            9 
 209           26            9 
 207           27            10 
 205           29            9 
 205           30            10 
 203           31            11 
 202           33            11 
 200           34            11 
 199           36            11 
 198           37            12 
 197           38            13 
 195           39            12 
 194           40            13 
 193           42            14 
 191           43            14 
 190           45            14 
 189           46            14 
 188           47            15 
 186           49            16 
 185           50            15 
 184           52            16 
 182           53            16 
 181           54            17 
 180           55            18 
 179           57            17 
 177           58            18 
 176           60            19 
 174           61            19 
 173           62            20 
 172           64            19 
 171           65            20 
 169           66            21 
 168           68            20 
 167           69            21 
 166           70            22 
 164           72            22 
 163           73            23 
 162           74            22 
 161           75            23 
 159           77            24 
 158           78            24 
 157           80            25 
 155           81            24 
 154           82            25 
 153           84            25 
 151           85            26 
 150           87            27 
 149           88            26 
 147           89            27 
 147           91            28 
 145           92            27 
 143           93            28 
 142           95            29 
 141           96            29 
 140           97            29 
 138           99            29 
 137           100           30 
 136           102           31 
 135           103           31 
 133           104           31 
 132           105           32 
 131           107           32 
 129           108           32 
 128           110           32 
 127           111           33 
 126           112           34 
 124           113           33 
 123           115           34 
 122           116           34 
 120           118           35 
 119           119           36 
 118           120           35 
 116           122           36 
 115           123           36 
 114           125           37 
 112           126           38 
 111           127           37 
 110           128           38 
 109           130           39 
 107           131           38 
 106           133           39 
 105           134           39 
 103           135           40 
 102           136           41 
 101           138           40 
 100           139           41 
 99            140           42 
 97            142           42 
 96            143           43 
 95            145           42 
 93            146           43 
 92            147           44 
 91            148           44 
 89            150           45 
 88            151           44 
 87            153           45 
 85            154           46 
 84            155           45 
 83            157           46 
 81            158           47 
 80            160           47 
 79            161           48 
 78            162           47 
 76            164           48 
 75            165           49 
 74            166           49 
 72            168           49 
 71            169           49 
 70            170           50 
 69            171           51 
 68            173           51 
 66            174           51 
 64            176           52 
 64            177           52 
 62            178           52 
 61            180           52 
 60            181           53 
 58            183           54 
 57            184           53 
 56            185           54 
 54            186           54 
 53            188           55 
 52            189           56 
 50            191           55 
 49            192           56 
 48            193           56 
 47            195           57 
 45            196           58 
 44            197           57 
 43            199           58 
 41            200           59 
 40            202           58 
 39            203           59 
 38            204           60 
 37            205           60 
 35            206           61 
 34            208           60 
 32            209           61 
 31            211           62 
 30            212           62 
 29            213           63 
 27            215           62 
 26            216           63 
 25            218           64 
 23            219           63 
 22            220           64 
 21            221           64 
 20            223           65 
 18            224           66 
 17            226           65 
 16            227           66 
 14            228           67 
 13            230           67 
 12            231           67 
 10            229           66 
