{ Red  Green  Blue }
 2             1             0 
 3             2             1 
 4             3             1 
 5             3             1 
 6             4             1 
 7             4             2 
 8             5             1 
 9             6             2 
 10            7             3 
 11            7             3 
 12            8             3 
 13            9             3 
 14            9             4 
 15            10            4 
 16            11            4 
 17            11            4 
 18            12            5 
 19            13            5 
 20            13            5 
 21            14            5 
 22            15            6 
 23            15            6 
 24            16            6 
 25            17            7 
 26            17            7 
 27            18            7 
 28            19            7 
 29            19            8 
 30            20            8 
 31            21            8 
 32            22            8 
 33            22            9 
 34            23            9 
 35            23            9 
 36            24            9 
 37            25            10 
 38            26            10 
 39            26            10 
 40            27            11 
 41            28            11 
 42            28            11 
 43            29            11 
 44            30            12 
 45            31            12 
 46            31            12 
 47            32            13 
 48            33            13 
 49            33            13 
 50            34            14 
 51            34            14 
 52            35            14 
 53            36            14 
 54            37            15 
 55            37            15 
 56            38            15 
 57            39            16 
 58            39            16 
 59            40            16 
 60            41            16 
 61            42            17 
 62            42            17 
 63            43            17 
 64            44            18 
 65            44            18 
 66            45            18 
 67            46            18 
 68            47            19 
 69            47            19 
 70            48            20 
 71            49            20 
 72            49            20 
 72            50            21 
 74            51            21 
 75            52            22 
 76            53            22 
 77            54            23 
 78            54            23 
 79            55            24 
 80            56            24 
 81            57            24 
 82            57            25 
 83            58            25 
 84            59            26 
 85            60            26 
 86            60            27 
 87            61            27 
 88            62            27 
 89            63            28 
 90            63            28 
 91            64            29 
 92            65            29 
 92            66            29 
 93            66            30 
 94            67            30 
 95            68            31 
 96            69            31 
 97            69            31 
 98            70            32 
 99            71            32 
 100           71            32 
 101           72            33 
 102           73            33 
 103           74            34 
 104           74            34 
 105           75            35 
 105           76            35 
 106           76            36 
 107           77            36 
 108           78            37 
 109           79            37 
 110           79            38 
 110           80            38 
 111           81            38 
 112           81            39 
 113           82            39 
 114           83            40 
 115           83            40 
 116           84            41 
 116           85            41 
 117           86            42 
 118           86            42 
 119           87            43 
 120           88            43 
 121           88            44 
 122           89            44 
 123           90            45 
 123           91            45 
 124           91            46 
 125           92            46 
 126           92            46 
 127           93            47 
 128           94            47 
 129           94            48 
 129           95            48 
 130           96            49 
 131           96            49 
 132           97            50 
 133           98            51 
 133           99            51 
 134           100           52 
 135           100           53 
 136           101           53 
 137           102           54 
 138           103           55 
 139           104           56 
 140           105           57 
 141           106           57 
 142           106           58 
 143           107           58 
 143           108           59 
 144           109           60 
 145           110           60 
 145           110           61 
 146           111           62 
 147           112           62 
 148           113           63 
 149           113           64 
 150           114           64 
 150           115           65 
 151           116           66 
 152           116           66 
 153           117           67 
 154           118           68 
 154           119           68 
 155           119           69 
 156           120           69 
 157           121           70 
 158           122           71 
 159           123           71 
 159           123           72 
 160           124           73 
 161           125           73 
 161           125           74 
 162           126           75 
 163           127           76 
 164           128           76 
 164           128           77 
 165           129           78 
 166           130           78 
 167           131           79 
 167           131           80 
 168           132           81 
 169           133           81 
 169           133           82 
 170           134           83 
 171           135           84 
 172           136           84 
 172           136           85 
 173           137           86 
 174           138           87 
 175           139           87 
 175           139           88 
 176           140           89 
 177           141           90 
 178           142           90 
 178           142           91 
 179           143           92 
 180           144           93 
 181           145           93 
 181           145           94 
 182           146           95 
 183           146           95 
 183           147           96 
 184           148           97 
 185           149           98 
 185           150           99 
 186           150           100 
 187           151           101 
 187           152           101 
 188           153           102 
 189           154           103 
 190           154           104 
 190           155           105 
 191           156           106 
 191           157           107 
 192           158           108 
 193           158           109 
 194           159           109 
 194           160           110 
 195           161           111 
 196           161           112 
 196           162           113 
 197           163           114 
 198           164           115 
 198           165           116 
 199           165           116 
 200           166           117 
 200           167           118 
 201           168           119 
 201           169           120 
 202           169           121 
 203           170           122 
 203           171           123 
 204           172           124 
 205           173           124 
 205           173           125 
 206           174           126 
 207           175           127 
 207           176           128 
 208           176           129 
 208           177           130 
 209           178           131 
 209           179           132 
 210           179           134 
 211           180           134 
 211           181           135 
 212           182           136 
 212           183           137 
 213           183           138 
 213           184           139 
 214           185           140 
 215           186           142 
 215           186           143 
 216           187           144 
 216           188           145 
 217           189           146 
 217           189           147 
 218           190           148 
 218           191           149 
 219           192           150 
 219           192           151 
 220           193           152 
 221           194           153 
 221           195           154 
 222           196           155 
 222           196           156 
 223           197           157 
 223           198           158 
 224           199           159 
 225           199           160 
 225           200           162 
 226           201           163 
 226           202           164 
 227           202           165 
 227           203           166 
 228           204           168 
 228           205           169 
 229           206           170 
 229           206           171 
 230           207           173 
 230           208           174 
 231           208           175 
 231           209           176 
 232           210           178 
 232           211           179 
 233           212           180 
 233           212           181 
 234           213           182 
 234           214           184 
 235           215           185 
 235           216           186 
 236           216           187 
 236           217           189 
 237           218           190 
 237           219           191 
 238           220           192 
 238           220           194 
 239           221           195 
 239           222           196 
 240           223           197 
 240           224           199 
 241           224           200 
 241           225           201 
 242           226           202 
 242           227           203 
 242           227           205 
 243           228           206 
 243           229           207 
 243           230           209 
 244           231           210 
 244           231           211 
 244           232           213 
 245           233           214 
 245           234           216 
 246           235           217 
 246           235           218 
 246           236           220 
 247           237           221 
 247           238           222 
 248           239           224 
 248           239           225 
 248           240           227 
 249           241           228 
 249           242           229 
 250           243           231 
 250           243           232 
 250           244           234 
 251           245           235 
 251           246           236 
 251           246           238 
 252           247           239 
 252           248           241 
 253           249           242 
 253           250           243 
 253           250           245 
 254           251           246 
 254           252           247 
 254           253           249 
