{ Red  Green  Blue }
 192           2             0 
 193           5             0 
 194           8             0 
 195           10            0 
 196           13            0 
 197           16            0 
 198           19            0 
 199           22            0 
 200           24            0 
 201           27            0 
 202           30            0 
 203           32            0 
 204           36            0 
 206           39            0 
 207           41            0 
 208           44            0 
 209           47            0 
 210           49            0 
 211           53            0 
 212           55            0 
 213           58            0 
 214           61            0 
 215           63            0 
 216           66            0 
 217           69            0 
 218           72            0 
 219           75            0 
 220           77            0 
 221           80            0 
 222           83            0 
 223           85            0 
 224           88            0 
 225           90            0 
 226           92            0 
 227           94            0 
 227           96            0 
 228           99            0 
 229           101           0 
 230           103           0 
 231           105           0 
 232           107           0 
 232           109           0 
 233           112           0 
 234           114           0 
 235           116           0 
 236           118           0 
 236           120           0 
 237           122           0 
 238           125           0 
 239           127           0 
 240           129           0 
 241           131           0 
 241           133           0 
 242           135           0 
 243           138           0 
 244           140           0 
 245           142           0 
 245           144           0 
 246           147           0 
 247           149           0 
 248           151           0 
 249           153           0 
 250           155           0 
 250           158           0 
 251           160           0 
 252           162           0 
 253           164           0 
 254           167           0 
 254           169           0 
 254           168           1 
 253           167           3 
 253           165           4 
 252           163           7 
 251           161           9 
 250           159           11 
 249           157           13 
 248           155           15 
 248           153           17 
 246           151           19 
 246           149           21 
 245           147           23 
 244           145           25 
 243           143           27 
 242           141           29 
 241           139           31 
 241           137           33 
 240           135           35 
 239           134           37 
 238           132           39 
 237           130           41 
 236           128           43 
 235           126           45 
 235           124           47 
 234           122           49 
 233           120           51 
 232           118           53 
 231           116           55 
 230           114           57 
 229           112           59 
 229           110           61 
 228           108           63 
 227           106           65 
 226           105           67 
 225           102           69 
 224           100           71 
 223           99            73 
 223           97            75 
 222           95            77 
 221           93            79 
 220           91            81 
 219           89            83 
 218           87            85 
 217           85            87 
 217           83            89 
 216           82            90 
 216           81            92 
 215           80            93 
 214           78            94 
 214           77            96 
 213           76            97 
 213           75            98 
 212           73            100 
 211           72            101 
 211           71            102 
 210           70            103 
 210           69            105 
 209           67            106 
 209           66            108 
 208           65            109 
 207           63            110 
 207           62            111 
 206           61            113 
 206           60            114 
 205           58            115 
 205           57            117 
 204           56            118 
 203           55            119 
 203           54            121 
 202           52            122 
 202           51            123 
 201           50            125 
 201           49            126 
 200           47            127 
 199           46            128 
 199           45            130 
 198           43            131 
 198           42            133 
 197           41            134 
 197           40            135 
 196           39            136 
 195           37            138 
 195           36            139 
 194           35            140 
 194           34            142 
 193           32            143 
 193           31            144 
 192           30            146 
 191           29            147 
 191           27            148 
 190           26            150 
 190           25            151 
 189           24            152 
 188           22            153 
 188           21            155 
 187           20            156 
 187           19            158 
 186           18            159 
 186           16            160 
 185           15            161 
 184           14            163 
 184           12            164 
 183           11            165 
 183           10            167 
 182           9             168 
 181           7             169 
 181           6             171 
 180           5             172 
 180           4             173 
 179           3             175 
 179           1             176 
 178           0             177 
 177           0             178 
 176           0             178 
 175           0             178 
 174           0             179 
 173           0             179 
 172           0             179 
 171           0             179 
 169           0             180 
 168           0             180 
 167           0             180 
 166           0             180 
 165           0             180 
 164           0             181 
 163           0             181 
 162           0             181 
 161           0             181 
 160           0             181 
 159           0             182 
 158           0             182 
 157           0             182 
 156           0             182 
 155           0             182 
 154           0             183 
 152           0             183 
 151           0             183 
 150           0             183 
 149           0             183 
 148           0             184 
 147           0             184 
 146           0             184 
 145           0             184 
 144           0             184 
 143           0             185 
 142           0             185 
 141           0             185 
 140           0             185 
 139           0             185 
 137           0             186 
 136           0             186 
 135           0             186 
 134           0             186 
 133           0             186 
 132           0             187 
 131           0             187 
 130           0             187 
 129           0             187 
 128           0             187 
 127           0             188 
 126           0             188 
 125           0             188 
 124           0             188 
 123           0             188 
 122           0             189 
 120           0             189 
 119           0             189 
 118           0             189 
 117           0             190 
 116           0             190 
 115           0             190 
 114           0             190 
 113           0             190 
 112           0             191 
 111           0             191 
 110           0             191 
 109           0             191 
 108           0             191 
 106           0             192 
 105           0             192 
 104           0             192 
 103           0             192 
 102           0             192 
 101           0             193 
 100           0             193 
 99            0             193 
 98            0             193 
 97            0             193 
 96            0             194 
 95            0             194 
 94            0             194 
 93            0             194 
 92            0             194 
 91            0             195 
 90            0             195 
 88            0             195 
 87            0             195 
 86            0             195 
 85            0             196 
 84            0             196 
 83            0             196 
 81            0             196 
 80            0             197 
 79            0             197 
 78            0             197 
 77            0             197 
 76            0             197 
 74            0             198 
 73            0             198 
 72            0             198 
 71            0             198 
 70            0             199 
 68            0             199 
 67            0             199 
 66            0             199 
 65            0             200 
 64            0             200 
 63            0             200 
 61            0             200 
 60            0             200 
 59            0             201 
 58            0             201 
 57            0             201 
 55            0             201 
 54            0             202 
 53            0             202 
 52            0             202 
 51            0             202 
 50            0             202 
 48            0             203 
 47            0             203 
 46            0             203 
 45            0             203 
 44            0             204 
 42            0             204 
 41            0             204 
 40            0             204 
 39            0             204 
 38            0             205 
 37            0             205 
 35            0             205 
 34            0             205 
 33            0             206 
 32            0             206 
 31            0             206 
 29            0             206 
 28            0             206 
 27            0             207 
 26            0             207 
 25            0             207 
 24            0             207 
 22            0             208 
 21            0             208 
 20            0             208 
 19            0             208 
 18            0             208 
 16            0             209 
 15            0             209 
 14            0             209 
 13            0             209 
 12            0             210 
 11            0             210 
 9             0             210 
 8             0             210 
 7             0             211 
 6             0             211 
 5             0             211 
 3             0             211 
 2             0             211 
 1             0             212 
