{ Red  Green  Blue }
 3             3             252 
 5             5             250 
 6             6             249 
 7             7             248 
 9             9             246 
 11            11            244 
 12            12            243 
 14            14            241 
 15            15            240 
 16            16            239 
 18            18            237 
 20            20            235 
 21            21            234 
 23            23            232 
 24            24            231 
 25            25            230 
 27            27            228 
 29            29            226 
 30            30            225 
 32            32            223 
 33            33            222 
 34            34            221 
 36            36            219 
 38            38            217 
 39            39            216 
 41            41            214 
 42            42            213 
 43            43            212 
 45            45            210 
 47            47            208 
 48            48            207 
 50            50            205 
 51            51            204 
 52            52            203 
 54            54            201 
 55            55            200 
 57            57            198 
 58            58            197 
 60            60            195 
 61            61            194 
 62            62            193 
 64            64            191 
 66            66            189 
 67            67            188 
 69            69            186 
 70            70            185 
 71            71            184 
 73            73            182 
 75            75            180 
 76            76            179 
 78            78            177 
 79            79            176 
 80            80            175 
 82            82            173 
 84            84            171 
 85            85            170 
 87            87            168 
 88            88            167 
 89            89            166 
 91            91            164 
 93            93            162 
 94            94            161 
 96            96            159 
 97            97            158 
 98            98            157 
 100           100           155 
 102           102           153 
 103           103           152 
 105           105           150 
 106           106           149 
 107           107           148 
 109           109           146 
 111           111           144 
 112           112           143 
 114           114           141 
 115           115           140 
 116           116           139 
 118           118           137 
 120           120           135 
 121           121           134 
 123           123           132 
 124           124           131 
 125           125           130 
 127           127           128 
 129           129           126 
 130           130           125 
 132           132           123 
 133           133           122 
 134           134           121 
 136           136           119 
 138           138           117 
 139           139           116 
 140           140           115 
 142           142           113 
 143           143           112 
 145           145           110 
 146           146           109 
 148           148           107 
 149           149           106 
 151           151           104 
 152           152           103 
 153           153           102 
 155           155           100 
 157           157           98 
 158           158           97 
 160           160           95 
 161           161           94 
 162           162           93 
 164           164           91 
 166           166           89 
 167           167           88 
 169           169           86 
 170           170           85 
 171           171           84 
 173           173           82 
 175           175           80 
 176           176           79 
 178           178           77 
 179           179           76 
 180           180           75 
 182           182           73 
 183           183           72 
 185           185           70 
 186           186           69 
 188           188           67 
 189           189           66 
 191           191           64 
 192           192           63 
 194           194           61 
 195           195           60 
 197           197           58 
 198           198           57 
 200           200           55 
 201           201           54 
 203           203           52 
 204           204           51 
 206           206           49 
 207           207           48 
 209           209           46 
 210           210           45 
 212           212           43 
 213           213           42 
 215           215           40 
 216           216           39 
 218           218           37 
 219           219           36 
 221           221           34 
 222           222           33 
 224           224           31 
 225           225           30 
 227           227           28 
 228           228           27 
 230           230           25 
 231           231           24 
 233           233           22 
 234           234           21 
 236           236           19 
 237           237           18 
 239           239           16 
 240           240           15 
 242           242           13 
 243           243           12 
 245           245           10 
 246           246           9 
 248           248           7 
 249           249           6 
 251           251           4 
 252           252           3 
 254           254           1 
 255           255           0 
 253           255           0 
 252           255           0 
 250           255           0 
 249           255           0 
 247           255           0 
 246           255           0 
 244           255           0 
 243           255           0 
 241           255           0 
 240           255           0 
 238           255           0 
 237           255           0 
 235           255           0 
 234           255           0 
 232           255           0 
 231           255           0 
 229           255           0 
 228           255           0 
 226           255           0 
 225           255           0 
 223           255           0 
 222           255           0 
 220           255           0 
 219           255           0 
 217           255           0 
 216           255           0 
 214           255           0 
 213           255           0 
 211           255           0 
 210           255           0 
 208           255           0 
 207           255           0 
 205           255           0 
 204           255           0 
 202           255           0 
 201           255           0 
 199           255           0 
 198           255           0 
 196           255           0 
 195           255           0 
 193           255           0 
 192           255           0 
 190           255           0 
 189           255           0 
 187           255           0 
 186           255           0 
 184           255           0 
 183           255           0 
 181           255           0 
 180           255           0 
 179           255           0 
 177           255           0 
 175           255           0 
 174           255           0 
 172           255           0 
 171           255           0 
 170           255           0 
 168           255           0 
 166           255           0 
 165           255           0 
 164           255           0 
 162           255           0 
 161           255           0 
 159           255           0 
 157           255           0 
 156           255           0 
 155           255           0 
 153           255           0 
 152           255           0 
 150           255           0 
 149           255           0 
 147           255           0 
 146           255           0 
 144           255           0 
 143           255           0 
 141           255           0 
 140           255           0 
 138           255           0 
 137           255           0 
 136           255           0 
 134           255           0 
 133           255           0 
 131           255           0 
 129           255           0 
 128           255           0 
 127           255           0 
 125           255           0 
 124           255           0 
 122           255           0 
 120           255           0 
 119           255           0 
 118           255           0 
 116           255           0 
 115           255           0 
 113           255           0 
 111           255           0 
 110           255           0 
 109           255           0 
 107           255           0 
 106           255           0 
 104           255           0 
 102           255           0 
 101           255           0 
 100           255           0 
 98            255           0 
 97            255           0 
 95            255           0 
 93            255           0 
 92            255           0 
 91            255           0 
 89            255           0 
 88            255           0 
 86            255           0 
 84            255           0 
 83            255           0 
 82            255           0 
 80            255           0 
 79            255           0 
 77            255           0 
 75            255           0 
 74            255           0 
 73            255           0 
 71            255           0 
 70            255           0 
 68            255           0 
 66            255           0 
 65            255           0 
 64            255           0 
 62            255           0 
 61            255           0 
 59            255           0 
 57            255           0 
 56            255           0 
 55            255           0 
 53            255           0 
 52            255           0 
 51            255           0 
 49            255           0 
 47            255           0 
 46            255           0 
 45            255           0 
 43            255           0 
 42            255           0 
 40            255           0 
 38            255           0 
 37            255           0 
 36            255           0 
 34            255           0 
 33            255           0 
 31            255           0 
 29            255           0 
 28            255           0 
 27            255           0 
 25            255           0 
 24            255           0 
 22            255           0 
 20            255           0 
 19            255           0 
 18            255           0 
 16            255           0 
 15            255           0 
 13            255           0 
 11            255           0 
 10            255           0 
 9             255           0 
 7             255           0 
 6             255           0 
 4             255           0 
 2             255           0 
