{ Red  Green  Blue }
 253           0             255 
 250           0             255 
 248           0             255 
 246           0             255 
 244           0             255 
 242           0             255 
 239           0             255 
 237           0             255 
 234           0             255 
 232           0             255 
 230           0             255 
 228           0             255 
 226           0             255 
 223           0             255 
 221           0             255 
 219           0             255 
 217           0             255 
 214           0             255 
 212           0             255 
 210           0             255 
 207           0             255 
 205           0             255 
 203           0             255 
 201           0             255 
 199           0             255 
 196           0             255 
 194           0             255 
 192           0             255 
 190           0             255 
 187           0             255 
 185           0             255 
 182           0             255 
 180           0             255 
 178           0             255 
 176           0             255 
 174           0             255 
 172           0             255 
 169           0             255 
 167           0             255 
 165           0             255 
 162           0             255 
 160           0             255 
 158           0             255 
 155           0             255 
 153           0             255 
 151           0             255 
 149           0             255 
 147           0             255 
 145           0             255 
 142           0             255 
 140           0             255 
 137           0             255 
 135           0             255 
 133           0             255 
 131           0             255 
 128           0             255 
 126           0             255 
 124           0             255 
 122           0             255 
 120           0             255 
 117           0             255 
 115           0             255 
 113           0             255 
 110           0             255 
 108           0             255 
 106           0             255 
 104           0             255 
 101           0             255 
 99            0             255 
 97            0             255 
 95            0             255 
 92            0             255 
 90            0             255 
 88            0             255 
 85            0             255 
 83            0             255 
 81            0             255 
 79            0             255 
 77            0             255 
 74            0             255 
 72            0             255 
 70            0             255 
 68            0             255 
 65            0             255 
 63            0             255 
 61            0             255 
 58            0             255 
 56            0             255 
 54            0             255 
 52            0             255 
 50            0             255 
 47            0             255 
 45            0             255 
 43            0             255 
 40            0             255 
 38            0             255 
 36            0             255 
 33            0             255 
 31            0             255 
 29            0             255 
 27            0             255 
 25            0             255 
 23            0             255 
 20            0             255 
 18            0             255 
 16            0             255 
 13            0             255 
 11            0             255 
 9             0             255 
 6             0             255 
 4             0             255 
 3             0             255 
 2             1             255 
 1             1             255 
 0             3             255 
 0             5             255 
 0             7             255 
 0             9             255 
 0             11            255 
 0             13            255 
 0             16            255 
 0             18            255 
 0             20            255 
 0             23            255 
 0             25            255 
 0             27            255 
 0             30            255 
 0             32            255 
 0             34            255 
 0             36            255 
 0             38            255 
 0             40            255 
 0             43            255 
 0             45            255 
 0             47            255 
 0             50            255 
 0             52            255 
 0             54            255 
 0             57            255 
 0             59            255 
 0             61            255 
 0             63            255 
 0             65            255 
 0             67            255 
 0             70            255 
 0             72            255 
 0             74            255 
 0             77            255 
 0             79            255 
 0             81            255 
 0             84            255 
 0             86            255 
 0             88            255 
 0             90            255 
 0             92            255 
 0             94            255 
 0             97            255 
 0             99            255 
 0             101           255 
 0             104           255 
 0             106           255 
 0             108           255 
 0             111           255 
 0             113           255 
 0             115           255 
 0             117           255 
 0             119           255 
 0             121           255 
 0             124           255 
 0             126           255 
 0             128           255 
 0             131           255 
 0             133           255 
 0             135           255 
 0             138           255 
 0             140           255 
 0             142           255 
 0             144           255 
 0             146           255 
 0             148           255 
 0             151           255 
 0             153           255 
 0             155           255 
 0             157           255 
 0             160           255 
 0             162           255 
 0             165           255 
 0             167           255 
 0             169           255 
 0             171           255 
 0             173           255 
 0             175           255 
 0             178           255 
 0             180           255 
 0             182           255 
 0             184           255 
 0             187           255 
 0             189           255 
 0             192           255 
 0             194           255 
 0             196           255 
 0             198           255 
 0             200           255 
 0             202           255 
 0             205           255 
 0             207           255 
 0             209           255 
 0             211           255 
 0             214           255 
 0             216           255 
 0             218           255 
 0             221           255 
 0             223           255 
 0             225           255 
 0             227           255 
 0             229           255 
 0             232           255 
 0             234           255 
 0             236           255 
 0             238           255 
 0             241           255 
 0             243           255 
 0             245           255 
 0             248           255 
 0             250           255 
 0             252           254 
 0             253           253 
 0             254           252 
 0             255           250 
 0             255           248 
 0             255           245 
 0             255           243 
 0             255           241 
 0             255           239 
 0             255           237 
 0             255           234 
 0             255           232 
 0             255           230 
 0             255           228 
 0             255           225 
 0             255           223 
 0             255           221 
 0             255           218 
 0             255           216 
 0             255           214 
 0             255           212 
 0             255           210 
 0             255           207 
 0             255           205 
 0             255           203 
 0             255           201 
 0             255           198 
 0             255           196 
 0             255           194 
 0             255           191 
 0             255           189 
 0             255           187 
 0             255           185 
 0             255           183 
 0             255           180 
 0             255           178 
 0             255           176 
 0             255           174 
 0             255           171 
 0             255           169 
 0             255           167 
 0             255           164 
 0             255           162 
 0             255           160 
 0             255           158 
 0             255           156 
 0             255           153 
 0             255           151 
 0             255           149 
 0             255           147 
 0             255           144 
 0             255           142 
 0             255           140 
 0             255           137 
 0             255           135 
 0             255           133 
 0             255           131 
 0             255           129 
 0             255           126 
 0             255           124 
 0             255           122 
 0             255           120 
 0             255           117 
 0             255           115 
 0             255           113 
 0             255           110 
 0             255           108 
 0             255           106 
 0             255           104 
 0             255           102 
 0             255           99 
 0             255           97 
 0             255           95 
 0             255           93 
 0             255           90 
 0             255           88 
 0             255           86 
 0             255           83 
 0             255           81 
 0             255           79 
 0             255           77 
 0             255           75 
 0             255           72 
 0             255           70 
 0             255           68 
 0             255           66 
 0             255           63 
 0             255           61 
 0             255           59 
 0             255           56 
 0             255           54 
 0             255           52 
 0             255           50 
 0             255           48 
 0             255           45 
 0             255           43 
 0             255           41 
 0             255           39 
 0             255           36 
 0             255           34 
 0             255           32 
 0             255           29 
 0             255           27 
 0             255           25 
 0             255           23 
 0             255           21 
 0             255           18 
 0             255           16 
 0             255           14 
 0             255           12 
 0             255           9 
 0             255           7 
 0             255           5 
 0             255           2 
 0             255           0 
