{ Red  Green  Blue }
 14            0             125 
 16            0             127 
 18            0             129 
 19            0             131 
 21            0             132 
 23            0             134 
 25            0             136 
 27            0             138 
 28            0             140 
 29            0             141 
 30            0             143 
 32            0             145 
 33            0             147 
 35            0             148 
 36            0             150 
 37            0             152 
 37            0             153 
 36            0             155 
 34            1             157 
 33            1             158 
 32            1             160 
 30            2             161 
 29            2             163 
 28            2             165 
 26            3             166 
 25            3             168 
 24            3             169 
 23            4             171 
 22            4             172 
 20            4             174 
 19            5             176 
 18            5             177 
 16            5             179 
 15            6             180 
 14            6             182 
 13            6             184 
 11            7             185 
 10            7             186 
 9             8             188 
 8             8             189 
 6             8             191 
 5             8             193 
 4             9             194 
 4             9             195 
 3             10            196 
 3             10            197 
 2             11            198 
 1             12            200 
 1             12            201 
 0             13            202 
 0             13            203 
 0             14            204 
 0             15            204 
 0             16            205 
 0             17            206 
 0             18            207 
 0             19            208 
 0             20            209 
 0             21            210 
 0             22            211 
 0             23            212 
 0             24            212 
 0             25            213 
 0             26            213 
 0             27            214 
 0             28            215 
 0             29            216 
 0             30            216 
 0             30            217 
 0             31            218 
 0             33            219 
 0             34            220 
 0             35            220 
 0             36            221 
 0             37            222 
 0             38            223 
 0             39            224 
 1             43            225 
 2             46            226 
 4             49            226 
 5             52            227 
 6             56            228 
 8             59            229 
 9             63            230 
 11            66            231 
 12            69            232 
 14            73            233 
 15            77            234 
 17            80            235 
 19            85            236 
 20            89            237 
 22            92            238 
 23            96            239 
 25            100           240 
 25            102           241 
 24            104           241 
 23            106           242 
 23            108           242 
 22            109           242 
 21            111           243 
 20            113           243 
 20            115           244 
 19            116           244 
 18            118           245 
 18            120           245 
 17            122           246 
 17            124           247 
 16            126           247 
 15            127           248 
 15            129           248 
 14            131           249 
 14            133           249 
 14            136           250 
 15            139           250 
 16            141           250 
 17            144           251 
 18            147           251 
 18            150           251 
 19            152           251 
 20            156           252 
 21            158           252 
 22            161           253 
 23            163           253 
 24            165           253 
 25            167           254 
 26            170           254 
 27            172           254 
 28            174           255 
 29            177           255 
 30            178           255 
 31            179           255 
 33            180           255 
 34            181           255 
 36            182           255 
 37            183           255 
 39            184           255 
 40            185           255 
 42            186           255 
 43            187           255 
 45            187           255 
 46            188           255 
 47            189           255 
 49            190           255 
 50            191           255 
 52            191           255 
 53            192           255 
 54            193           255 
 56            194           255 
 57            195           255 
 58            195           255 
 59            196           255 
 60            197           255 
 61            198           255 
 62            199           255 
 63            199           255 
 65            200           255 
 66            201           255 
 68            203           255 
 69            204           255 
 71            205           255 
 73            206           255 
 74            207           255 
 76            208           255 
 78            209           255 
 79            210           255 
 81            212           255 
 82            213           255 
 84            215           255 
 86            216           255 
 88            218           255 
 89            219           255 
 91            221           255 
 93            222           255 
 95            223           255 
 101           224           255 
 105           224           255 
 110           225           255 
 115           225           255 
 120           226           255 
 125           226           255 
 131           227           255 
 136           227           255 
 141           227           255 
 146           228           255 
 152           228           255 
 157           228           255 
 164           229           255 
 169           229           255 
 175           229           255 
 182           231           255 
 169           216           225 
 63            148           58 
 62            195           93 
 124           218           126 
 183           227           146 
 202           227           154 
 214           225           161 
 227           224           169 
 242           222           177 
 253           220           183 
 254           219           181 
 253           217           175 
 252           215           170 
 250           213           165 
 249           210           159 
 247           208           153 
 246           206           148 
 245           204           142 
 243           202           137 
 242           200           132 
 240           198           126 
 239           196           120 
 237           194           114 
 236           192           109 
 235           190           104 
 233           188           98 
 231           185           92 
 230           183           86 
 228           181           81 
 227           179           76 
 226           177           70 
 224           176           65 
 222           174           58 
 221           171           53 
 220           169           47 
 218           167           42 
 215           166           38 
 210           164           37 
 203           163           37 
 198           161           36 
 193           160           35 
 187           159           34 
 182           157           33 
 176           156           32 
 171           155           31 
 168           153           30 
 167           152           29 
 167           151           29 
 167           150           28 
 166           149           27 
 166           148           27 
 165           147           26 
 165           146           25 
 164           144           25 
 164           143           24 
 164           142           23 
 163           141           23 
 163           140           22 
 163           139           22 
 163           138           21 
 163           137           20 
 162           135           20 
 162           134           19 
 162           133           18 
 161           132           17 
 161           130           17 
 161           129           16 
 160           128           15 
 160           127           15 
 160           125           14 
 159           124           13 
 159           123           13 
 159           122           12 
 158           121           11 
 158           120           10 
 158           118           10 
 157           117           9 
 157           116           8 
 157           115           8 
 156           114           7 
 156           113           6 
 155           111           5 
 155           110           5 
 155           109           4 
 154           107           3 
 154           106           2 
 154           105           1 
 153           104           1 
 153           102           0 
 154           101           5 
 155           100           15 
 156           98            25 
 157           97            35 
 158           95            47 
 159           93            56 
 160           92            66 
 161           91            76 
 162           89            85 
 164           91            91 
 166           95            95 
 168           98            98 
 169           101           101 
 171           104           104 
 173           108           108 
 175           111           111 
 177           115           115 
 178           118           118 
 179           121           121 
 179           124           124 
 180           128           128 
 180           131           131 
 181           135           135 
 182           138           138 
 182           141           141 
 183           144           144 
 184           147           147 
 185           150           150 
 186           154           154 
 187           158           158 
 188           161           161 
 190           164           164 
 191           167           167 
 192           170           170 
 193           174           174 
 195           178           178 
 196           180           180 
 197           183           183 
 198           186           186 
 199           189           189 
 200           193           193 
 202           196           196 
 202           200           200 
 203           203           203 
 205           205           205 
 208           208           208 
 212           212           212 
 214           214           214 
 217           217           217 
 220           220           220 
 223           223           223 
 225           225           225 
 229           229           229 
 232           232           232 
 235           235           235 
 237           237           237 
 240           240           240 
 243           243           243 
 246           246           246 
 250           250           250 
 254           254           254 
