{ Red  Green  Blue }
 84            124           0 
 84            139           0 
 84            154           0 
 84            169           0 
 84            185           0 
 84            203           0 
 84            218           0 
 84            233           0 
 84            248           0 
 92            239           0 
 107           209           0 
 125           173           0 
 141           142           0 
 156           111           0 
 169           90            0 
 170           100           0 
 170           116           0 
 170           134           0 
 170           150           0 
 170           165           0 
 170           180           0 
 170           195           0 
 170           210           0 
 170           228           0 
 170           244           0 
 175           245           0 
 189           219           0 
 204           188           0 
 219           158           0 
 236           123           0 
 251           93            0 
 255           96            0 
 255           111           0 
 255           127           0 
 255           141           0 
 255           159           0 
 255           176           0 
 255           191           0 
 255           206           0 
 255           221           0 
 255           236           0 
 250           247           2 
 213           227           20 
 168           197           43 
 123           166           66 
 78            136           88 
 32            106           111 
 1             92            126 
 0             107           127 
 0             122           127 
 0             137           127 
 0             153           127 
 0             168           127 
 0             185           127 
 0             202           127 
 0             217           127 
 0             232           127 
 0             247           127 
 6             236           127 
 22            188           127 
 39            135           127 
 54            90            127 
 69            45            127 
 81            9             127 
 84            13            127 
 84            30            127 
 84            48            127 
 84            62            127 
 84            77            127 
 84            92            127 
 84            107           127 
 84            124           127 
 84            142           127 
 84            157           127 
 84            172           127 
 84            187           127 
 84            202           127 
 84            218           127 
 84            236           127 
 85            248           127 
 94            224           127 
 110           179           127 
 125           134           127 
 141           87            127 
 159           32            127 
 170           7             127 
 170           18            127 
 170           33            127 
 170           48            127 
 170           63            127 
 170           81            127 
 170           97            127 
 170           112           127 
 170           127           127 
 170           142           127 
 170           158           127 
 170           176           127 
 170           192           127 
 170           206           127 
 170           221           127 
 170           237           127 
 171           248           127 
 184           214           127 
 200           166           127 
 215           121           127 
 230           76            127 
 245           31            127 
 255           7             127 
 255           22            127 
 255           38            127 
 255           52            127 
 255           67            127 
 255           82            127 
 255           97            127 
 255           115           127 
 255           132           127 
 255           146           127 
 255           162           127 
 255           177           127 
 255           192           127 
 255           210           127 
 255           226           127 
 255           241           127 
 249           249           130 
 210           225           150 
 165           195           173 
 112           159           199 
 63            126           224 
 19            97            246 
 0             93            255 
 0             108           255 
 0             123           255 
 0             141           255 
 0             158           255 
 0             173           255 
 0             188           255 
 0             203           255 
 0             217           255 
 0             235           255 
 0             249           255 
 10            223           255 
 25            177           255 
 40            132           255 
 55            88            255 
 72            36            255 
 83            6             255 
 84            19            255 
 84            34            255 
 84            49            255 
 84            63            255 
 84            80            255 
 84            97            255 
 84            112           255 
 84            128           255 
 84            143           255 
 84            158           255 
 84            175           255 
 84            192           255 
 84            207           255 
 84            222           255 
 84            237           255 
 85            248           255 
 97            218           255 
 115           164           255 
 130           119           255 
 145           74            255 
 160           29            255 
 169           7             255 
 170           20            255 
 170           38            255 
 170           53            255 
 170           68            255 
 170           83            255 
 170           98            255 
 170           114           255 
 170           132           255 
 170           147           255 
 170           162           255 
 170           178           255 
 170           192           255 
 170           208           255 
 170           226           255 
 170           242           255 
 173           245           255 
 186           208           255 
 201           163           255 
 217           116           255 
 235           62            255 
 249           18            255 
 255           9             255 
 255           24            255 
 255           39            255 
 255           54            255 
 255           72            255 
 255           87            255 
 255           102           255 
 255           117           255 
 255           132           255 
 255           148           255 
 253           163           253 
 227           148           221 
 188           117           176 
 152           87            131 
 114           57            86 
 76            27            40 
 47            2             3 
 51            0             0 
 59            0             0 
 67            0             0 
 74            0             0 
 82            0             0 
 90            0             0 
 98            0             0 
 106           0             0 
 113           0             0 
 121           0             0 
 129           0             0 
 138           0             0 
 146           0             0 
 153           0             0 
 161           0             0 
 169           0             0 
 176           0             0 
 185           0             0 
 193           0             0 
 200           0             0 
 208           0             0 
 215           0             0 
 223           0             0 
 232           0             0 
 240           0             0 
 248           0             0 
 248           1             0 
 213           6             0 
 168           14            0 
 116           22            0 
 66            31            0 
 22            38            0 
 0             46            0 
 0             53            0 
 0             60            0 
 0             69            0 
 0             77            0 
 0             85            0 
 0             92            0 
 0             100           0 
 0             108           0 
 0             116           0 
 0             125           0 
 0             132           0 
 0             139           0 
 0             147           0 
 0             155           0 
 0             163           0 
 0             172           0 
 0             179           0 
 0             187           0 
 0             194           0 
 0             202           0 
 0             210           0 
 0             219           0 
 0             226           0 
 0             234           0 
 0             241           0 
 0             249           0 
 0             242           2 
 0             194           10 
 0             148           17 
 0             103           25 
 0             58            32 
 0             16            39 
 0             0             47 
 0             0             56 
 0             0             63 
 0             0             71 
 0             0             78 
 0             0             86 
 0             0             94 
 0             0             103 
 0             0             111 
 0             0             118 
 0             0             126 
 0             0             133 
 0             0             141 
 0             0             151 
 0             0             158 
 0             0             166 
 0             0             173 
 0             0             181 
 0             0             188 
 0             0             197 
 0             0             205 
 0             0             212 
 0             0             220 
 0             0             227 
 0             0             235 
 0             0             244 
 0             0             251 
 0             0             230 
 0             0             185 
 0             0             140 
 0             0             95 
 0             0             40 
 1             1             4 
 7             7             6 
 13            13            13 
 19            19            19 
 26            26            26 
 34            34            34 
 40            40            40 
 46            46            46 
 53            53            53 
 59            59            59 
 66            66            66 
 73            73            73 
 80            80            80 
 87            87            87 
 93            93            93 
 100           100           100 
 106           106           106 
 114           114           114 
 121           121           121 
 127           127           127 
 134           134           134 
 140           140           140 
 146           146           146 
 154           154           154 
 161           161           161 
 167           167           167 
 174           174           174 
 180           180           180 
 187           187           187 
 195           195           195 
 201           201           201 
 207           207           207 
 214           214           214 
 220           220           220 
 227           227           227 
 234           234           234 
 242           242           242 
