{ Red  Green  Blue }
 15            0             0 
 17            0             0 
 19            0             0 
 21            0             0 
 22            0             0 
 24            0             0 
 26            0             0 
 28            0             0 
 30            0             0 
 32            0             0 
 34            0             0 
 36            0             0 
 38            0             0 
 40            0             0 
 42            0             0 
 44            0             0 
 46            0             0 
 48            0             0 
 50            0             0 
 52            0             0 
 54            0             0 
 56            0             0 
 58            0             0 
 60            0             0 
 62            0             0 
 63            0             0 
 65            0             0 
 67            0             0 
 69            0             0 
 71            0             0 
 74            0             0 
 75            0             0 
 77            0             0 
 79            0             0 
 81            0             0 
 83            0             0 
 85            0             0 
 87            0             0 
 89            0             0 
 91            0             0 
 92            0             0 
 94            0             0 
 96            0             0 
 98            0             0 
 100           0             0 
 102           0             0 
 104           0             0 
 106           0             0 
 108           0             0 
 110           0             0 
 112           0             0 
 114           0             0 
 115           0             0 
 118           0             0 
 120           0             0 
 122           0             0 
 124           0             0 
 126           0             0 
 128           0             0 
 130           0             0 
 132           0             0 
 134           0             0 
 136           0             0 
 138           0             0 
 140           0             0 
 142           0             0 
 144           0             0 
 145           0             0 
 147           0             0 
 149           0             0 
 151           0             0 
 153           0             0 
 155           0             0 
 157           0             0 
 159           0             0 
 161           0             0 
 163           0             0 
 165           0             0 
 168           0             0 
 170           0             0 
 171           0             0 
 173           0             0 
 175           0             0 
 177           0             0 
 179           0             0 
 181           0             0 
 183           0             0 
 185           0             0 
 187           0             0 
 189           0             0 
 191           0             0 
 193           0             0 
 195           0             0 
 196           0             0 
 198           0             0 
 200           0             0 
 202           0             0 
 204           0             0 
 206           0             0 
 208           0             0 
 210           0             0 
 212           0             0 
 214           0             0 
 216           0             0 
 218           0             0 
 220           0             0 
 222           0             0 
 224           0             0 
 226           0             0 
 228           0             0 
 230           0             0 
 232           0             0 
 234           0             0 
 236           0             0 
 238           0             0 
 240           0             0 
 242           0             0 
 244           0             0 
 246           0             0 
 247           0             0 
 249           0             0 
 251           0             0 
 253           0             0 
 255           0             0 
 255           1             0 
 255           3             0 
 255           5             0 
 255           7             0 
 255           9             0 
 255           10            0 
 255           12            0 
 255           14            0 
 255           17            0 
 255           19            0 
 255           21            0 
 255           22            0 
 255           24            0 
 255           26            0 
 255           28            0 
 255           30            0 
 255           32            0 
 255           34            0 
 255           36            0 
 255           38            0 
 255           40            0 
 255           42            0 
 255           44            0 
 255           46            0 
 255           48            0 
 255           50            0 
 255           52            0 
 255           54            0 
 255           56            0 
 255           58            0 
 255           60            0 
 255           61            0 
 255           63            0 
 255           66            0 
 255           68            0 
 255           69            0 
 255           71            0 
 255           73            0 
 255           75            0 
 255           77            0 
 255           79            0 
 255           81            0 
 255           83            0 
 255           85            0 
 255           87            0 
 255           89            0 
 255           91            0 
 255           93            0 
 255           95            0 
 255           97            0 
 255           99            0 
 255           101           0 
 255           103           0 
 255           105           0 
 255           107           0 
 255           109           0 
 255           111           0 
 255           113           0 
 255           115           0 
 255           116           0 
 255           118           0 
 255           120           0 
 255           122           0 
 255           125           0 
 255           127           0 
 255           129           0 
 255           131           0 
 255           132           0 
 255           134           0 
 255           136           0 
 255           139           0 
 255           140           0 
 255           142           0 
 255           143           0 
 255           145           0 
 255           147           0 
 255           149           0 
 255           151           0 
 255           153           0 
 255           155           0 
 255           157           0 
 255           159           0 
 255           161           0 
 255           163           0 
 255           165           0 
 255           167           0 
 255           169           0 
 255           171           0 
 255           173           0 
 255           175           0 
 255           177           0 
 255           179           0 
 255           180           0 
 255           183           0 
 255           185           0 
 255           187           0 
 255           189           0 
 255           191           0 
 255           192           0 
 255           195           0 
 255           196           0 
 255           198           0 
 255           200           0 
 255           202           0 
 255           204           0 
 255           206           0 
 255           208           0 
 255           210           0 
 255           212           0 
 255           214           0 
 255           216           0 
 255           219           0 
 255           220           0 
 255           222           0 
 255           224           0 
 255           226           0 
 255           228           0 
 255           230           0 
 255           232           0 
 255           234           0 
 255           236           0 
 255           238           0 
 255           240           0 
 255           242           0 
 255           244           0 
 255           246           0 
 255           248           0 
 255           250           0 
 255           252           0 
 255           254           0 
 255           255           0 
 255           255           3 
 255           255           6 
 255           255           8 
 255           255           11 
 255           255           14 
 255           255           17 
 255           255           20 
 255           255           23 
 255           255           25 
 255           255           28 
 255           255           31 
 255           255           34 
 255           255           37 
 255           255           40 
 255           255           43 
 255           255           46 
 255           255           49 
 255           255           52 
 255           255           55 
 255           255           58 
 255           255           61 
 255           255           64 
 255           255           66 
 255           255           70 
 255           255           73 
 255           255           76 
 255           255           78 
 255           255           81 
 255           255           84 
 255           255           88 
 255           255           90 
 255           255           93 
 255           255           96 
 255           255           99 
 255           255           102 
 255           255           105 
 255           255           108 
 255           255           111 
 255           255           114 
 255           255           117 
 255           255           119 
 255           255           123 
 255           255           126 
 255           255           128 
 255           255           131 
 255           255           134 
 255           255           137 
 255           255           141 
 255           255           143 
 255           255           146 
 255           255           149 
 255           255           152 
 255           255           155 
 255           255           158 
 255           255           161 
 255           255           164 
 255           255           167 
 255           255           170 
 255           255           173 
 255           255           176 
 255           255           179 
 255           255           182 
 255           255           184 
 255           255           187 
 255           255           190 
 255           255           193 
 255           255           196 
 255           255           199 
 255           255           202 
 255           255           205 
 255           255           208 
 255           255           211 
 255           255           214 
 255           255           217 
 255           255           220 
 255           255           223 
 255           255           225 
 255           255           229 
 255           255           232 
 255           255           235 
 255           255           238 
 255           255           240 
 255           255           243 
 255           255           246 
 255           255           250 
