{ Red  Green  Blue }
 252           88            81 
 250           90            79 
 249           91            78 
 248           93            77 
 246           94            75 
 244           96            74 
 243           97            72 
 241           99            71 
 240           100           69 
 239           102           68 
 237           103           67 
 235           105           65 
 234           106           63 
 232           108           62 
 231           109           60 
 230           111           59 
 228           112           58 
 226           114           56 
 225           115           54 
 223           117           53 
 222           118           51 
 221           120           50 
 219           121           49 
 217           123           47 
 216           124           45 
 214           126           44 
 213           127           42 
 212           129           41 
 210           130           40 
 208           132           38 
 207           133           36 
 205           135           35 
 204           136           33 
 203           138           32 
 201           139           31 
 200           141           29 
 198           142           27 
 197           144           26 
 195           145           24 
 194           147           23 
 193           148           22 
 191           150           20 
 189           151           19 
 188           153           17 
 186           154           16 
 185           156           14 
 184           157           13 
 182           159           11 
 180           160           10 
 179           162           8 
 177           163           7 
 176           164           5 
 175           166           4 
 173           168           2 
 171           169           1 
 170           171           0 
 168           172           1 
 167           173           3 
 166           175           4 
 164           176           6 
 162           178           7 
 161           179           9 
 159           181           10 
 158           182           12 
 157           184           13 
 155           185           15 
 153           187           16 
 152           188           18 
 150           190           19 
 149           191           21 
 148           193           22 
 146           194           24 
 144           196           25 
 143           197           27 
 141           199           28 
 140           200           30 
 139           202           31 
 137           203           33 
 135           205           34 
 134           206           36 
 132           208           37 
 131           209           39 
 130           210           40 
 128           212           41 
 126           214           43 
 125           215           44 
 123           217           46 
 122           218           47 
 121           219           49 
 119           221           50 
 117           223           52 
 116           224           53 
 115           226           55 
 113           227           56 
 112           228           58 
 110           230           59 
 109           232           61 
 107           233           62 
 106           235           64 
 104           236           65 
 103           237           67 
 102           239           68 
 100           241           70 
 98            242           71 
 97            244           73 
 95            245           74 
 94            246           76 
 93            248           77 
 91            250           79 
 89            251           80 
 88            253           82 
 86            254           83 
 85            255           85 
 84            254           86 
 82            252           88 
 80            251           89 
 79            249           91 
 77            248           92 
 76            247           94 
 75            245           95 
 73            243           97 
 72            242           98 
 70            240           100 
 69            239           101 
 67            238           103 
 66            236           104 
 64            235           106 
 63            233           107 
 61            232           109 
 60            230           110 
 58            229           112 
 57            228           113 
 55            226           115 
 54            224           116 
 52            223           118 
 51            221           119 
 49            220           120 
 48            219           122 
 46            217           124 
 45            215           125 
 43            214           127 
 42            212           128 
 40            211           129 
 39            210           131 
 37            208           133 
 36            206           134 
 34            205           136 
 33            203           137 
 31            202           138 
 30            201           140 
 28            199           141 
 27            197           143 
 25            196           144 
 24            194           146 
 22            193           147 
 21            192           149 
 19            190           150 
 18            188           152 
 16            187           153 
 15            185           155 
 13            184           156 
 12            183           157 
 10            181           159 
 9             179           161 
 7             178           162 
 6             176           164 
 4             175           165 
 3             174           166 
 1             172           168 
 0             170           170 
 0             169           171 
 2             167           173 
 3             166           174 
 5             165           175 
 6             163           177 
 8             161           179 
 9             160           180 
 11            158           182 
 12            157           183 
 14            156           184 
 15            154           186 
 17            153           188 
 18            151           189 
 20            150           191 
 21            148           192 
 23            147           193 
 24            145           195 
 26            144           197 
 27            142           198 
 29            141           200 
 30            139           201 
 32            138           202 
 33            137           204 
 35            135           206 
 36            133           207 
 38            132           209 
 39            130           210 
 41            129           211 
 42            128           213 
 44            126           215 
 45            124           216 
 47            123           217 
 48            122           219 
 50            120           220 
 51            119           222 
 53            117           224 
 54            115           225 
 56            114           226 
 57            113           228 
 59            111           229 
 60            110           231 
 62            108           233 
 63            107           234 
 65            105           235 
 66            104           237 
 68            102           238 
 69            101           239 
 71            99            241 
 72            98            243 
 73            96            244 
 75            95            245 
 76            93            247 
 78            92            248 
 80            90            250 
 81            89            252 
 82            87            253 
 84            86            254 
 85            84            255 
 87            83            254 
 89            81            252 
 90            80            250 
 91            78            249 
 93            77            248 
 94            75            246 
 96            74            245 
 98            72            243 
 99            71            241 
 100           69            240 
 102           68            239 
 103           66            237 
 105           65            236 
 106           63            234 
 108           62            232 
 109           60            231 
 111           59            230 
 112           57            228 
 114           56            227 
 115           54            225 
 117           53            223 
 118           51            222 
 119           50            221 
 121           48            219 
 122           47            218 
 124           45            216 
 126           44            214 
 127           42            213 
 128           41            212 
 130           39            210 
 131           38            209 
 133           36            207 
 135           35            205 
 136           34            204 
 137           32            203 
 139           31            201 
 140           29            200 
 142           28            198 
 144           26            197 
 145           25            195 
 146           23            194 
 148           22            192 
 149           20            191 
 151           19            189 
 153           17            188 
 154           16            186 
 155           14            185 
 157           13            183 
 158           11            182 
 160           10            180 
 162           8             179 
 163           7             177 
 164           5             176 
 166           4             174 
 167           2             173 
 169           1             171 
 171           0             170 
 172           1             168 
 173           3             167 
 175           4             166 
 176           6             164 
 178           7             163 
 180           9             161 
 181           10            159 
 182           12            158 
 184           13            157 
 185           15            155 
 187           16            154 
 189           18            152 
 190           19            151 
 191           21            149 
 193           22            148 
 194           24            146 
 196           25            145 
 198           27            143 
 199           28            142 
 200           29            140 
 202           31            139 
 203           32            137 
 204           34            136 
 206           36            134 
 208           37            133 
 209           38            131 
 210           40            130 
 212           41            128 
 213           43            127 
 215           45            125 
 217           46            124 
 218           47            122 
 219           49            121 
 221           50            119 
 222           52            118 
 224           54            116 
 226           55            115 
 227           56            113 
 228           58            112 
 230           59            110 
 231           61            109 
 233           63            107 
 235           64            106 
 236           65            104 
 237           67            103 
 239           68            101 
 240           70            100 
 242           71            98 
 244           73            97 
 245           74            95 
 246           76            94 
 248           77            92 
 249           78            91 
 251           80            89 
 253           82            88 
