{ Red  Green  Blue }
 247           229           241 
 244           226           238 
 246           223           239 
 245           222           238 
 243           218           237 
 245           218           237 
 242           213           235 
 241           209           232 
 242           208           232 
 240           204           230 
 239           203           229 
 241           202           229 
 237           198           225 
 240           197           227 
 236           193           223 
 237           192           225 
 235           190           223 
 234           187           221 
 236           186           221 
 235           185           220 
 232           182           217 
 233           183           218 
 233           181           219 
 234           182           220 
 232           177           216 
 233           177           216 
 231           175           214 
 229           173           212 
 230           172           213 
 230           169           211 
 227           166           208 
 229           166           211 
 225           162           207 
 227           161           207 
 228           160           209 
 226           158           207 
 224           156           205 
 225           155           205 
 224           154           204 
 223           150           203 
 224           151           204 
 225           151           204 
 222           145           199 
 222           145           201 
 221           142           199 
 220           141           198 
 221           140           198 
 221           137           197 
 219           135           195 
 220           134           195 
 216           130           191 
 219           129           193 
 217           127           191 
 216           126           190 
 217           125           192 
 214           122           189 
 214           119           187 
 215           118           187 
 212           115           184 
 214           114           186 
 211           109           182 
 211           109           183 
 210           107           180 
 208           105           178 
 210           104           179 
 206           100           175 
 210           99            178 
 209           98            177 
 205           94            173 
 206           93            175 
 204           91            173 
 205           87            171 
 206           88            172 
 204           86            170 
 202           82            169 
 203           83            170 
 202           80            167 
 201           79            166 
 202           78            166 
 202           75            166 
 200           73            164 
 201           72            165 
 197           68            161 
 198           67            161 
 200           66            161 
 197           63            158 
 197           63            160 
 196           62            159 
 199           60            159 
 197           58            157 
 196           57            156 
 197           57            156 
 195           55            154 
 193           53            152 
 194           52            154 
 192           47            150 
 192           45            151 
 193           46            152 
 192           42            149 
 191           41            148 
 191           40            147 
 188           37            144 
 189           35            145 
 186           32            142 
 189           31            142 
 186           28            139 
 186           25            139 
 187           26            140 
 185           27            140 
 185           24            138 
 184           21            138 
 185           20            138 
 183           15            136 
 182           12            134 
 180           10            132 
 182           10            132 
 182           8             132 
 180           6             130 
 179           5             129 
 180           6             130 
 182           3             131 
 179           0             128 
 177           1             128 
 176           0             127 
 175           0             127 
 174           1             129 
 173           0             128 
 171           0             128 
 170           1             128 
 169           0             129 
 166           0             128 
 167           0             131 
 166           1             131 
 165           0             130 
 163           0             129 
 164           1             130 
 161           0             129 
 160           0             128 
 160           0             129 
 160           1             130 
 157           0             129 
 156           0             128 
 156           1             129 
 155           0             130 
 154           0             130 
 152           1             130 
 150           1             129 
 149           0             130 
 148           1             131 
 147           0             130 
 145           0             129 
 145           0             131 
 144           0             131 
 142           1             132 
 141           0             131 
 140           0             131 
 139           0             130 
 137           0             130 
 136           0             132 
 135           0             131 
 134           0             131 
 134           0             133 
 133           0             132 
 131           0             132 
 130           0             132 
 127           0             131 
 126           0             133 
