{ r     g     b}
 000   000   255
 003   003   255
 021   021   255
 039   039   255
 057   057   255
 075   075   255
 093   093   255
 111   111   255
 129   129   255
 147   147   255
 165   165   255
 183   183   255
 201   201   255
 219   219   255
 237   237   255
 255   255   255
 255   237   237
 255   219   219
 255   201   201
 255   183   183
 255   165   165
 255   147   147
 255   129   129
 255   111   111
 255   093   093
 255   075   075
 255   057   057
 255   039   039
 255   021   021
 255   003   003
 255   000   000









