{ Red  Green  Blue }
 64            0             64 
 64            0             192 
 0             64            255 
 0             128           255 
 0             160           255 
 64            192           255 
 64            224           255 
 64            255           255 
 64            255           192 
 64            255           64 
 128           255           64 
 192           255           64 
 255           255           64 
 255           224           64 
 255           160           64 
 255           96            64 
 255           32            64 
 255           96            192 
 255           160           255 
 255           224           254 
 255           224           253 
 255           224           251 
 255           224           249 
 255           224           248 
 255           224           246 
 255           224           244 
 255           224           242 
 255           224           240 
 255           224           239 
 255           224           237 
 255           224           235 
 255           224           233 
 255           224           231 
 255           224           230 
 255           224           228 
 255           224           226 
