{ Red  Green  Blue }
 115           255           143 
 115           255           115 
 127           255           115 
 140           255           115 
 144           255           115 
 148           255           115 
 155           255           115 
 159           255           115 
 163           255           115 
 171           255           115 
 174           255           115 
 178           255           115 
 182           255           115 
 186           255           115 
 194           255           115 
 197           255           115 
 201           255           115 
 209           255           115 
 217           255           115 
 220           255           115 
 224           255           115 
 232           255           115 
 236           255           115 
 240           255           115 
 244           255           115 
 248           255           115 
 255           255           115 
 255           251           117 
 255           248           119 
 255           240           123 
 255           236           125 
 255           232           127 
 255           228           127 
 255           225           127 
 255           218           127 
 255           214           127 
 255           211           127 
 255           204           127 
 255           197           127 
 255           193           127 
 255           190           127 
 255           183           127 
 255           179           127 
 255           176           127 
 255           169           127 
 255           162           127 
 255           158           127 
 255           155           127 
 255           160           141 
 255           166           148 
 255           172           155 
 255           183           168 
 255           189           176 
 255           192           179 
 255           195           183 
 255           201           190 
 255           205           195 
 255           210           200 
 255           218           210 
 255           226           220 
 255           229           223 
 255           232           227 
 255           237           233 
 255           240           236 
 255           243           240 
 255           248           246 
 255           249           248 
 255           251           250 
