{ Red  Green  Blue }
 24            198           202 
 37            206           189 
 51            215           177 
 66            221           166 
 81            228           156 
 114           241           146 
 132           247           148 
 151           254           150 
 163           254           154 
 175           254           157 
 186           254           161 
 197           254           165 
 202           254           167 
 207           254           169 
 216           254           172 
 220           254           174 
 225           254           176 
 229           254           178 
 233           254           180 
 236           254           182 
 240           254           184 
 244           254           185 
 248           254           187 
 250           254           189 
 253           254           191 
 254           252           193 
 255           251           195 
 254           249           188 
 254           248           181 
 254           246           175 
 254           244           171 
 254           243           168 
 254           238           155 
 254           235           148 
 254           232           142 
 254           228           135 
 254           224           128 
 254           220           121 
 254           216           115 
 252           215           118 
 251           215           121 
 249           214           124 
 248           213           128 
 245           212           131 
 243           212           134 
 239           210           139 
 236           209           145 
 231           207           150 
 227           206           155 
 223           204           159 
 220           202           164 
 218           201           166 
 216           201           168 
 214           200           170 
 212           199           172 
 210           198           174 
 208           198           176 
 206           197           177 
 204           196           179 
 202           195           180 
 200           194           182 
 196           193           185 
 204           200           193 
 211           208           202 
 218           216           210 
 225           223           219 
 233           231           228 
 236           235           232 
 240           239           237 
 244           243           241 
 248           248           246 
 251           251           250 
 255           255           255 
