{ Red  Green  Blue }
 106           235           162 
 106           235           145 
 106           235           129 
 106           235           117 
 107           235           106 
 131           235           106 
 137           235           106 
 140           235           106 
 143           235           106 
 152           235           106 
 158           235           106 
 161           235           106 
 164           235           106 
 173           235           106 
 179           235           106 
 182           235           106 
 185           235           106 
 189           235           106 
 194           235           106 
 200           235           106 
 206           235           106 
 210           235           106 
 215           235           106 
 218           235           106 
 221           235           106 
 227           235           106 
 231           233           106 
 235           232           106 
 235           229           108 
 235           227           110 
 235           218           113 
 235           215           115 
 235           213           117 
 235           209           117 
 235           205           117 
 235           200           117 
 235           194           117 
 235           190           117 
 235           186           117 
 235           180           117 
 235           175           117 
 235           171           117 
 235           167           117 
 235           161           117 
 235           156           117 
 235           151           117 
 235           147           117 
 235           144           117 
 235           142           117 
 235           144           123 
 235           147           130 
 235           158           143 
 235           163           149 
 235           168           155 
 235           171           158 
 235           174           162 
 235           179           168 
 235           182           171 
 235           185           175 
 235           188           179 
 235           192           184 
 235           200           193 
 235           204           197 
 235           208           202 
 235           210           205 
 235           213           209 
 239           222           219 
 241           227           224 
 244           233           230 
 246           237           235 
 249           242           240 
 251           249           248 
 255           255           255 
