{ Red  Green  Blue }
 113           171           216 
 113           172           217 
 119           177           221 
 121           178           222 
 124           180           224 
 132           185           227 
 134           187           229 
 141           193           234 
 142           194           235 
 149           200           240 
 150           201           240 
 154           205           243 
 161           210           248 
 161           210           247 
 164           213           249 
 172           219           251 
 175           221           252 
 185           227           255 
 187           228           255 
 199           235           255 
 200           235           255 
 206           238           255 
 217           243           254 
 216           242           254 
 217           243           255 
 204           233           230 
 173           209           166 
 172           208           165 
 172           209           165 
 168           205           160 
 149           192           140 
 148           191           139 
 158           195           141 
 169           198           143 
 168           198           143 
 176           201           146 
 189           204           150 
 195           207           156 
 209           215           171 
 212           218           173 
 225           228           181 
 232           232           187 
 240           236           192 
 239           235           192 
 240           236           192 
 237           232           188 
 232           225           182 
 233           226           183 
 230           222           177 
 222           214           163 
 216           207           159 
 211           202           157 
 211           203           158 
 207           194           144 
 202           185           129 
 202           185           130 
 202           186           130 
 200           178           121 
 195           167           107 
 192           163           102 
 185           152           90 
 176           142           86 
 170           135           83 
 170           135           82 
 171           145           104 
 172           154           125 
 172           154           124 
 172           154           123 
 178           162           136 
 186           174           154 
 198           189           176 
 203           196           185 
 202           195           184 
 216           212           204 
 225           223           217 
 224           222           216 
