{ Red  Green  Blue }
 235           235           235 
 224           189           162 
 205           118           47 
 203           109           32 
 204           111           35 
 205           113           36 
 206           115           37 
 207           117           38 
 208           119           40 
 210           121           41 
 210           123           43 
 211           124           44 
 212           126           45 
 213           128           47 
 214           130           48 
 215           132           49 
 216           134           50 
 217           135           52 
 218           137           53 
 219           138           55 
 220           141           56 
 221           142           57 
 222           144           58 
 223           145           59 
 223           147           61 
 224           149           62 
 226           151           63 
 227           153           64 
 228           154           66 
 228           156           67 
 229           157           68 
 230           159           69 
 231           161           71 
 231           162           72 
 232           164           73 
 233           165           74 
 234           167           75 
 235           169           75 
 236           170           77 
 237           172           78 
 237           173           79 
 238           174           80 
 239           176           81 
 239           177           82 
 240           179           83 
 241           180           84 
 242           182           85 
 242           183           86 
 242           185           87 
 243           186           87 
 244           188           88 
 244           189           89 
 245           191           90 
 246           192           90 
 246           193           91 
 246           194           92 
 247           196           93 
 248           197           93 
 248           198           94 
 248           199           95 
 249           200           96 
 250           202           96 
 250           203           97 
 250           204           98 
 251           205           99 
 252           207           99 
 251           208           99 
 252           209           100 
 252           210           101 
 253           211           101 
 253           212           101 
 253           213           101 
 253           214           102 
 254           215           102 
 254           216           103 
 254           217           103 
 254           218           103 
 255           219           103 
 255           220           104 
 255           221           104 
 255           222           104 
 241           215           97 
 168           178           63 
 127           156           44 
 126           156           44 
 134           165           36 
 148           180           21 
 150           182           18 
 150           182           19 
 144           180           15 
 124           173           4 
 117           170           0 
 111           167           0 
 104           162           0 
 103           161           0 
 100           160           0 
 88            152           0 
 82            148           0 
 81            147           0 
 70            140           0 
 61            134           1 
 54            130           1 
 34            119           1 
 27            115           1 
 28            115           1 
 27            114           1 
 12            104           1 
 0             95            1 
 0             88            0 
 0             74            0 
 0             72            0 
 0             71            0 
 1             62            0 
 1             55            1 
 2             55            1 
 1             55            1 
 1             49            1 
 0             41            1 
 0             38            1 
 0             25            1 
 1             19            1 
