{ Red  Green  Blue }
 255           255           255 
 252           246           253 
 251           244           252 
 252           245           253 
 250           241           252 
 247           234           251 
 248           235           251 
 246           231           251 
 241           224           251 
 237           219           252 
 234           216           253 
 234           216           252 
 229           211           252 
 225           208           252 
 226           208           252 
 220           204           253 
 216           201           254 
 216           201           253 
 215           201           254 
 206           196           254 
 205           195           255 
 205           195           254 
 204           195           254 
 195           192           254 
 193           191           254 
 183           190           254 
 180           189           254 
 180           189           255 
 176           189           254 
 167           188           253 
 167           188           254 
 163           188           253 
 153           188           252 
 153           188           251 
 153           188           252 
 144           190           249 
 139           190           247 
 139           190           248 
 131           192           245 
 126           193           242 
 126           193           243 
 119           196           239 
 112           198           235 
 111           199           235 
 102           203           228 
 100           203           226 
 99            204           226 
 90            209           218 
 88            210           216 
 88            210           217 
 85            212           212 
 78            216           203 
 78            216           204 
 76            218           199 
 70            223           189 
 68            225           186 
 63            230           174 
 63            230           173 
 60            235           163 
 58            238           156 
 58            237           156 
 57            241           146 
 56            244           137 
 56            243           137 
 56            244           135 
 56            247           120 
 56            248           117 
 56            247           117 
 56            248           116 
 57            250           100 
 58            251           97 
 58            250           97 
 58            250           96 
 62            250           81 
 63            250           75 
 63            250           76 
 63            251           76 
 65            249           71 
 71            246           58 
 71            245           58 
 71            246           58 
 73            243           54 
 81            235           42 
 81            234           42 
 81            235           42 
 87            227           34 
 91            221           29 
 91            221           30 
 91            222           30 
 96            213           24 
 101           206           18 
 101           206           19 
 101           207           19 
 105           199           15 
 109           190           11 
 109           190           12 
 109           189           11 
 115           176           7 
 116           173           5 
 116           173           6 
 116           173           5 
 121           160           2 
 122           156           1 
 122           156           2 
 123           151           1 
 125           138           0 
 125           134           0 
 127           121           0 
 127           118           0 
 127           105           0 
 127           104           1 
 127           104           0 
 126           95            2 
 126           88            3 
 126           88            2 
 124           81            4 
 122           74            6 
 122           73            6 
 118           62            8 
 117           60            9 
 117           59            9 
 111           50            12 
 110           48            13 
 104           40            15 
 102           36            16 
 102           37            16 
 100           34            16 
 93            27            19 
 91            25            19 
 83            20            20 
 83            20            21 
 77            16            22 
 72            12            23 
 72            13            23 
 66            10            23 
 61            7             23 
 61            8             23 
 56            6             22 
 49            4             22 
 49            5             22 
 48            4             22 
 40            2             21 
 37            1             21 
 38            2             21 
 37            1             21 
 29            1             18 
 26            0             17 
 27            1             17 
 24            0             16 
 17            0             13 
 15            0             11 
 8             0             7 
 6             0             5 
 0             0             0 
