{ Red  Green  Blue }
 254           254           254 
 252           252           252 
 250           250           250 
 248           248           248 
 246           246           246 
 243           243           243 
 241           241           241 
 239           239           239 
 237           237           237 
 235           235           235 
 232           232           232 
 230           230           230 
 228           228           228 
 226           226           226 
 224           224           224 
 222           222           222 
 220           220           220 
 218           218           218 
 216           216           216 
 214           214           214 
 212           212           212 
 210           210           210 
 208           208           208 
 206           206           206 
 204           204           204 
 202           202           202 
 200           200           200 
 198           198           198 
 196           196           196 
 194           194           194 
 192           192           192 
 191           191           191 
 189           189           189 
 188           188           188 
 186           186           186 
 184           184           184 
 182           182           182 
 180           180           180 
 178           178           178 
 176           176           176 
 175           175           175 
 173           173           173 
 171           171           171 
 170           170           170 
 168           168           168 
 166           166           166 
 164           164           164 
 162           162           162 
 161           161           161 
 160           160           160 
 158           158           158 
 156           156           156 
 155           155           155 
 153           153           153 
 152           152           152 
 150           150           150 
 148           148           148 
 147           147           147 
 146           146           146 
 144           144           144 
 142           142           142 
 140           140           140 
 139           139           139 
 138           138           138 
 136           136           136 
 134           134           134 
 133           133           133 
 132           132           132 
 130           130           130 
 129           129           129 
 128           128           128 
 126           126           126 
 124           124           124 
 122           122           122 
 120           120           120 
 118           118           118 
 117           117           117 
 116           116           116 
 114           114           114 
 112           112           112 
 111           111           111 
 110           110           110 
 108           108           108 
 107           107           107 
 106           106           106 
 104           104           104 
 103           103           103 
 102           102           102 
 100           100           100 
 98            98            98 
 97            97            97 
 96            96            96 
 94            94            94 
 92            92            92 
 90            90            90 
 89            89            89 
 88            88            88 
 86            86            86 
 84            84            84 
 82            82            82 
 80            80            80 
 78            78            78 
 76            76            76 
 75            75            75 
 74            74            74 
 72            72            72 
 70            70            70 
 68            68            68 
 66            66            66 
 65            65            65 
 64            64            64 
 63            63            63 
 62            62            62 
 60            60            60 
 58            58            58 
 57            57            57 
 56            56            56 
 54            54            54 
 53            53            53 
 52            52            52 
 50            50            50 
 49            49            49 
 48            48            48 
 47            47            47 
 46            46            46 
 44            44            44 
 42            42            42 
 40            40            40 
 38            38            38 
 36            36            36 
 35            35            35 
 34            34            34 
 33            33            33 
 32            32            32 
 31            31            31 
 30            30            30 
 29            29            29 
 28            28            28 
 27            27            27 
 26            26            26 
 25            25            25 
 24            24            24 
 23            23            23 
 22            22            22 
 21            21            21 
 20            20            20 
 19            19            19 
 18            18            18 
 17            17            17 
 16            16            16 
 15            15            15 
 14            14            14 
 13            13            13 
 12            12            12 
 11            11            11 
 10            10            10 
 9             9             9 
 8             8             8 
 7             7             7 
 6             6             6 
 5             5             5 
 4             4             4 
 3             3             3 
 2             2             2 
 1             1             1 
 0             0             0 
