{ Red  Green  Blue }
 153           0             255 
 136           17            255 
 119           34            255 
 102           51            255 
 85            68            255 
 68            85            255 
 51            102           255 
 34            119           255 
 17            136           255 
 0             153           255 
 27            164           255 
 54            175           255 
 81            186           255 
 108           197           255 
 134           208           255 
 161           219           255 
 188           230           255 
 215           241           255 
 241           252           255 
 51            121           19 
 51            179           77 
 94            212           116 
 188           228           146 
 200           226           154 
 213           225           161 
 226           223           168 
 239           222           176 
 251           220           183 
 254           218           180 
 252           216           174 
 251           214           169 
 250           212           163 
 248           210           158 
 247           208           153 
 245           205           146 
 244           203           140 
 242           201           135 
 241           199           129 
 240           197           124 
 238           195           118 
 236           193           111 
 235           191           106 
 233           189           100 
 232           187           95 
 230           184           89 
 229           182           84 
 227           180           77 
 226           178           71 
 224           176           66 
 223           174           60 
 221           172           55 
 220           170           49 
 218           167           42 
 215           165           39 
 209           164           38 
 204           163           37 
 198           161           36 
 193           160           35 
 186           158           34 
 180           157           33 
 175           156           32 
 169           154           31 
 168           153           30 
 167           152           30 
 167           151           29 
 166           149           28 
 166           148           28 
 165           147           27 
 165           146           26 
 164           145           26 
 164           144           25 
 164           142           24 
 163           141           23 
 163           140           23 
 163           139           22 
 163           138           21 
 162           136           20 
 162           135           20 
 162           134           19 
 162           133           18 
 161           132           18 
 161           130           17 
 161           129           16 
 160           128           16 
 160           126           15 
 160           125           14 
 159           124           14 
 159           123           13 
 159           121           12 
 158           120           11 
 158           119           11 
 157           118           10 
 157           117           9 
 157           116           9 
 156           114           8 
 156           113           7 
 156           112           6 
 155           111           6 
 155           109           5 
 155           108           4 
 154           107           3 
 154           105           2 
 154           104           1 
 153           103           1 
 153           102           3 
 154           100           13 
 156           98            25 
 157           97            35 
 158           95            45 
 159           94            55 
 160           92            65 
 161           91            75 
 162           89            88 
 164           92            92 
 165           95            95 
 167           98            98 
 169           102           102 
 171           105           105 
 173           109           109 
 175           112           112 
 177           116           116 
 178           119           119 
 179           122           122 
 179           125           125 
 180           130           130 
 181           133           133 
 181           136           136 
 182           139           139 
 182           143           143 
 183           146           146 
 184           150           150 
 185           153           153 
 187           157           157 
 188           160           160 
 189           163           163 
 190           166           166 
 192           170           170 
 193           174           174 
 194           177           177 
 195           180           180 
 197           183           183 
 198           186           186 
 199           190           190 
 200           194           194 
 201           197           197 
 203           200           200 
 204           203           203 
 206           206           206 
 210           210           210 
 212           212           212 
 215           215           215 
 218           218           218 
 221           221           221 
 224           224           224 
 227           227           227 
 230           230           230 
 231           231           231 
 232           232           232 
 234           234           234 
 235           235           235 
 237           237           237 
 239           239           239 
 240           240           240 
 242           242           242 
 243           243           243 
 245           245           245 
 246           246           246 
 248           248           248 
 249           249           249 
 251           251           251 
 252           252           252 
 254           254           254 
 255           255           255 
