{ Red  Green  Blue }
 0             173           0 
 8             173           0 
 0             173           0 
 8             173           0 
 0             173           0 
 8             173           0 
 16            173           0 
 8             173           0 
 16            173           0 
 24            165           0 
 16            173           0 
 24            165           0 
 16            173           0 
 24            165           0 
 24            173           0 
 24            165           0 
 24            173           0 
 24            165           0 
 33            165           0 
 33            173           0 
 24            173           0 
 33            165           0 
 33            173           0 
 33            165           0 
 33            173           0 
 33            165           0 
 33            173           0 
 33            165           0 
 41            165           0 
 33            165           0 
 41            165           0 
 49            165           0 
 41            165           0 
 49            165           0 
 57            165           0 
 49            165           0 
 57            165           0 
 66            165           0 
 57            165           0 
 66            165           0 
 57            165           0 
 66            165           0 
 74            165           0 
 66            165           0 
 74            165           0 
 82            165           0 
 74            165           0 
 82            165           0 
 74            165           0 
 82            165           0 
 74            165           0 
 82            165           0 
 90            165           0 
 82            165           0 
 90            165           0 
 82            165           0 
 90            165           0 
 99            165           0 
 90            165           0 
 99            165           0 
 90            165           0 
 99            165           0 
 107           165           0 
 115           165           0 
 123           156           0 
 115           165           0 
 123           156           0 
 115           165           0 
 123           156           0 
 123           165           0 
 123           156           0 
 123           165           0 
 123           156           0 
 123           165           0 
 132           156           0 
 123           165           0 
 132           156           0 
 123           165           0 
 132           165           0 
 132           156           0 
 132           165           0 
 132           156           0 
 132           165           0 
 140           156           0 
 132           156           0 
 140           156           0 
 132           165           0 
 140           156           0 
 148           156           0 
 140           156           0 
 148           156           0 
 156           156           0 
 148           156           0 
 156           156           0 
 165           156           0 
 156           156           0 
 165           156           0 
 156           156           0 
 165           156           0 
 173           156           0 
 165           156           0 
 173           156           0 
 165           156           0 
 173           156           0 
 181           156           0 
 189           156           0 
 181           156           0 
 189           156           0 
 198           156           0 
 189           156           0 
 198           156           0 
 206           156           0 
 198           156           0 
 206           156           0 
 198           156           0 
 206           156           0 
 206           156           8 
 206           156           0 
 206           156           8 
 206           156           16 
 206           156           8 
 206           156           16 
 206           156           8 
 206           156           16 
 206           165           16 
 206           165           24 
 206           156           16 
 206           165           24 
 206           156           16 
 206           165           24 
 206           165           33 
 206           165           24 
 206           165           33 
 206           165           24 
 206           165           33 
 206           165           41 
 206           165           33 
 206           165           41 
 206           165           49 
 206           173           41 
 214           165           49 
 206           173           49 
 214           165           49 
 206           165           49 
 214           173           49 
 206           165           49 
 214           173           57 
 206           165           49 
 214           173           57 
 214           173           66 
 214           173           57 
 214           173           66 
 214           173           74 
 214           173           66 
 214           173           74 
 214           181           74 
 214           173           74 
 214           181           82 
 214           173           74 
 214           181           82 
 214           181           90 
 214           181           82 
 214           181           90 
 214           181           99 
 214           189           99 
 214           181           99 
 214           189           99 
 214           181           99 
 214           189           107 
 214           181           99 
 214           189           107 
 214           189           115 
 214           189           107 
 214           189           115 
 214           189           123 
 214           198           123 
 214           189           123 
 214           198           132 
 214           189           123 
 214           198           132 
 214           198           140 
 214           198           132 
 214           198           140 
 214           198           148 
 214           198           140 
 214           198           148 
 222           198           148 
 214           198           148 
 222           198           148 
 214           198           148 
 214           206           156 
 214           198           148 
 222           206           156 
 214           198           156 
 214           206           156 
 214           198           156 
 214           206           156 
 214           198           156 
 222           206           165 
 214           198           156 
 222           206           165 
 222           206           173 
 222           206           181 
 222           206           173 
 222           206           181 
 222           214           181 
 222           206           181 
 222           214           189 
 222           206           181 
 222           214           189 
 222           214           198 
 222           214           206 
 222           214           198 
 222           214           206 
 222           214           198 
 222           222           206 
 222           214           206 
 222           222           206 
 222           214           206 
 222           222           214 
 222           214           206 
 222           222           214 
 222           222           222 
 222           222           214 
 222           222           222 
