{ Red  Green  Blue }
 170           0             0 
 173           0             0 
 175           0             0 
 178           0             0 
 180           0             0 
 183           0             0 
 185           0             0 
 188           0             0 
 190           0             0 
 193           0             0 
 195           0             0 
 198           0             0 
 200           0             0 
 203           0             0 
 206           0             0 
 208           0             0 
 211           0             0 
 213           0             0 
 216           0             0 
 218           0             0 
 221           0             0 
 223           0             0 
 226           0             0 
 228           0             0 
 231           0             0 
 234           0             0 
 236           0             0 
 239           0             0 
 241           0             0 
 244           0             0 
 246           0             0 
 249           0             0 
 251           0             0 
 254           0             0 
 255           1             0 
 255           4             0 
 255           7             0 
 255           9             0 
 255           12            0 
 255           14            0 
 255           17            0 
 255           19            0 
 255           22            0 
 255           24            0 
 255           27            0 
 255           29            0 
 255           32            0 
 255           35            0 
 255           37            0 
 255           40            0 
 255           42            0 
 255           45            0 
 255           47            0 
 255           50            0 
 255           52            0 
 255           55            0 
 255           58            0 
 255           60            0 
 255           63            0 
 255           65            0 
 255           68            0 
 255           70            0 
 255           73            0 
 255           75            0 
 255           78            0 
 255           81            0 
 255           83            0 
 255           86            0 
 255           88            0 
 255           91            0 
 255           93            0 
 255           96            0 
 255           98            0 
 255           101           0 
 255           104           0 
 255           106           0 
 255           109           0 
 255           111           0 
 255           114           0 
 255           116           0 
 255           119           0 
 255           121           0 
 255           124           0 
 255           126           0 
 255           129           0 
 255           132           0 
 255           134           0 
 255           137           0 
 255           139           0 
 255           142           0 
 255           144           0 
 255           147           0 
 255           149           0 
 255           152           0 
 255           155           0 
 255           157           0 
 255           160           0 
 255           162           0 
 255           165           0 
 255           167           0 
 255           170           0 
 255           172           0 
 255           175           0 
 255           178           0 
 255           180           0 
 255           183           0 
 255           185           0 
 255           188           0 
 255           190           0 
 255           193           0 
 255           195           0 
 255           198           0 
 255           201           0 
 255           203           0 
 255           206           0 
 255           208           0 
 255           211           0 
 255           213           0 
 255           216           0 
 255           218           0 
 255           221           0 
 255           223           0 
 255           226           0 
 255           229           0 
 255           231           0 
 255           234           0 
 255           236           0 
 255           239           0 
 255           241           0 
 255           244           0 
 255           246           0 
 255           249           0 
 255           252           0 
 255           254           0 
 255           254           0 
 255           255           0 
 253           255           0 
 248           255           1 
 243           255           2 
 238           255           3 
 233           255           4 
 228           255           5 
 224           255           6 
 219           255           7 
 214           255           8 
 209           255           8 
 204           255           9 
 199           255           10 
 194           255           11 
 189           255           12 
 184           255           13 
 179           255           14 
 174           255           15 
 169           255           16 
 164           255           17 
 159           255           17 
 154           255           18 
 149           255           19 
 144           255           20 
 139           255           21 
 134           255           22 
 129           255           23 
 124           255           24 
 119           255           25 
 115           255           26 
 110           255           26 
 105           255           27 
 100           255           28 
 95            255           29 
 90            255           30 
 87            255           33 
 84            254           35 
 82            254           37 
 79            253           40 
 76            253           42 
 74            252           45 
 71            252           47 
 68            251           49 
 66            251           52 
 63            250           54 
 60            250           57 
 57            250           59 
 55            249           61 
 52            249           64 
 49            248           66 
 47            248           69 
 44            247           71 
 41            247           73 
 39            246           76 
 36            246           78 
 33            246           81 
 30            245           83 
 28            245           85 
 25            244           88 
 22            244           90 
 20            243           93 
 17            243           95 
 14            242           97 
 11            242           100 
 9             241           102 
 6             241           105 
 3             241           107 
 1             240           109 
 0             236           113 
 0             232           118 
 0             227           122 
 0             222           126 
 0             217           131 
 0             212           135 
 0             208           139 
 0             203           144 
 0             198           148 
 0             193           152 
 0             188           157 
 0             184           161 
 0             179           166 
 0             174           170 
 0             169           174 
 0             164           179 
 0             160           183 
 0             155           187 
 0             150           192 
 0             145           196 
 0             140           200 
 0             135           205 
 0             131           209 
 0             126           213 
 0             121           218 
 0             116           222 
 0             111           226 
 0             107           231 
 0             102           235 
 0             97            240 
 0             92            244 
 0             87            248 
 0             83            253 
 0             79            254 
 0             77            253 
 0             74            251 
 0             72            250 
 0             69            248 
 0             67            247 
 0             65            245 
 0             62            244 
 0             60            242 
 0             57            241 
 0             55            239 
 0             53            238 
 0             50            236 
 0             48            235 
 0             45            233 
 0             43            232 
 0             41            230 
 0             38            229 
 0             36            227 
 0             33            226 
 0             31            224 
 0             29            223 
 0             26            221 
 0             24            220 
 0             22            218 
 0             19            217 
 0             17            215 
 0             14            214 
 0             12            212 
 0             10            211 
 0             7             209 
 0             5             208 
