{ Red  Green  Blue }
 199           119           217 
 196           119           217 
 193           119           217 
 190           119           217 
 186           119           217 
 182           119           217 
 179           119           217 
 176           119           217 
 173           119           217 
 169           119           217 
 166           119           217 
 162           119           217 
 175           138           230 
 172           138           230 
 169           138           230 
 166           138           230 
 163           138           230 
 159           138           230 
 156           138           230 
 153           138           230 
 150           138           230 
 147           138           230 
 144           138           230 
 140           138           230 
 138           138           230 
 138           141           230 
 138           143           230 
 138           146           230 
 138           148           230 
 138           151           230 
 138           153           230 
 138           156           230 
 138           158           230 
 138           160           230 
 138           163           230 
 138           166           230 
 138           168           230 
 138           171           230 
 138           173           230 
 138           176           230 
 138           179           230 
 138           182           230 
 138           184           230 
 138           187           230 
 138           190           230 
 138           192           230 
 138           195           230 
 138           198           230 
 138           201           230 
 138           204           230 
 139           207           231 
 140           211           231 
 140           214           232 
 141           218           232 
 141           221           232 
 142           225           233 
 142           228           233 
 143           231           234 
 144           235           234 
 144           239           234 
 145           242           235 
 144           243           232 
 143           243           229 
 142           243           225 
 141           243           221 
 140           243           217 
 139           243           213 
 138           243           209 
 137           243           205 
 136           243           202 
 136           243           198 
 134           243           193 
 133           243           190 
 133           243           186 
 133           243           182 
 133           243           179 
 133           243           175 
 133           243           170 
 133           243           167 
 133           243           163 
 133           243           160 
 133           243           156 
 133           243           152 
 133           243           148 
 133           243           144 
 134           243           142 
 137           243           141 
 140           243           140 
 144           243           140 
 147           243           139 
 150           243           138 
 154           243           137 
 157           243           137 
 160           243           136 
 163           243           135 
 167           243           134 
 170           243           134 
 173           243           133 
 176           243           133 
 180           243           133 
 183           243           133 
 187           243           133 
 191           243           133 
 194           243           133 
 198           243           133 
 201           243           133 
 204           243           133 
 209           243           133 
 212           243           133 
 215           243           133 
 217           241           133 
 220           240           133 
 222           238           133 
 225           236           133 
 227           235           133 
 229           233           133 
 231           232           133 
 233           230           133 
 236           229           133 
 238           227           133 
 241           226           133 
 243           224           133 
 243           221           133 
 243           217           133 
 243           213           133 
 243           209           133 
 243           205           133 
 243           202           133 
 243           198           133 
 243           195           133 
 243           191           133 
 243           187           133 
 243           183           133 
 243           180           133 
 242           178           133 
 241           177           134 
 240           176           134 
 239           175           134 
 238           174           135 
 237           173           135 
 236           172           135 
 235           171           136 
 234           170           136 
 232           169           136 
 231           168           137 
 230           167           137 
 229           166           137 
 228           165           138 
 227           164           138 
 226           163           138 
 225           162           139 
 224           161           139 
 223           160           139 
 222           159           139 
 221           158           140 
 220           156           140 
 219           155           141 
 218           155           141 
 216           163           163 
 215           162           162 
 214           161           161 
 213           160           160 
 212           159           159 
 211           158           158 
 210           158           158 
 209           157           157 
 208           156           156 
 207           155           155 
 206           154           154 
 205           154           154 
 115           164           177 
 114           167           173 
 112           170           168 
 110           174           162 
 108           177           157 
 106           179           150 
 104           179           140 
 103           179           130 
 101           179           120 
 99            179           108 
 104           183           106 
 114           187           107 
 123           192           109 
 132           197           110 
 141           202           112 
 147           204           112 
 151           204           112 
 155           204           112 
 158           204           112 
 162           204           112 
 166           204           112 
 170           204           112 
 174           204           112 
 177           204           112 
 181           204           112 
 185           205           115 
 189           206           118 
 194           207           122 
 198           208           125 
 201           209           127 
 205           210           130 
 209           211           133 
 213           212           136 
 218           213           140 
 222           214           143 
 226           215           146 
 229           216           149 
 230           216           150 
 231           217           152 
 232           218           154 
 232           218           156 
 233           219           157 
 233           219           159 
 234           220           160 
 234           220           162 
 235           221           164 
 235           221           166 
 236           222           167 
 236           222           169 
 237           223           170 
 237           223           172 
 238           224           174 
 238           224           176 
 239           225           177 
 239           225           179 
 240           226           180 
 240           226           182 
 241           227           184 
 241           227           186 
 242           228           187 
 242           228           189 
 243           229           190 
 243           229           192 
 244           230           194 
 244           230           196 
 245           231           197 
 245           231           199 
 246           232           200 
 246           232           202 
 247           233           204 
 247           233           206 
 248           234           207 
 248           234           209 
 249           235           210 
 249           235           212 
 250           236           214 
 251           237           216 
 251           237           217 
 252           238           219 
 252           238           220 
 253           239           222 
 253           239           224 
 254           240           226 
 254           240           227 
 255           241           229 
 255           248           243 
 255           248           244 
 255           249           244 
 255           249           245 
 255           250           246 
 255           250           247 
 255           251           247 
 255           251           248 
 255           251           249 
 255           252           249 
 255           252           250 
 255           252           251 
 255           253           251 
 255           253           252 
 255           254           252 
 255           254           253 
 255           254           254 
 255           255           254 
 255           255           255 
