{ Red  Green  Blue }
 0             0             0 
 0             0             1 
 0             0             2 
 0             1             3 
 0             1             4 
 0             1             5 
 0             1             6 
 0             1             7 
 0             2             8 
 0             2             9 
 0             2             10 
 0             2             11 
 0             2             12 
 0             3             13 
 0             3             14 
 0             3             15 
 0             3             16 
 0             3             17 
 0             4             18 
 0             4             19 
 0             4             20 
 0             4             21 
 0             4             22 
 0             5             23 
 0             5             24 
 0             5             25 
 0             5             26 
 0             5             27 
 0             6             28 
 0             6             29 
 0             6             30 
 0             6             31 
 0             6             32 
 0             7             33 
 0             7             34 
 0             7             35 
 0             7             36 
 0             7             37 
 0             8             38 
 0             8             39 
 0             8             40 
 0             8             41 
 0             8             42 
 0             9             43 
 0             9             44 
 0             9             45 
 0             9             46 
 0             9             47 
 0             10            48 
 0             10            49 
 0             10            50 
 0             12            52 
 0             14            54 
 0             16            56 
 0             17            58 
 0             19            60 
 0             21            62 
 0             23            64 
 0             25            66 
 0             27            68 
 0             29            70 
 0             31            72 
 0             32            74 
 0             34            76 
 0             36            78 
 0             38            80 
 0             40            82 
 0             42            84 
 0             44            86 
 0             45            88 
 0             47            90 
 0             49            92 
 0             51            94 
 0             53            96 
 0             55            98 
 0             57            100 
 0             59            102 
 0             60            104 
 0             62            106 
 0             64            108 
 0             66            110 
 0             68            112 
 0             70            114 
 0             72            116 
 0             73            118 
 0             75            120 
 0             77            122 
 0             79            124 
 0             81            126 
 0             83            128 
 0             85            130 
 0             87            132 
 0             88            134 
 0             90            136 
 0             92            138 
 0             94            140 
 0             96            142 
 0             98            144 
 0             100           146 
 0             101           148 
 0             103           150 
 0             105           152 
 0             107           154 
 0             109           156 
 0             111           158 
 0             113           160 
 0             115           162 
 0             116           164 
 0             118           166 
 0             120           168 
 0             122           170 
 0             124           172 
 0             126           174 
 0             128           176 
 0             129           178 
 0             131           180 
 0             133           182 
 0             135           184 
 0             137           186 
 0             139           188 
 0             141           190 
 0             143           192 
 0             144           194 
 0             146           196 
 0             148           198 
 0             150           200 
 2             151           200 
 5             153           199 
 7             154           199 
 9             155           198 
 11            156           198 
 14            158           197 
 16            159           197 
 18            160           197 
 21            161           196 
 23            163           196 
 25            164           195 
 28            165           195 
 30            166           194 
 32            168           194 
 34            169           194 
 37            170           193 
 39            171           193 
 41            173           192 
 44            174           192 
 46            175           191 
 48            176           191 
 50            178           191 
 53            179           190 
 55            180           190 
 57            181           189 
 60            183           189 
 62            184           188 
 64            185           188 
 67            186           188 
 69            188           187 
 71            189           187 
 73            190           186 
 76            191           186 
 78            193           185 
 80            194           185 
 83            195           185 
 85            196           184 
 87            198           184 
 89            199           183 
 92            200           183 
 94            201           183 
 96            203           182 
 99            204           182 
 101           205           181 
 103           207           181 
 105           208           180 
 108           209           180 
 110           210           180 
 112           212           179 
 115           213           179 
 117           214           178 
 119           216           178 
 122           217           177 
 124           218           177 
 126           219           177 
 128           221           176 
 131           222           176 
 133           223           175 
 135           225           175 
 138           226           174 
 140           227           174 
 142           228           174 
 144           230           173 
 147           231           173 
 149           232           172 
 151           233           172 
 154           235           171 
 156           236           171 
 158           237           171 
 161           239           170 
 163           240           170 
 165           241           169 
 167           242           169 
 170           244           168 
 172           245           168 
 173           245           169 
 174           245           170 
 175           245           171 
 176           246           173 
 177           246           174 
 178           246           175 
 179           246           176 
 180           246           177 
 181           246           178 
 182           246           179 
 183           246           181 
 184           247           182 
 186           247           183 
 187           247           184 
 188           247           185 
 189           247           186 
 190           247           187 
 191           247           189 
 192           248           190 
 193           248           191 
 194           248           192 
 195           248           193 
 196           248           194 
 197           248           196 
 198           248           197 
 199           248           198 
 200           249           199 
 201           249           200 
 202           249           201 
 203           249           202 
 204           249           204 
 205           249           205 
 206           249           206 
 207           250           207 
 208           250           208 
 209           250           209 
 210           250           210 
 212           250           212 
 213           250           213 
 214           250           214 
 215           250           215 
 216           251           216 
 217           251           217 
 218           251           219 
 219           251           220 
 220           251           221 
 221           251           222 
 222           251           223 
 223           252           224 
 224           252           226 
 225           252           227 
 226           252           228 
 227           252           229 
 228           252           230 
 229           252           232 
 230           252           233 
 231           253           234 
 232           253           235 
 233           253           236 
 234           253           237 
 235           253           239 
 236           253           240 
 238           253           241 
 239           254           242 
 240           254           243 
 241           254           244 
 242           254           246 
 243           254           247 
 244           254           248 
 245           254           249 
 246           254           250 
 247           255           251 
 248           255           253 
 249           255           254 
