{ Red  Green  Blue }
 2             100           68 
 7             107           61 
 11            114           54 
 15            121           48 
 22            125           49 
 30            128           52 
 37            131           55 
 43            134           57 
 50            137           59 
 57            140           62 
 63            142           64 
 72            146           67 
 78            149           69 
 85            152           72 
 92            155           74 
 98            157           77 
 105           160           79 
 113           164           82 
 120           167           84 
 126           170           87 
 133           172           89 
 140           175           92 
 146           178           94 
 155           182           97 
 161           185           99 
 168           187           102 
 175           190           104 
 181           193           107 
 188           196           109 
 196           200           112 
 203           202           114 
 209           205           117 
 216           208           119 
 223           211           122 
 229           214           124 
 231           213           123 
 229           210           120 
 228           207           118 
 227           204           116 
 225           201           113 
 224           198           111 
 222           194           107 
 221           191           105 
 219           188           103 
 218           185           100 
 216           183           98 
 215           180           95 
 213           176           92 
 212           173           90 
 210           170           87 
 209           167           85 
 208           164           82 
 206           161           80 
 205           158           77 
 203           155           74 
 202           152           72 
 200           149           69 
 199           146           67 
 198           143           64 
 196           139           61 
 194           137           59 
 193           134           56 
 192           131           54 
 190           128           51 
 189           125           49 
 187           121           46 
 186           118           43 
 184           115           41 
 183           112           38 
 181           109           36 
 180           107           33 
 178           103           30 
 177           100           28 
 175           97            25 
 174           94            23 
 173           91            20 
 171           88            18 
 169           85            15 
 168           82            12 
 167           79            10 
 165           76            7 
 164           73            5 
 162           70            3 
 161           67            0 
 161           65            0 
 161           63            0 
 161           61            0 
 161           59            0 
 161           57            0 
 160           55            0 
 160           53            0 
 160           51            0 
 160           49            0 
 160           48            0 
 160           46            0 
 160           43            0 
 160           42            0 
 160           40            0 
 160           38            0 
 160           36            0 
 160           34            0 
 159           32            0 
 159           30            0 
 159           28            0 
 159           26            0 
 159           24            0 
 159           23            0 
 159           20            0 
 159           18            0 
 159           17            0 
 159           15            0 
 159           13            0 
 158           11            0 
 158           9             0 
 158           7             0 
 158           5             0 
 158           3             0 
 158           1             0 
 158           0             0 
 157           2             2 
 156           4             4 
 156           5             5 
 155           6             6 
 155           8             8 
 154           9             9 
 153           11            11 
 153           12            12 
 152           14            14 
 151           15            15 
 151           16            16 
 150           18            18 
 150           19            19 
 149           21            21 
 148           22            22 
 148           24            24 
 147           25            25 
 146           26            26 
 146           28            28 
 145           29            29 
 145           31            31 
 144           32            32 
 143           34            34 
 143           35            35 
 142           37            37 
 141           38            38 
 141           40            40 
 140           41            41 
 140           42            42 
 139           44            44 
 138           45            45 
 138           47            47 
 137           48            48 
 136           50            50 
 136           51            51 
 135           52            52 
 134           54            54 
 134           55            55 
 133           57            57 
 133           58            58 
 132           60            60 
 131           61            61 
 131           63            63 
 130           64            64 
 129           65            65 
 129           67            67 
 128           68            68 
 128           70            70 
 127           71            71 
 126           73            73 
 126           74            74 
 125           75            75 
 124           77            77 
 124           78            78 
 123           80            80 
 123           81            81 
 122           83            83 
 121           84            84 
 121           85            85 
 120           87            87 
 119           89            89 
 119           90            90 
 118           91            91 
 118           93            93 
 117           94            94 
 116           96            96 
 116           97            97 
 115           99            99 
 114           100           100 
 114           101           101 
 113           103           103 
 113           104           104 
 112           106           106 
 111           107           107 
 111           109           109 
 110           110           110 
 112           112           112 
 113           113           113 
 115           115           115 
 117           117           117 
 119           119           119 
 120           120           120 
 122           122           122 
 124           124           124 
 126           126           126 
 128           128           128 
 129           129           129 
 131           131           131 
 133           133           133 
 134           134           134 
 136           136           136 
 138           138           138 
 140           140           140 
 141           141           141 
 143           143           143 
 145           145           145 
 147           147           147 
 148           148           148 
 150           150           150 
 152           152           152 
 153           153           153 
 155           155           155 
 157           157           157 
 159           159           159 
 161           161           161 
 162           162           162 
 164           164           164 
 166           166           166 
 168           168           168 
 169           169           169 
 171           171           171 
 173           173           173 
 174           174           174 
 176           176           176 
 178           178           178 
 180           180           180 
 181           181           181 
 183           183           183 
 185           185           185 
 186           186           186 
 189           189           189 
 190           190           190 
 192           192           192 
 194           194           194 
 195           195           195 
 197           197           197 
 199           199           199 
 201           201           201 
 202           202           202 
 204           204           204 
 206           206           206 
 207           207           207 
 209           209           209 
 211           211           211 
 213           213           213 
 214           214           214 
 216           216           216 
 218           218           218 
 220           220           220 
 222           222           222 
 223           223           223 
 225           225           225 
 227           227           227 
 228           228           228 
 230           230           230 
 232           232           232 
 234           234           234 
 235           235           235 
 237           237           237 
 239           239           239 
 241           241           241 
 242           242           242 
 244           244           244 
 246           246           246 
 247           247           247 
 249           249           249 
 251           251           251 
 253           253           253 
 255           255           255 
