{ Red  Green  Blue }
 251           217           0 
 255           218           0 
 255           216           0 
 255           215           0 
 255           213           0 
 255           212           0 
 255           211           0 
 255           210           0 
 255           209           0 
 255           208           0 
 255           207           0 
 255           206           0 
 255           205           0 
 255           204           0 
 255           203           0 
 255           202           0 
 255           201           0 
 255           200           0 
 255           199           0 
 255           198           0 
 255           197           0 
 255           196           0 
 255           195           0 
 255           194           0 
 255           193           0 
 255           192           0 
 255           191           0 
 255           190           0 
 255           189           0 
 255           188           0 
 255           187           0 
 255           186           0 
 255           185           0 
 255           184           0 
 255           183           0 
 255           182           0 
 255           181           0 
 255           180           0 
 255           179           0 
 255           178           0 
 255           177           0 
 255           176           0 
 255           175           0 
 255           174           0 
 255           173           0 
 255           172           0 
 255           171           0 
 255           170           0 
 255           169           0 
 255           168           0 
 255           169           0 
 255           168           0 
 255           167           0 
 255           166           0 
 255           165           0 
 255           164           0 
 255           163           0 
 255           164           0 
 255           163           0 
 255           162           0 
 255           161           0 
 255           160           0 
 255           159           0 
 255           158           0 
 255           157           0 
 255           158           0 
 255           157           0 
 255           156           0 
 255           155           0 
 255           154           0 
 255           153           0 
 255           152           0 
 255           151           0 
 255           150           0 
 255           151           0 
 255           150           0 
 255           149           0 
 255           150           0 
 255           149           0 
 255           148           0 
 255           147           0 
 255           146           0 
 255           147           0 
 255           146           0 
 255           145           0 
 255           144           0 
 255           143           0 
 255           142           0 
 255           143           0 
 255           142           0 
 255           141           0 
 255           140           0 
 255           139           0 
 255           140           0 
 255           139           0 
 255           138           0 
 255           139           0 
 255           138           0 
 255           137           0 
 255           136           0 
 255           135           0 
 255           136           0 
 255           135           0 
 255           136           0 
 255           135           0 
 255           134           0 
 255           135           0 
 254           134           0 
 255           135           0 
 254           134           0 
 253           133           1 
 254           134           0 
 254           134           1 
 254           133           1 
 254           134           1 
 254           133           1 
 254           132           1 
 254           133           0 
 254           132           1 
 254           131           2 
 254           132           1 
 254           132           2 
 253           131           3 
 254           132           2 
 253           131           3 
 252           130           3 
 253           130           3 
 253           131           2 
 253           130           3 
 253           129           4 
 253           130           3 
 253           130           4 
 252           129           4 
 253           130           5 
 252           129           4 
 252           129           5 
 251           128           5 
 252           129           4 
 252           128           5 
 252           127           6 
 252           128           5 
 252           127           6 
 251           127           7 
 252           126           6 
 251           125           7 
 250           125           8 
 251           125           7 
 251           124           8 
 251           123           9 
 250           124           8 
 251           124           8 
 250           123           9 
 249           122           10 
 250           123           9 
 250           122           10 
 249           121           11 
 250           122           10 
 249           121           11 
 248           120           12 
 249           119           13 
 249           120           12 
 249           119           13 
 248           118           14 
 249           118           13 
 248           118           14 
 247           117           15 
 248           116           15 
 248           117           14 
 248           116           15 
 247           115           16 
 248           116           15 
 247           115           16 
 246           114           17 
 247           115           16 
 247           114           17 
 247           113           17 
 247           114           18 
 247           113           17 
 247           113           18 
 246           112           19 
 247           112           19 
 246           111           19 
 245           110           20 
 246           111           21 
 246           110           21 
 245           110           22 
 246           109           21 
 245           108           22 
 244           108           23 
 245           107           22 
 244           108           23 
 244           107           24 
 243           107           24 
 244           106           25 
 244           105           25 
 243           105           26 
 244           104           25 
 243           104           26 
 242           103           27 
 243           102           26 
 243           103           27 
 243           102           28 
 242           102           28 
 243           101           28 
 242           100           29 
 241           100           30 
 242           99            29 
 241           99            30 
 240           98            31 
 241           98            31 
 241           97            32 
 240           96            33 
 241           95            34 
 240           95            34 
 239           94            35 
 240           94            35 
 239           93            36 
 238           92            37 
 238           92            36 
 239           91            37 
 238           91            37 
 237           90            38 
 238           89            39 
 237           88            39 
 237           87            40 
 236           87            41 
 237           86            41 
 237           85            42 
 236           85            43 
 237           84            44 
 236           83            44 
 235           82            45 
 236           82            46 
 235           81            46 
 235           80            47 
 234           79            48 
 235           79            48 
 234           78            49 
 233           77            50 
 234           76            51 
 233           75            51 
 232           74            52 
 233           74            53 
 232           73            53 
 231           72            54 
 231           71            55 
 231           70            56 
 230           69            57 
 229           67            58 
 230           66            59 
 230           65            60 
 229           65            60 
 229           64            61 
 228           62            62 
 228           61            63 
 227           60            64 
 226           59            65 
 226           58            66 
 225           56            67 
 226           54            69 
 225           53            70 
 224           52            71 
 224           51            72 
 223           50            73 
 223           48            75 
 222           47            76 
 221           45            78 
 221           43            79 
 220           42            81 
 220           40            82 
 219           37            84 
 218           35            86 
 218           33            87 
 217           30            90 
 216           28            92 
 215           25            94 
 213           21            97 
 208           15            102 
