{ Red  Green  Blue }
 0             0             0 
 0             0             1 
 0             1             3 
 0             1             4 
 0             1             5 
 0             1             7 
 0             2             8 
 0             2             9 
 0             2             11 
 0             2             12 
 0             3             13 
 0             3             15 
 0             3             16 
 0             3             17 
 0             4             19 
 0             4             20 
 0             4             21 
 0             5             23 
 0             5             24 
 0             5             25 
 0             5             27 
 0             6             28 
 0             6             29 
 0             6             31 
 0             6             32 
 0             7             33 
 0             7             35 
 0             7             36 
 0             7             37 
 0             8             39 
 0             8             40 
 0             8             41 
 0             9             43 
 0             9             44 
 0             9             45 
 0             9             47 
 0             10            48 
 0             10            49 
 0             12            52 
 0             16            56 
 0             19            60 
 0             23            64 
 0             27            68 
 0             31            72 
 0             34            76 
 0             38            80 
 0             42            84 
 0             45            88 
 0             49            92 
 0             53            96 
 0             57            100 
 0             60            104 
 0             64            108 
 0             68            112 
 0             72            116 
 0             75            120 
 0             79            124 
 0             83            128 
 0             87            132 
 0             90            136 
 0             94            140 
 0             98            144 
 0             101           148 
 0             105           152 
 0             109           156 
 0             113           160 
 0             116           164 
 0             120           168 
 0             124           172 
 0             128           176 
 0             131           180 
 0             135           184 
 0             139           188 
 0             143           192 
 0             146           196 
 0             150           200 
 5             153           199 
 9             155           198 
 14            158           197 
 18            160           197 
 23            163           196 
 28            165           195 
 32            168           194 
 37            170           193 
 41            173           192 
 46            175           191 
 50            178           191 
 55            180           190 
 60            183           189 
 64            185           188 
 69            188           187 
 73            190           186 
 78            193           185 
 83            195           185 
 87            198           184 
 92            200           183 
 96            203           182 
 101           205           181 
 105           208           180 
 110           210           180 
 115           213           179 
 119           216           178 
 124           218           177 
 128           221           176 
 133           223           175 
 138           226           174 
 142           228           174 
 147           231           173 
 151           233           172 
 156           236           171 
 161           239           170 
 165           241           169 
 170           244           168 
 173           245           169 
 175           245           171 
 177           246           174 
 179           246           176 
 181           246           178 
 183           246           181 
 186           247           183 
 188           247           185 
 190           247           187 
 192           248           190 
 194           248           192 
 196           248           194 
 198           248           197 
 200           249           199 
 202           249           201 
 204           249           204 
 206           249           206 
 208           250           208 
 210           250           210 
 213           250           213 
 215           250           215 
 217           251           217 
 219           251           220 
 221           251           222 
 223           252           224 
 225           252           227 
 227           252           229 
 229           252           232 
 231           253           234 
 233           253           236 
 235           253           239 
 238           253           241 
 240           254           243 
 242           254           246 
 244           254           248 
 246           254           250 
 248           255           253 
 70            120           50 
 75            118           50 
 81            116           50 
 86            114           50 
 91            111           50 
 97            109           50 
 102           107           50 
 107           105           50 
 113           103           50 
 118           101           50 
 122           102           51 
 125           105           52 
 127           107           53 
 130           110           54 
 133           113           55 
 136           116           56 
 138           118           57 
 141           121           58 
 144           124           59 
 147           127           60 
 149           129           61 
 152           132           62 
 155           135           63 
 158           138           65 
 161           141           66 
 163           143           67 
 166           146           68 
 169           149           69 
 172           152           70 
 174           154           71 
 177           157           72 
 180           160           73 
 183           163           74 
 186           166           75 
 188           168           76 
 191           171           77 
 194           174           78 
 197           177           79 
 199           179           81 
 202           182           82 
 205           185           83 
 208           188           84 
 210           190           85 
 213           193           86 
 216           196           87 
 219           199           88 
 222           202           89 
 224           204           90 
 227           207           91 
 230           210           92 
 233           213           93 
 235           215           94 
 238           218           95 
 241           221           97 
 244           224           98 
 247           227           99 
 249           229           100 
 250           230           101 
 250           230           102 
 250           231           104 
 250           231           105 
 250           231           107 
 250           231           108 
 250           231           109 
 250           232           111 
 250           232           112 
 250           232           114 
 250           232           115 
 250           233           116 
 250           233           118 
 250           233           119 
 250           233           120 
 250           233           122 
 250           234           123 
 250           234           125 
 250           234           126 
 250           234           127 
 250           234           129 
 250           235           130 
 250           235           132 
 251           235           133 
 251           235           134 
 251           235           136 
 251           236           137 
 251           236           138 
 251           236           140 
 251           236           141 
 251           237           143 
 251           237           144 
 251           237           145 
 252           237           147 
 252           237           148 
 252           238           150 
 252           238           151 
 252           238           152 
 252           238           154 
 252           239           155 
 252           239           156 
 252           239           158 
 252           239           159 
 252           240           160 
 252           240           162 
 252           240           163 
 252           240           164 
 252           241           166 
 252           241           167 
 252           241           168 
 252           242           170 
 252           242           171 
 252           242           172 
 252           242           174 
 252           243           175 
 252           243           176 
 252           243           178 
 252           243           180 
 252           244           182 
 252           244           184 
 252           244           186 
 252           245           188 
 252           245           191 
 252           245           193 
 252           246           195 
 253           246           197 
 253           246           199 
 253           247           201 
 253           247           203 
 253           247           205 
 253           248           207 
 253           248           209 
 253           248           211 
 253           249           213 
 253           249           215 
 253           249           218 
 253           250           220 
 253           250           222 
 253           250           224 
 254           251           226 
 254           251           228 
 254           251           230 
 254           251           232 
 254           252           234 
 254           252           236 
 254           252           238 
 254           253           240 
 254           253           243 
 254           253           245 
 255           254           247 
 255           254           249 
 255           254           251 
 255           255           253 
