{ Red  Green  Blue }
 96            253           0 
 98            253           1 
 99            254           4 
 96            255           3 
 97            255           1 
 105           255           0 
 108           254           0 
 110           254           0 
 111           255           0 
 114           255           1 
 115           255           2 
 119           255           2 
 120           255           2 
 122           255           0 
 124           254           0 
 128           255           0 
 132           255           1 
 133           254           0 
 135           255           0 
 139           255           0 
 140           255           1 
 143           254           1 
 144           255           0 
 147           255           2 
 149           255           0 
 150           255           0 
 153           254           0 
 158           253           0 
 161           254           0 
 163           254           0 
 164           255           1 
 166           255           0 
 170           255           0 
 172           255           0 
 175           255           0 
 179           255           0 
 182           255           0 
 183           254           0 
 187           254           0 
 188           255           0 
 189           255           0 
 192           255           0 
 194           255           1 
 196           255           2 
 199           255           0 
 201           254           0 
 205           255           0 
 207           254           0 
 211           254           0 
 213           254           0 
 214           254           0 
 217           254           0 
 219           254           1 
 221           254           1 
 224           255           1 
 225           255           1 
 227           254           0 
 228           255           0 
 232           255           0 
 234           255           0 
 235           255           0 
 239           255           0 
 242           255           0 
 245           255           0 
 248           255           1 
 249           255           1 
 253           254           0 
 255           253           0 
 255           252           1 
 255           250           0 
 254           249           0 
 255           247           0 
 255           245           0 
 254           242           0 
 255           239           1 
 255           237           0 
 255           236           0 
 255           235           0 
 255           232           0 
 255           231           0 
 255           230           0 
 255           229           0 
 255           228           0 
 254           227           0 
 255           226           0 
 254           225           0 
 255           223           0 
 255           221           0 
 254           220           0 
 254           218           0 
 253           217           0 
 254           213           0 
 253           212           0 
 254           210           0 
 253           209           0 
 254           206           0 
 254           203           0 
 255           202           0 
 255           200           1 
 255           199           0 
 255           197           0 
 254           196           0 
 255           194           1 
 255           193           0 
 255           192           0 
 255           188           0 
 255           187           0 
 254           186           0 
 255           183           0 
 255           183           1 
 255           182           0 
 255           180           1 
 254           179           0 
 255           178           0 
 254           177           0 
 255           175           0 
 255           174           2 
 255           173           1 
 255           171           0 
 255           170           0 
 255           169           1 
 255           168           0 
 255           166           0 
 255           164           1 
 255           163           0 
 255           161           1 
 255           159           0 
 255           156           1 
 255           154           0 
 255           152           1 
 255           151           0 
 255           149           1 
 255           147           2 
 255           146           1 
 255           143           2 
 255           142           1 
 255           143           2 
 255           142           1 
 255           140           1 
 255           139           0 
 255           137           1 
 254           136           0 
 255           135           0 
 254           134           0 
 255           133           0 
 255           130           1 
 253           128           0 
 255           127           0 
 255           127           2 
 252           126           3 
 251           127           3 
 251           127           5 
 250           128           5 
 248           128           6 
 247           127           7 
 246           127           9 
 244           127           11 
 244           127           13 
 243           126           12 
 242           127           12 
 241           127           13 
 239           128           13 
 239           127           15 
 238           128           17 
 235           127           18 
 235           127           19 
 234           127           21 
 233           128           21 
 232           126           24 
 230           127           24 
 229           127           26 
 227           128           27 
 228           128           30 
 227           127           29 
 226           128           31 
 225           127           30 
 224           127           32 
 222           128           32 
 222           127           33 
 221           128           33 
 220           127           32 
 218           127           34 
 218           127           36 
 217           128           38 
 217           127           39 
 216           128           41 
 215           127           40 
 213           127           40 
 213           127           42 
 212           128           42 
 211           127           41 
 209           127           43 
 209           127           45 
 208           127           46 
 208           127           48 
 206           127           50 
 205           126           49 
 204           127           49 
 204           126           51 
 203           127           51 
 201           127           52 
 200           128           54 
 199           127           55 
 197           127           57 
 196           127           58 
 195           128           58 
 194           126           61 
 192           127           61 
 192           127           63 
 191           127           63 
 190           126           64 
 186           125           62 
 184           124           62 
 183           123           63 
 182           122           62 
 181           121           61 
 180           120           60 
 178           119           61 
 177           118           60 
 176           117           59 
 175           116           58 
 174           115           57 
 171           115           58 
 170           114           57 
 169           113           56 
 168           112           55 
 166           111           57 
 165           110           56 
 164           109           55 
 163           108           54 
 162           107           53 
 160           107           53 
 159           106           54 
 158           105           53 
 157           104           52 
 156           103           51 
 155           102           50 
 154           103           50 
 152           102           53 
 151           101           52 
 150           100           51 
 149           99            50 
 146           98            49 
 145           97            48 
 145           97            49 
 144           96            48 
 143           95            47 
 142           96            47 
 141           95            46 
 140           94            45 
 139           93            44 
 136           92            47 
 135           91            46 
 134           90            45 
 133           89            44 
 132           88            43 
 130           87            44 
 129           86            43 
 128           85            42 
 127           84            41 
 126           83            40 
 124           82            40 
 123           81            39 
 122           80            38 
 122           80            40 
 121           79            39 
 118           79            38 
 117           78            39 
 116           76            40 
 115           75            39 
 114           76            39 
 113           75            38 
 112           74            37 
 109           74            36 
 108           73            35 
 107           72            34 
 105           71            34 
 104           70            33 
 103           69            34 
 102           68            33 
 102           67            35 
 101           66            34 
 99            66            33 
 98            65            32 
 98            65            34 
 97            64            33 
 96            63            30 
 96            63            32 
 95            62            31 
 92            61            30 
 91            60            29 
 91            60            31 
 90            59            30 
 88            59            29 
 87            57            29 
 86            56            28 
 83            56            27 
 82            55            28 
 82            55            26 
 84            54            26 
 79            53            26 
 78            56            33 
