{ Red  Green  Blue }
 171           0             0 
 173           0             0 
 175           0             0 
 178           0             0 
 180           0             0 
 182           0             0 
 185           0             0 
 187           0             0 
 189           0             0 
 191           0             0 
 193           0             0 
 196           0             0 
 198           0             0 
 200           0             0 
 202           0             0 
 204           0             0 
 207           0             0 
 209           0             0 
 211           0             0 
 214           0             0 
 216           0             0 
 218           0             0 
 220           0             0 
 223           0             0 
 225           0             0 
 227           0             0 
 229           0             0 
 231           0             0 
 233           0             0 
 236           0             0 
 238           0             0 
 240           0             0 
 243           0             0 
 245           0             0 
 247           0             0 
 250           0             0 
 252           0             0 
 254           0             0 
 255           1             0 
 255           3             0 
 255           5             0 
 255           8             0 
 255           10            0 
 255           12            0 
 255           15            0 
 255           17            0 
 255           19            0 
 255           22            0 
 255           24            0 
 255           26            0 
 255           28            0 
 255           30            0 
 255           32            0 
 255           35            0 
 255           37            0 
 255           39            0 
 255           42            0 
 255           44            0 
 255           46            0 
 255           49            0 
 255           51            0 
 255           53            0 
 255           55            0 
 255           57            0 
 255           59            0 
 255           62            0 
 255           64            0 
 255           66            0 
 255           69            0 
 255           71            0 
 255           73            0 
 255           76            0 
 255           78            0 
 255           80            0 
 255           82            0 
 255           84            0 
 255           86            0 
 255           89            0 
 255           91            0 
 255           93            0 
 255           96            0 
 255           98            0 
 255           100           0 
 255           103           0 
 255           105           0 
 255           107           0 
 255           109           0 
 255           111           0 
 255           113           0 
 255           116           0 
 255           118           0 
 255           120           0 
 255           123           0 
 255           125           0 
 255           127           0 
 255           130           0 
 255           132           0 
 255           134           0 
 255           136           0 
 255           138           0 
 255           140           0 
 255           143           0 
 255           145           0 
 255           147           0 
 255           150           0 
 255           152           0 
 255           154           0 
 255           157           0 
 255           159           0 
 255           161           0 
 255           163           0 
 255           165           0 
 255           167           0 
 255           170           0 
 255           172           0 
 255           174           0 
 255           177           0 
 255           179           0 
 255           181           0 
 255           184           0 
 255           186           0 
 255           188           0 
 255           190           0 
 255           192           0 
 255           194           0 
 255           197           0 
 255           199           0 
 255           202           0 
 255           204           0 
 255           206           0 
 255           208           0 
 255           211           0 
 255           213           0 
 255           215           0 
 255           217           0 
 255           219           0 
 255           222           0 
 255           224           0 
 255           226           0 
 255           229           0 
 255           231           0 
 255           233           0 
 255           235           0 
 255           238           0 
 255           240           0 
 255           242           0 
 255           244           0 
 255           246           0 
 255           249           0 
 255           251           0 
 255           253           0 
 255           255           0 
 253           255           0 
 249           255           1 
 244           255           2 
 240           255           3 
 235           255           4 
 231           255           4 
 227           255           5 
 223           255           6 
 218           255           7 
 213           255           8 
 209           255           8 
 205           255           9 
 201           255           10 
 197           255           11 
 191           255           12 
 187           255           12 
 183           255           13 
 179           255           14 
 175           255           15 
 170           255           15 
 165           255           16 
 161           255           17 
 157           255           18 
 153           255           19 
 148           255           19 
 144           255           20 
 139           255           21 
 135           255           22 
 131           255           23 
 126           255           23 
 122           255           24 
 118           255           25 
 113           255           26 
 109           255           27 
 104           255           27 
 100           255           28 
 96            255           29 
 92            255           30 
 88            255           32 
 86            254           34 
 84            254           36 
 81            254           38 
 79            253           40 
 77            253           42 
 74            252           44 
 71            252           46 
 69            252           48 
 67            251           51 
 65            251           53 
 62            250           55 
 59            250           57 
 57            250           59 
 55            249           61 
 53            249           63 
 50            248           65 
 48            248           67 
 45            248           70 
 43            247           72 
 41            247           74 
 38            246           76 
 36            246           78 
 34            246           80 
 31            245           83 
 29            245           85 
 26            244           87 
 24            244           89 
 22            244           91 
 19            243           93 
 17            243           95 
 14            242           97 
 12            242           99 
 10            242           101 
 7             241           103 
 5             241           105 
 2             240           108 
 0             240           110 
 0             236           114 
 0             232           117 
 0             228           121 
 0             224           125 
 0             219           129 
 0             215           133 
 0             210           137 
 0             206           140 
 0             202           144 
 0             198           148 
 0             193           152 
 0             189           156 
 0             185           160 
 0             181           163 
 0             177           167 
 0             173           171 
 0             168           175 
 0             164           179 
 0             160           183 
 0             156           187 
 0             151           190 
 0             147           194 
 0             142           199 
 0             138           202 
 0             134           206 
 0             130           210 
 0             126           213 
 0             122           217 
 0             117           222 
 0             113           225 
 0             109           229 
 0             105           233 
 0             101           236 
 0             97            240 
 0             91            245 
 0             87            248 
 0             83            252 
 0             80            255 
 0             78            254 
 0             76            252 
 0             73            251 
 0             71            249 
 0             69            248 
 0             67            247 
 0             65            246 
 0             63            244 
 0             60            243 
 0             58            241 
 0             56            240 
 0             54            239 
 0             52            238 
 0             50            236 
 0             48            235 
 0             46            234 
 0             44            232 
 0             42            231 
 0             40            230 
 0             38            229 
 0             35            227 
 0             33            226 
 0             31            224 
 0             29            223 
 0             27            222 
 0             25            221 
 0             22            219 
 0             20            218 
 0             18            216 
 0             16            215 
 0             14            214 
 0             12            213 
 0             10            211 
 0             8             210 
 0             6             209 
 0             4             207 
 0             2             206 
