{ Red  Green  Blue }
 52            103           0 
 54            105           1 
 55            107           2 
 57            109           2 
 59            111           3 
 61            114           4 
 63            116           5 
 65            118           5 
 66            120           6 
 68            122           7 
 70            125           8 
 72            127           8 
 74            129           9 
 76            131           10 
 77            133           10 
 79            136           11 
 81            138           12 
 83            140           13 
 85            142           13 
 87            145           14 
 88            147           15 
 90            149           16 
 92            151           16 
 94            153           17 
 96            156           18 
 98            158           19 
 99            160           19 
 101           162           20 
 103           164           21 
 105           167           22 
 107           169           22 
 109           171           23 
 110           173           24 
 112           175           24 
 114           177           25 
 116           180           26 
 118           182           27 
 120           184           27 
 121           186           28 
 123           188           29 
 125           190           29 
 127           193           30 
 129           195           31 
 132           196           35 
 135           198           39 
 137           199           43 
 140           200           46 
 144           202           51 
 147           203           55 
 150           205           59 
 152           206           63 
 155           207           67 
 158           209           71 
 162           211           76 
 164           212           80 
 167           213           84 
 170           215           87 
 173           216           91 
 176           217           95 
 179           219           100 
 182           220           104 
 185           222           108 
 188           223           112 
 191           224           116 
 194           226           120 
 197           227           125 
 200           229           128 
 203           230           132 
 206           232           136 
 209           233           140 
 211           234           144 
 215           236           149 
 218           237           153 
 221           239           157 
 223           240           161 
 226           241           165 
 229           243           169 
 233           244           173 
 236           246           177 
 238           247           181 
 241           248           185 
 244           250           189 
 247           251           193 
 250           253           198 
 253           254           202 
 255           255           203 
 255           254           202 
 255           253           200 
 255           252           199 
 254           252           197 
 254           251           195 
 254           250           194 
 254           249           192 
 254           249           191 
 254           248           189 
 254           247           187 
 254           246           186 
 253           245           184 
 253           245           183 
 253           244           181 
 253           243           180 
 253           242           178 
 253           241           176 
 253           241           175 
 252           240           173 
 252           239           172 
 252           238           170 
 252           238           168 
 252           237           167 
 252           236           165 
 252           235           164 
 252           235           162 
 251           234           161 
 251           233           159 
 251           232           157 
 251           231           156 
 251           231           154 
 251           230           153 
 251           229           151 
 251           228           149 
 250           227           148 
 250           227           146 
 250           226           145 
 250           225           143 
 250           225           142 
 250           224           140 
 250           223           138 
 250           222           137 
 249           221           135 
 249           221           134 
 249           220           132 
 249           219           130 
 249           218           129 
 249           217           127 
 249           217           126 
 248           216           124 
 248           215           123 
 248           214           121 
 248           214           119 
 248           213           118 
 248           212           116 
 248           211           115 
 248           211           113 
 247           210           111 
 247           209           110 
 247           208           108 
 247           207           107 
 247           207           105 
 247           206           104 
 247           205           102 
 247           204           100 
 246           203           99 
 246           203           97 
 246           202           96 
 246           201           94 
 246           200           92 
 246           200           91 
 246           199           89 
 246           198           88 
 245           197           86 
 245           197           84 
 245           196           83 
 245           195           81 
 245           194           80 
 245           193           78 
 245           193           76 
 244           192           75 
 244           191           73 
 244           190           72 
 244           189           70 
 243           188           69 
 240           185           67 
 237           182           66 
 233           178           64 
 229           175           63 
 226           172           62 
 223           168           61 
 220           165           59 
 216           162           58 
 212           158           56 
 209           155           55 
 206           152           54 
 203           149           52 
 200           146           51 
 196           143           50 
 192           139           48 
 189           136           47 
 186           133           46 
 183           130           44 
 180           126           43 
 176           123           42 
 172           119           40 
 169           116           39 
 166           113           38 
 163           110           36 
 160           107           35 
 156           104           34 
 152           100           32 
 149           97            31 
 146           94            30 
 143           91            28 
 140           87            27 
 136           84            26 
 132           80            24 
 129           77            23 
 126           74            22 
 123           71            20 
 119           68            19 
 116           65            18 
 112           61            16 
 109           58            15 
 106           55            14 
 103           52            12 
 102           51            12 
 102           51            11 
 102           51            10 
 102           51            9 
 102           51            8 
 102           51            7 
 102           51            6 
 102           51            5 
 102           51            4 
 102           51            3 
 102           51            2 
 102           51            1 
 102           51            0 
 102           52            1 
 104           54            4 
 106           57            7 
 108           59            10 
 110           61            13 
 112           64            16 
 113           66            19 
 115           68            22 
 117           71            25 
 119           73            28 
 121           76            31 
 122           78            34 
 124           80            37 
 126           83            40 
 128           86            43 
 130           88            46 
 131           90            49 
 133           92            52 
 135           95            55 
 137           97            58 
 139           100           61 
 140           102           64 
 142           105           67 
 144           107           70 
 146           109           73 
 147           111           76 
 150           114           79 
 151           117           82 
 153           119           85 
 155           121           88 
 156           124           91 
 158           126           94 
 160           129           97 
 162           131           100 
 164           133           103 
 165           136           106 
 167           138           109 
 169           140           112 
 171           143           115 
 173           145           118 
 175           148           121 
 176           150           124 
 178           152           127 
 180           155           130 
 182           158           133 
 184           160           136 
 185           162           139 
 187           164           142 
 189           167           145 
 191           169           148 
 193           172           151 
 194           174           154 
 196           177           157 
 198           179           160 
 200           181           163 
 201           183           166 
 203           186           169 
 205           189           172 
 207           191           175 
 209           193           178 
 210           196           181 
 212           198           184 
 214           201           187 
 216           203           190 
 218           205           193 
 219           208           196 
 221           210           199 
 223           212           202 
 225           215           205 
 227           217           208 
 229           220           211 
 230           222           214 
 232           224           217 
 234           227           220 
 236           229           223 
 238           232           226 
 239           234           229 
 241           236           232 
 243           239           235 
 244           241           237 
 247           244           241 
 248           246           244 
 250           248           247 
 252           251           250 
 254           253           253 
