{ Red  Green  Blue }
 2             1             1 
 3             2             1 
 4             3             2 
 5             3             2 
 6             4             2 
 7             4             3 
 8             5             3 
 9             5             4 
 10            6             3 
 11            6             4 
 12            7             5 
 13            8             5 
 14            8             5 
 15            9             6 
 16            10            7 
 17            10            7 
 18            11            7 
 19            12            8 
 20            12            8 
 21            13            8 
 22            13            9 
 23            14            9 
 24            14            10 
 25            15            10 
 26            15            10 
 27            16            11 
 28            17            11 
 29            18            12 
 30            18            12 
 31            19            12 
 32            20            13 
 33            20            13 
 34            21            14 
 35            22            14 
 36            23            14 
 37            23            15 
 38            24            15 
 39            24            15 
 39            25            16 
 41            25            16 
 41            26            16 
 42            26            17 
 43            27            17 
 44            27            17 
 45            28            18 
 46            28            18 
 47            29            19 
 48            29            19 
 49            30            19 
 50            31            20 
 51            31            20 
 52            32            20 
 53            32            21 
 53            33            21 
 54            33            22 
 55            34            22 
 56            34            22 
 57            35            23 
 58            36            23 
 59            36            23 
 60            37            24 
 61            37            24 
 62            38            24 
 63            39            25 
 64            40            25 
 65            40            26 
 65            41            26 
 66            42            26 
 67            42            27 
 68            43            27 
 69            43            28 
 70            44            28 
 71            44            28 
 71            45            29 
 72            45            29 
 73            46            29 
 74            47            30 
 75            47            30 
 76            48            30 
 77            48            31 
 78            49            31 
 79            49            32 
 80            50            32 
 81            50            32 
 82            51            33 
 83            52            33 
 85            52            33 
 86            53            34 
 87            54            35 
 88            54            35 
 89            55            35 
 90            55            36 
 91            56            36 
 92            57            36 
 93            58            37 
 94            58            37 
 95            59            37 
 96            60            38 
 97            60            38 
 98            61            39 
 99            62            39 
 100           63            40 
 101           63            40 
 102           64            40 
 103           64            41 
 104           65            41 
 105           65            41 
 106           66            42 
 107           66            42 
 108           67            42 
 109           68            43 
 110           68            43 
 110           69            44 
 111           69            44 
 112           69            44 
 113           70            45 
 114           71            45 
 115           71            45 
 116           72            46 
 117           72            46 
 118           73            47 
 119           73            47 
 120           74            47 
 121           75            48 
 122           75            48 
 122           76            48 
 123           77            49 
 124           77            49 
 125           78            50 
 126           79            50 
 127           79            50 
 128           80            51 
 129           80            51 
 130           81            51 
 131           82            52 
 132           82            52 
 133           83            53 
 134           83            53 
 134           84            53 
 135           84            54 
 136           85            54 
 137           86            54 
 138           86            55 
 139           87            55 
 140           87            55 
 141           88            56 
 142           88            56 
 142           89            57 
 143           89            57 
 144           90            57 
 145           90            58 
 146           91            58 
 147           92            58 
 148           92            59 
 149           93            59 
 150           93            60 
 151           94            60 
 152           94            60 
 153           95            61 
 154           96            61 
 154           97            61 
 155           98            62 
 156           98            62 
 157           99            62 
 158           99            63 
 159           100           63 
 160           100           63 
 161           101           64 
 162           102           64 
 163           102           65 
 164           103           65 
 165           103           65 
 166           104           66 
 167           104           66 
 168           105           66 
 169           105           67 
 170           106           67 
 171           107           68 
 172           107           68 
 173           108           68 
 174           108           69 
 175           108           69 
 176           109           69 
 177           110           70 
 178           110           70 
 179           111           70 
 180           111           71 
 180           112           71 
 182           112           72 
 182           113           72 
 183           114           72 
 184           114           73 
 185           115           73 
 186           115           73 
 187           116           74 
 188           116           74 
 189           117           75 
 190           118           75 
 191           119           75 
 192           119           76 
 193           120           76 
 194           121           76 
 194           121           77 
 195           122           77 
 196           122           77 
 197           123           78 
 198           123           78 
 199           124           79 
 200           125           79 
 201           125           79 
 202           126           80 
 203           126           80 
 204           127           81 
 205           127           81 
 206           128           81 
 206           128           82 
 207           129           82 
 208           129           82 
 209           130           83 
 210           131           83 
 211           131           83 
 212           132           84 
 213           132           84 
 213           133           84 
 214           133           85 
 215           134           85 
 216           135           85 
 217           135           86 
 218           136           86 
 219           136           87 
 220           137           87 
 221           138           87 
 222           139           88 
 223           139           88 
 224           140           88 
 225           140           89 
 226           141           89 
 227           142           90 
 228           143           90 
 229           143           91 
 230           144           91 
 231           144           91 
 232           145           92 
 233           146           92 
 234           146           93 
 235           146           93 
 236           147           93 
 237           147           94 
 238           148           94 
 238           149           94 
 239           149           95 
 240           150           95 
 241           150           95 
 242           151           96 
 243           151           96 
 244           152           97 
 245           152           97 
 246           153           97 
 247           154           98 
 248           154           98 
 249           155           98 
 250           156           99 
 251           157           100 
 252           158           100 
 253           158           100 
 253           159           101 
 254           160           101 
 255           160           101 
 255           161           102 
 255           162           102 
 255           162           103 
 255           163           103 
 255           163           104 
 255           164           104 
 255           165           104 
 255           165           105 
 255           166           105 
 255           167           106 
 255           168           106 
 255           168           107 
 255           169           107 
 255           170           108 
 255           171           108 
 255           171           109 
 255           172           109 
 255           173           110 
 255           174           110 
 255           175           111 
 255           176           111 
 255           177           112 
 255           178           112 
 255           178           113 
 255           179           113 
 255           180           114 
 255           181           114 
 255           181           115 
 255           182           115 
 255           183           116 
 255           184           116 
 255           184           117 
 255           185           117 
 255           186           118 
 255           187           119 
 255           188           119 
 255           189           120 
 255           190           121 
 255           191           121 
 255           191           122 
 255           192           122 
 255           193           122 
 255           194           123 
 255           195           123 
 255           196           124 
 255           197           125 
 255           198           125 
