{ Red  Green  Blue }
 1             133           52 
 2             134           51 
 3             136           50 
 4             138           49 
 5             139           48 
 7             141           46 
 8             143           45 
 9             145           44 
 10            146           43 
 11            148           41 
 12            149           40 
 14            152           39 
 15            153           37 
 16            155           36 
 17            156           35 
 18            158           34 
 20            160           33 
 21            162           31 
 22            163           30 
 23            165           29 
 24            167           28 
 26            168           26 
 27            170           25 
 28            172           24 
 29            173           22 
 31            175           21 
 32            177           20 
 33            178           19 
 34            180           18 
 35            182           16 
 37            184           15 
 38            185           14 
 39            187           13 
 40            188           11 
 41            190           10 
 43            192           9 
 44            194           8 
 45            195           6 
 46            197           5 
 47            199           4 
 48            200           3 
 50            202           1 
 51            204           0 
 55            205           2 
 60            206           5 
 64            206           8 
 68            207           10 
 74            208           13 
 78            209           16 
 82            210           18 
 87            211           21 
 91            211           23 
 95            212           26 
 101           213           29 
 105           214           32 
 110           215           34 
 114           216           37 
 118           217           39 
 123           217           42 
 128           218           45 
 133           219           48 
 137           220           50 
 141           221           53 
 146           222           55 
 150           222           58 
 155           223           61 
 160           224           64 
 164           225           66 
 168           226           69 
 173           227           71 
 177           228           74 
 183           229           77 
 187           229           80 
 191           230           82 
 196           231           85 
 200           232           87 
 204           233           90 
 210           234           93 
 214           234           96 
 219           235           98 
 223           236           101 
 227           237           103 
 232           238           106 
 237           239           109 
 241           240           112 
 244           240           113 
 244           239           112 
 244           238           111 
 244           237           111 
 244           237           110 
 244           236           110 
 244           236           109 
 244           235           109 
 244           234           108 
 244           233           107 
 244           232           106 
 244           231           106 
 244           231           105 
 244           230           104 
 244           229           103 
 244           228           103 
 244           228           102 
 244           227           102 
 244           227           101 
 244           226           101 
 244           225           100 
 244           224           99 
 244           223           98 
 244           222           98 
 244           222           97 
 244           221           97 
 244           221           96 
 244           220           96 
 244           219           95 
 244           218           94 
 244           217           93 
 244           216           93 
 244           216           92 
 244           215           92 
 244           215           91 
 244           214           91 
 244           213           90 
 244           212           89 
 244           212           88 
 244           211           88 
 244           210           87 
 244           209           86 
 244           208           85 
 244           207           85 
 244           207           84 
 244           206           84 
 244           206           83 
 244           205           83 
 244           204           82 
 244           203           81 
 244           202           80 
 244           201           80 
 244           201           79 
 244           200           79 
 244           200           78 
 244           199           78 
 244           198           77 
 244           197           76 
 244           196           75 
 244           195           75 
 244           195           74 
 244           194           73 
 244           193           72 
 244           192           72 
 244           192           71 
 244           191           71 
 244           191           70 
 244           190           70 
 244           189           69 
 243           188           69 
 242           187           68 
 240           185           68 
 239           184           68 
 238           183           67 
 237           182           67 
 236           181           67 
 235           180           66 
 234           179           66 
 233           178           66 
 232           177           66 
 231           176           65 
 230           175           65 
 229           174           65 
 227           173           64 
 226           172           64 
 225           171           64 
 224           170           63 
 223           169           63 
 222           168           63 
 221           167           62 
 220           166           62 
 219           165           62 
 218           164           62 
 217           163           61 
 216           162           61 
 215           160           61 
 214           159           60 
 213           158           60 
 212           157           60 
 211           156           59 
 209           155           59 
 208           154           59 
 207           153           58 
 206           152           58 
 205           151           58 
 204           150           58 
 203           149           57 
 202           148           57 
 201           147           57 
 200           146           56 
 199           145           56 
 198           144           56 
 197           143           55 
 195           141           55 
 194           140           55 
 193           139           55 
 192           138           54 
 191           137           54 
 190           136           54 
 189           135           53 
 188           134           53 
 187           133           53 
 186           132           52 
 185           131           52 
 184           130           52 
 183           129           51 
 182           128           51 
 180           127           51 
 179           126           51 
 178           125           50 
 177           124           50 
 176           123           50 
 175           122           49 
 174           121           49 
 173           120           49 
 172           119           48 
 171           118           48 
 170           116           48 
 169           115           47 
 168           114           47 
 167           113           47 
 166           112           47 
 165           111           46 
 163           110           46 
 162           109           46 
 161           108           45 
 160           107           45 
 159           106           45 
 158           105           44 
 157           104           44 
 156           103           44 
 155           102           44 
 154           101           43 
 153           100           44 
 154           102           46 
 156           104           49 
 157           106           51 
 158           108           54 
 159           110           56 
 160           111           59 
 162           113           61 
 163           115           64 
 164           117           66 
 165           119           69 
 167           121           71 
 168           122           74 
 169           124           76 
 170           126           79 
 171           128           81 
 173           130           84 
 174           131           86 
 175           133           88 
 176           135           91 
 177           137           94 
 179           139           96 
 180           141           99 
 181           142           101 
 182           144           103 
 183           146           106 
 185           148           109 
 186           150           111 
 187           152           114 
 188           153           116 
 189           155           118 
 190           157           121 
 192           159           124 
 193           161           126 
 194           163           129 
 195           164           131 
 196           166           133 
 198           168           136 
 199           170           139 
 200           172           141 
 201           173           144 
 203           175           146 
 204           177           148 
 205           179           151 
 206           181           154 
 207           183           156 
 209           184           158 
 210           186           161 
 211           188           163 
 212           190           166 
 213           192           169 
 215           194           171 
 216           195           173 
 217           197           176 
 218           199           178 
 219           201           181 
 221           203           184 
 222           205           186 
 223           206           188 
 224           208           191 
 225           210           193 
 226           212           196 
 228           214           199 
 229           215           201 
 230           217           203 
 231           219           206 
 232           221           208 
 234           222           211 
 235           225           214 
 236           226           216 
 237           228           218 
 238           230           221 
 240           232           223 
 241           233           225 
 242           236           228 
 243           237           231 
 245           239           233 
 246           241           236 
 247           243           238 
 248           244           240 
 249           247           243 
 251           248           246 
 252           250           248 
 253           252           251 
 254           254           253 
