{ Red  Green  Blue }
 1             128           1 
 2             128           1 
 3             129           2 
 4             129           2 
 5             129           2 
 6             129           3 
 7             129           3 
 8             129           4 
 9             129           4 
 10            130           5 
 11            130           5 
 12            130           5 
 13            130           6 
 14            130           6 
 15            130           7 
 16            131           7 
 17            131           8 
 18            131           8 
 19            131           9 
 20            131           9 
 21            131           10 
 22            132           10 
 23            132           11 
 24            132           11 
 25            132           12 
 26            132           12 
 27            132           12 
 28            133           13 
 29            133           13 
 30            133           14 
 31            133           14 
 32            133           15 
 33            133           15 
 34            133           15 
 35            134           16 
 36            134           16 
 37            134           17 
 38            134           18 
 39            134           18 
 40            135           19 
 41            135           19 
 42            135           19 
 43            135           20 
 44            135           20 
 45            135           21 
 46            135           21 
 47            136           22 
 48            136           22 
 49            136           22 
 50            136           23 
 51            136           23 
 52            136           24 
 53            137           24 
 54            137           25 
 55            137           25 
 56            137           26 
 57            137           26 
 58            137           27 
 59            138           27 
 60            138           28 
 61            138           28 
 62            138           28 
 63            138           29 
 64            138           29 
 65            139           30 
 66            139           30 
 67            139           31 
 68            139           31 
 69            139           32 
 70            139           32 
 71            139           32 
 72            140           33 
 73            140           34 
 74            140           34 
 75            140           35 
 76            140           35 
 77            141           35 
 78            141           36 
 79            141           36 
 80            141           37 
 81            141           37 
 82            141           38 
 83            141           38 
 84            142           38 
 85            142           39 
 86            142           39 
 87            142           40 
 88            142           40 
 89            142           41 
 89            143           41 
 90            143           42 
 91            143           42 
 92            143           42 
 93            143           43 
 94            143           43 
 95            143           44 
 96            144           44 
 97            144           45 
 98            144           45 
 99            144           45 
 100           144           46 
 101           144           46 
 102           144           47 
 103           145           47 
 104           145           48 
 105           145           48 
 106           145           49 
 108           145           49 
 109           146           50 
 110           146           51 
 111           146           51 
 112           146           52 
 113           146           52 
 114           147           52 
 115           147           53 
 116           147           53 
 117           147           54 
 118           147           54 
 119           147           55 
 120           147           55 
 121           148           55 
 122           148           56 
 123           148           56 
 124           148           57 
 125           148           57 
 126           148           58 
 126           149           58 
 127           149           59 
 128           149           59 
 129           149           59 
 130           149           60 
 131           149           60 
 132           149           61 
 133           150           61 
 134           150           62 
 135           150           62 
 136           150           62 
 137           150           63 
 138           150           63 
 139           150           64 
 140           151           64 
 141           151           65 
 142           151           65 
 143           151           66 
 144           151           66 
 145           152           67 
 146           152           67 
 147           152           68 
 149           152           68 
 151           152           68 
 153           152           68 
 155           152           68 
 156           153           69 
 158           153           69 
 160           153           69 
 162           153           69 
 164           153           69 
 166           153           69 
 167           153           69 
 169           154           70 
 171           154           70 
 173           154           70 
 174           154           70 
 176           154           70 
 178           154           70 
 180           155           71 
 182           155           71 
 183           155           71 
 185           155           71 
 187           155           71 
 189           155           71 
 191           155           71 
 193           156           72 
 194           156           72 
 196           156           72 
 198           156           72 
 198           157           73 
 199           158           73 
 200           160           74 
 200           161           75 
 201           162           76 
 201           163           76 
 202           164           77 
 202           165           78 
 203           166           79 
 204           168           79 
 204           169           80 
 205           170           81 
 205           171           82 
 206           172           82 
 207           173           83 
 207           175           84 
 208           176           85 
 208           177           85 
 209           178           86 
 209           179           87 
 210           180           88 
 211           182           88 
 211           183           89 
 212           184           90 
 212           185           90 
 213           186           91 
 214           187           92 
 214           189           93 
 215           190           93 
 215           191           94 
 216           192           95 
 216           193           96 
 217           194           97 
 218           195           97 
 218           197           98 
 219           198           99 
 219           199           99 
 220           200           100 
 220           201           101 
 221           202           102 
 222           204           102 
 222           205           103 
 223           206           104 
 223           207           105 
 224           208           105 
 224           209           106 
 225           211           107 
 225           212           108 
 226           213           108 
 227           214           109 
 227           215           110 
 228           216           111 
 228           218           111 
 229           219           112 
 229           220           113 
 230           221           114 
 231           222           114 
 231           223           115 
 232           224           116 
 232           226           116 
 233           227           117 
 234           228           118 
 234           229           119 
 235           230           119 
 235           231           120 
 236           233           121 
 236           234           122 
 237           235           123 
 238           236           123 
 238           237           124 
 239           238           125 
 239           237           127 
 239           235           131 
 240           232           135 
 240           230           139 
 241           227           142 
 241           225           146 
 241           223           149 
 241           221           153 
 242           218           157 
 242           216           161 
 242           213           164 
 243           211           168 
 243           209           171 
 243           207           175 
 244           204           179 
 244           202           182 
 244           200           186 
 245           197           189 
 245           195           193 
 245           193           196 
 246           190           201 
 246           188           204 
 246           186           208 
 247           183           211 
 247           181           215 
 247           179           218 
 248           176           223 
 248           174           222 
 247           173           220 
 247           171           218 
 247           170           215 
 246           168           213 
 246           166           210 
 246           164           208 
 245           163           206 
 245           161           204 
 245           159           202 
 244           158           199 
 244           156           197 
 244           154           194 
 243           153           192 
 243           151           190 
 243           149           188 
 242           148           185 
 242           146           183 
 242           144           181 
 241           143           178 
 241           141           176 
 241           139           174 
 240           138           171 
 240           136           169 
 240           134           167 
 239           133           165 
 239           131           162 
 239           129           160 
 238           127           157 
 238           126           155 
 238           124           153 
 237           122           151 
 237           121           149 
 237           119           146 
 236           117           144 
 236           116           141 
 236           114           139 
 235           112           137 
 235           111           135 
 235           109           133 
 234           107           130 
 234           106           128 
 234           104           125 
 233           102           123 
 233           101           121 
 233           99            119 
 232           97            116 
 232           95            114 
 232           94            112 
 231           92            109 
 231           91            107 
 231           89            105 
 230           87            102 
 230           85            100 
 230           84            98 
 229           82            96 
 229           81            93 
