{ Red  Green  Blue }
 3             3             252 
 5             5             250 
 6             6             249 
 7             7             248 
 9             9             246 
 11            11            244 
 12            12            243 
 14            14            241 
 15            15            240 
 16            16            239 
 18            18            237 
 20            20            235 
 21            21            234 
 23            23            232 
 24            24            231 
 25            25            230 
 27            27            228 
 29            29            226 
 30            30            225 
 32            32            223 
 33            33            222 
 34            34            221 
 36            36            219 
 38            38            217 
 39            39            216 
 41            41            214 
 42            42            213 
 43            43            212 
 45            45            210 
 47            47            208 
 48            48            207 
 50            50            205 
 51            51            204 
 52            52            203 
 54            54            201 
 55            55            200 
 57            57            198 
 58            58            197 
 60            60            195 
 61            61            194 
 62            62            193 
 64            64            191 
 66            66            189 
 67            67            188 
 69            69            186 
 70            70            185 
 71            71            184 
 73            73            182 
 75            75            180 
 76            76            179 
 78            78            177 
 79            79            176 
 80            80            175 
 82            82            173 
 84            84            171 
 85            85            170 
 87            87            168 
 88            88            167 
 89            89            166 
 91            91            164 
 93            93            162 
 94            94            161 
 96            96            159 
 97            97            158 
 98            98            157 
 100           100           155 
 102           102           153 
 103           103           152 
 105           105           150 
 106           106           149 
 107           107           148 
 109           109           146 
 111           111           144 
 112           112           143 
 114           114           141 
 115           115           140 
 116           116           139 
 118           118           137 
 120           120           135 
 121           121           134 
 123           123           132 
 124           124           131 
 125           125           130 
 127           127           128 
 129           129           126 
 130           130           125 
 132           132           123 
 133           133           122 
 134           134           121 
 136           136           119 
 138           138           117 
 139           139           116 
 140           140           115 
 142           142           113 
 143           143           112 
 145           145           110 
 146           146           109 
 148           148           107 
 149           149           106 
 151           151           104 
 152           152           103 
 153           153           102 
 155           155           100 
 157           157           98 
 158           158           97 
 160           160           95 
 161           161           94 
 162           162           93 
 164           164           91 
 166           166           89 
 167           167           88 
 169           169           86 
 170           170           85 
 171           171           84 
 173           173           82 
 175           175           80 
 176           176           79 
 178           178           77 
 179           179           76 
 180           180           75 
 182           182           73 
 183           183           72 
 185           185           70 
 186           186           69 
 188           188           67 
 189           189           66 
 191           191           64 
 192           192           63 
 194           194           61 
 195           195           60 
 197           197           58 
 198           198           57 
 200           200           55 
 201           201           54 
 203           203           52 
 204           204           51 
 206           206           49 
 207           207           48 
 209           209           46 
 210           210           45 
 212           212           43 
 213           213           42 
 215           215           40 
 216           216           39 
 218           218           37 
 219           219           36 
 221           221           34 
 222           222           33 
 224           224           31 
 225           225           30 
 227           227           28 
 228           228           27 
 230           230           25 
 231           231           24 
 233           233           22 
 234           234           21 
 236           236           19 
 237           237           18 
 239           239           16 
 240           240           15 
 242           242           13 
 243           243           12 
 245           245           10 
 246           246           9 
 248           248           7 
 249           249           6 
 251           251           4 
 252           252           3 
 254           254           1 
 255           255           0 
 255           253           0 
 255           252           0 
 255           250           0 
 255           249           0 
 255           247           0 
 255           246           0 
 255           244           0 
 255           243           0 
 255           241           0 
 255           240           0 
 255           238           0 
 255           237           0 
 255           235           0 
 255           234           0 
 255           232           0 
 255           231           0 
 255           229           0 
 255           228           0 
 255           226           0 
 255           225           0 
 255           223           0 
 255           222           0 
 255           220           0 
 255           219           0 
 255           217           0 
 255           216           0 
 255           214           0 
 255           213           0 
 255           211           0 
 255           210           0 
 255           208           0 
 255           207           0 
 255           205           0 
 255           204           0 
 255           202           0 
 255           201           0 
 255           199           0 
 255           198           0 
 255           196           0 
 255           195           0 
 255           193           0 
 255           192           0 
 255           190           0 
 255           189           0 
 255           187           0 
 255           186           0 
 255           184           0 
 255           183           0 
 255           181           0 
 255           180           0 
 255           179           0 
 255           177           0 
 255           175           0 
 255           174           0 
 255           172           0 
 255           171           0 
 255           170           0 
 255           168           0 
 255           166           0 
 255           165           0 
 255           164           0 
 255           162           0 
 255           161           0 
 255           159           0 
 255           157           0 
 255           156           0 
 255           155           0 
 255           153           0 
 255           152           0 
 255           150           0 
 255           149           0 
 255           147           0 
 255           146           0 
 255           144           0 
 255           143           0 
 255           141           0 
 255           140           0 
 255           138           0 
 255           137           0 
 255           136           0 
 255           134           0 
 255           133           0 
 255           131           0 
 255           129           0 
 255           128           0 
 255           127           0 
 255           125           0 
 255           124           0 
 255           122           0 
 255           120           0 
 255           119           0 
 255           118           0 
 255           116           0 
 255           115           0 
 255           113           0 
 255           111           0 
 255           110           0 
 255           109           0 
 255           107           0 
 255           106           0 
 255           104           0 
 255           102           0 
 255           101           0 
 255           100           0 
 255           98            0 
 255           97            0 
 255           95            0 
 255           93            0 
 255           92            0 
 255           91            0 
 255           89            0 
 255           88            0 
 255           86            0 
 255           84            0 
 255           83            0 
 255           82            0 
 255           80            0 
 255           79            0 
 255           77            0 
 255           75            0 
 255           74            0 
 255           73            0 
 255           71            0 
 255           70            0 
 255           68            0 
 255           66            0 
 255           65            0 
 255           64            0 
 255           62            0 
 255           61            0 
 255           59            0 
 255           57            0 
 255           56            0 
 255           55            0 
 255           53            0 
 255           52            0 
 255           51            0 
 255           49            0 
 255           47            0 
 255           46            0 
 255           45            0 
 255           43            0 
 255           42            0 
 255           40            0 
 255           38            0 
 255           37            0 
 255           36            0 
 255           34            0 
 255           33            0 
 255           31            0 
 255           29            0 
 255           28            0 
 255           27            0 
 255           25            0 
 255           24            0 
 255           22            0 
 255           20            0 
 255           19            0 
 255           18            0 
 255           16            0 
 255           15            0 
 255           13            0 
 255           11            0 
 255           10            0 
 255           9             0 
 255           7             0 
 255           6             0 
 255           4             0 
 255           2             0 
