{ Red  Green  Blue }
 0             194           184 
 0             195           182 
 0             195           179 
 0             196           176 
 0             197           173 
 0             198           170 
 0             199           167 
 0             200           165 
 0             201           162 
 0             202           159 
 0             203           157 
 0             204           154 
 0             205           151 
 0             206           148 
 0             207           146 
 0             208           143 
 0             209           140 
 0             210           137 
 0             211           134 
 0             211           131 
 0             212           129 
 0             213           126 
 0             214           123 
 0             215           120 
 0             216           117 
 0             217           115 
 0             218           112 
 0             219           109 
 0             220           106 
 0             221           103 
 0             222           100 
 0             223           98 
 0             224           95 
 0             225           92 
 0             225           90 
 0             226           87 
 0             227           84 
 0             228           81 
 0             229           78 
 0             230           76 
 0             231           73 
 0             232           70 
 0             233           67 
 0             234           64 
 0             235           62 
 0             235           59 
 0             236           56 
 0             237           54 
 0             238           50 
 0             239           47 
 0             240           45 
 0             241           42 
 0             242           39 
 0             243           37 
 0             244           33 
 0             245           31 
 0             246           28 
 0             247           26 
 0             248           23 
 0             249           20 
 0             250           17 
 0             251           14 
 0             252           11 
 0             252           9 
 0             253           6 
 0             254           3 
 0             255           0 
 3             255           0 
 6             255           0 
 10            255           0 
 13            255           0 
 17            255           0 
 21            255           0 
 25            255           0 
 28            255           0 
 32            255           0 
 35            255           0 
 39            255           0 
 43            255           0 
 47            255           0 
 51            255           0 
 54            255           0 
 58            255           0 
 62            255           0 
 66            255           0 
 69            255           0 
 73            255           0 
 77            255           0 
 80            255           0 
 84            255           0 
 88            255           0 
 92            255           0 
 95            255           0 
 99            255           0 
 103           255           0 
 106           255           0 
 111           255           0 
 114           255           0 
 118           255           0 
 121           255           0 
 125           255           0 
 129           255           0 
 133           255           0 
 137           255           0 
 140           255           0 
 144           255           0 
 148           255           0 
 151           255           0 
 155           255           0 
 159           255           0 
 163           255           0 
 166           255           0 
 169           255           0 
 173           255           0 
 177           255           0 
 181           255           0 
 185           255           0 
 188           255           0 
 192           255           0 
 196           255           0 
 200           255           0 
 204           255           0 
 207           255           0 
 211           255           0 
 214           255           0 
 218           255           0 
 222           255           0 
 226           255           0 
 230           255           0 
 233           255           0 
 237           255           0 
 240           255           0 
 245           255           0 
 248           255           0 
 252           255           0 
 255           255           0 
 255           254           0 
 255           252           0 
 255           250           0 
 255           248           0 
 255           246           0 
 255           244           0 
 255           242           0 
 255           241           0 
 255           239           0 
 255           237           0 
 255           235           0 
 255           233           0 
 255           231           0 
 255           229           0 
 255           227           0 
 255           225           0 
 255           224           0 
 255           222           0 
 255           220           0 
 255           218           0 
 255           216           0 
 255           214           0 
 255           212           0 
 255           210           0 
 255           209           0 
 255           207           0 
 255           205           0 
 255           203           0 
 255           201           0 
 255           199           0 
 255           197           0 
 255           196           0 
 255           194           0 
 255           192           0 
 255           190           0 
 255           188           0 
 255           186           0 
 255           184           0 
 255           182           0 
 255           180           0 
 255           178           0 
 255           177           0 
 255           175           0 
 255           173           0 
 255           171           0 
 255           169           0 
 255           167           0 
 255           165           0 
 255           164           0 
 255           162           0 
 255           160           0 
 255           158           0 
 255           157           0 
 255           155           0 
 255           153           0 
 255           151           0 
 255           149           0 
 255           147           0 
 255           145           0 
 255           143           0 
 255           142           0 
 255           140           0 
 255           138           0 
 255           136           0 
 255           134           0 
 255           132           0 
 255           130           0 
 255           129           0 
 255           127           0 
 254           127           1 
 253           127           2 
 252           127           3 
 251           127           4 
 250           127           5 
 249           127           6 
 248           127           7 
 247           127           8 
 246           127           9 
 245           127           10 
 244           127           11 
 243           127           12 
 242           127           13 
 241           127           14 
 240           127           15 
 239           127           15 
 238           127           16 
 237           127           17 
 236           127           18 
 236           127           19 
 235           127           20 
 234           127           21 
 233           127           22 
 232           127           23 
 231           127           24 
 230           127           25 
 229           127           26 
 228           127           27 
 227           127           27 
 226           127           28 
 225           127           29 
 224           127           30 
 223           127           31 
 222           127           32 
 222           127           33 
 221           127           34 
 219           127           35 
 219           127           36 
 218           127           37 
 217           127           38 
 216           127           39 
 215           127           39 
 214           127           41 
 213           127           41 
 212           127           42 
 211           127           43 
 210           127           44 
 209           127           45 
 208           127           46 
 207           127           47 
 206           127           48 
 206           127           49 
 205           127           50 
 204           127           51 
 203           127           52 
 202           127           52 
 201           127           53 
 200           127           54 
 199           127           55 
 198           127           56 
 197           127           57 
 196           127           58 
 196           127           59 
 195           127           59 
 194           127           60 
 193           127           61 
 191           127           62 
 189           126           63 
 187           124           62 
 185           123           61 
 182           121           61 
 180           120           60 
 177           118           59 
 174           116           59 
 172           115           58 
 170           113           58 
 167           112           57 
 165           110           56 
 162           109           56 
 159           107           55 
 157           106           54 
 155           104           54 
 153           102           53 
 150           101           53 
 147           99            52 
 145           98            51 
 142           96            51 
 140           95            50 
 138           93            49 
 135           92            49 
 132           90            48 
 130           88            47 
 127           87            47 
 125           85            46 
 123           84            46 
 120           83            45 
 117           80            44 
 115           79            44 
 112           78            43 
 110           76            42 
 108           75            42 
 105           73            41 
 102           72            40 
 100           70            40 
 97            68            39 
 95            67            39 
 93            65            38 
 90            64            37 
 87            62            37 
 85            60            36 
 82            59            35 
 80            57            35 
 78            56            34 
 75            54            34 
 72            53            33 
 70            51            32 
 67            49            32 
 65            48            31 
 63            46            30 
 60            45            30 
 57            43            29 
 55            42            28 
 52            40            28 
 50            39            27 
 47            37            27 
 45            36            26 
 42            34            25 
 40            32            25 
 37            31            24 
 35            29            23 
 32            28            23 
 30            26            22 
 28            24            22 
 25            23            21 
