{ Red  Green  Blue }
 253           204           1 
 252           204           1 
 250           204           1 
 249           204           2 
 248           205           2 
 247           205           2 
 245           205           3 
 244           205           3 
 243           205           4 
 242           205           4 
 240           205           5 
 239           205           5 
 238           205           6 
 236           206           6 
 235           206           7 
 234           206           7 
 233           206           7 
 231           206           8 
 230           206           8 
 229           206           9 
 227           206           9 
 226           206           10 
 225           206           10 
 224           207           11 
 222           207           11 
 221           207           12 
 220           207           12 
 219           207           12 
 217           207           13 
 216           207           13 
 215           207           14 
 213           207           14 
 212           208           15 
 211           208           15 
 210           208           16 
 209           208           16 
 207           208           16 
 206           208           17 
 205           208           17 
 203           208           18 
 202           208           18 
 201           209           19 
 199           209           19 
 198           209           20 
 197           209           20 
 196           209           21 
 194           209           21 
 193           209           21 
 192           209           22 
 190           209           22 
 189           210           23 
 188           210           23 
 187           210           24 
 185           210           24 
 184           210           25 
 183           210           25 
 182           210           25 
 180           210           26 
 179           210           26 
 178           211           27 
 176           211           27 
 175           211           28 
 174           211           28 
 173           211           29 
 171           211           29 
 170           211           29 
 169           211           30 
 168           211           30 
 166           212           31 
 165           212           31 
 164           212           32 
 162           212           32 
 161           212           33 
 160           212           33 
 159           212           34 
 157           212           34 
 156           212           34 
 155           213           35 
 153           213           35 
 152           213           36 
 151           213           36 
 150           213           37 
 149           213           37 
 147           213           38 
 146           213           38 
 145           213           39 
 143           214           39 
 142           214           39 
 141           214           40 
 139           214           40 
 138           214           41 
 137           214           41 
 136           214           42 
 134           214           42 
 133           214           43 
 132           215           43 
 131           215           44 
 129           215           44 
 128           215           44 
 127           215           45 
 126           215           45 
 124           215           46 
 123           215           46 
 122           215           47 
 120           216           47 
 119           216           48 
 118           216           48 
 116           216           48 
 115           216           49 
 114           216           49 
 113           216           50 
 112           216           50 
 110           216           51 
 109           216           51 
 108           217           52 
 106           217           52 
 105           217           52 
 104           217           53 
 103           217           53 
 101           217           54 
 100           217           54 
 99            217           55 
 97            217           55 
 96            218           56 
 95            218           56 
 93            218           56 
 92            218           57 
 91            218           57 
 90            218           58 
 89            218           58 
 87            218           59 
 86            218           59 
 85            219           60 
 83            219           60 
 82            219           61 
 81            219           61 
 80            219           61 
 78            219           62 
 77            219           62 
 76            219           63 
 75            219           63 
 73            220           64 
 72            220           64 
 71            220           65 
 69            220           65 
 68            220           66 
 67            220           66 
 66            220           66 
 64            220           67 
 63            220           67 
 62            221           68 
 60            221           68 
 59            221           69 
 58            221           69 
 57            221           70 
 55            221           70 
 54            221           70 
 53            221           71 
 52            221           71 
 50            222           72 
 49            222           72 
 48            222           73 
 46            222           73 
 45            222           74 
 44            222           74 
 43            222           74 
 41            222           75 
 40            222           75 
 39            223           76 
 38            223           76 
 37            223           77 
 35            223           77 
 34            223           78 
 33            223           78 
 31            223           79 
 30            223           79 
 29            223           79 
 28            224           80 
 26            224           80 
 25            224           81 
 24            224           81 
 22            224           82 
 21            224           82 
 20            224           83 
 19            224           83 
 18            224           83 
 16            225           84 
 15            225           84 
 14            225           85 
 12            225           85 
 11            225           86 
 10            225           86 
 8             225           87 
 7             225           87 
 6             225           88 
 5             226           88 
 3             226           88 
 2             226           89 
 1             226           89 
 0             225           90 
 0             224           90 
 0             223           90 
 0             221           91 
 1             219           91 
 1             217           91 
 1             216           91 
 1             214           91 
 1             213           92 
 2             211           92 
 2             209           92 
 2             208           92 
 2             206           93 
 2             205           93 
 3             203           93 
 3             202           93 
 3             200           93 
 3             198           94 
 3             197           94 
 3             195           94 
 4             193           94 
 4             192           95 
 4             190           95 
 4             188           95 
 4             187           95 
 5             185           95 
 5             184           96 
 5             182           96 
 5             180           96 
 5             179           96 
 5             177           97 
 6             176           97 
 6             174           97 
 6             173           97 
 6             171           97 
 6             169           98 
 7             168           98 
 7             166           98 
 7             164           98 
 7             163           99 
 7             161           99 
 8             159           99 
 8             158           99 
 8             156           99 
 8             155           100 
 8             153           100 
 8             151           100 
 9             150           100 
 9             148           101 
 9             147           101 
 9             145           101 
 9             144           101 
 10            142           101 
 10            140           102 
 10            139           102 
 10            137           102 
 10            135           102 
 10            134           103 
 11            132           103 
 11            130           103 
 11            129           103 
 11            127           103 
 11            126           104 
 12            124           104 
 12            122           104 
 12            121           104 
 12            119           105 
 12            118           105 
 13            116           105 
 13            115           105 
 13            113           105 
 13            111           106 
 13            109           106 
 13            108           106 
 14            106           106 
 14            105           106 
 14            103           107 
 14            101           107 
 14            100           107 
 15            98            107 
 15            97            108 
 15            95            108 
 15            93            108 
 15            92            108 
 16            90            109 
 16            89            109 
 16            87            109 
 16            85            109 
 16            84            109 
 16            82            110 
 17            80            110 
 17            79            110 
 17            77            110 
 17            76            110 
 17            74            111 
 18            72            111 
 18            71            111 
 18            69            111 
 18            68            112 
 18            66            112 
 19            64            112 
 19            63            112 
 19            61            112 
 19            60            113 
 19            58            113 
 19            56            113 
 20            54            113 
 20            53            114 
 20            51            114 
 20            50            114 
 20            48            114 
 21            47            114 
 21            45            115 
 21            43            115 
 21            42            115 
 21            40            115 
 21            39            116 
 22            37            116 
 22            35            116 
 22            34            116 
 22            32            116 
 22            30            117 
 23            29            117 
 23            27            117 
 23            25            117 
 23            24            118 
 23            22            118 
 23            21            118 
 24            19            118 
 24            18            118 
 24            16            119 
 24            14            119 
 24            13            119 
 25            11            119 
 25            10            120 
 25            8             120 
 25            6             120 
 25            5             120 
 26            3             120 
 26            2             121 
