{ Red  Green  Blue }
 139           102           255 
 137           102           255 
 135           102           255 
 133           102           255 
 131           102           255 
 129           102           255 
 127           102           255 
 125           102           255 
 123           102           255 
 121           102           255 
 119           102           255 
 117           102           255 
 115           102           255 
 113           102           255 
 111           102           255 
 109           102           255 
 107           102           255 
 105           102           255 
 103           102           255 
 102           103           255 
 102           105           255 
 102           107           255 
 102           109           255 
 102           111           255 
 102           113           255 
 102           115           255 
 102           117           255 
 102           119           255 
 102           121           255 
 102           123           255 
 102           125           255 
 102           127           255 
 102           129           255 
 102           131           255 
 102           133           255 
 102           135           255 
 102           137           255 
 102           139           255 
 102           141           255 
 102           143           255 
 102           145           255 
 102           148           255 
 102           150           255 
 102           152           255 
 102           154           255 
 102           156           255 
 102           158           255 
 102           160           255 
 102           162           255 
 102           164           255 
 102           166           255 
 102           168           255 
 102           170           255 
 102           172           255 
 102           174           255 
 102           176           255 
 102           178           255 
 102           180           255 
 102           182           255 
 102           185           255 
 102           187           255 
 102           189           255 
 102           190           255 
 102           192           255 
 102           194           255 
 102           197           255 
 102           199           255 
 102           201           255 
 102           203           255 
 102           204           255 
 102           206           255 
 102           209           255 
 102           211           255 
 102           213           255 
 102           215           255 
 102           217           255 
 102           218           255 
 102           221           255 
 102           223           255 
 102           225           255 
 102           227           255 
 102           229           255 
 102           231           255 
 102           233           255 
 102           235           255 
 102           237           255 
 102           239           255 
 102           241           255 
 102           243           255 
 102           245           255 
 102           247           255 
 102           249           255 
 102           251           255 
 102           253           255 
 102           255           255 
 102           255           253 
 102           255           251 
 102           255           249 
 102           255           247 
 102           255           245 
 102           255           243 
 102           255           241 
 102           255           239 
 102           255           237 
 102           255           235 
 102           255           233 
 102           255           231 
 102           255           229 
 102           255           227 
 102           255           225 
 102           255           223 
 102           255           221 
 102           255           219 
 102           255           217 
 102           255           215 
 102           255           213 
 102           255           211 
 102           255           209 
 102           255           207 
 102           255           205 
 102           255           203 
 102           255           201 
 102           255           199 
 102           255           197 
 102           255           195 
 102           255           193 
 102           255           191 
 102           255           189 
 102           255           187 
 102           255           185 
 102           255           183 
 102           255           181 
 102           255           179 
 102           255           177 
 102           255           175 
 102           255           173 
 102           255           171 
 102           255           168 
 102           255           166 
 102           255           164 
 102           255           162 
 102           255           160 
 102           255           158 
 102           255           156 
 102           255           154 
 102           255           152 
 102           255           150 
 102           255           148 
 102           255           146 
 102           255           143 
 102           255           141 
 102           255           139 
 102           255           138 
 102           255           136 
 102           255           134 
 102           255           131 
 102           255           129 
 102           255           127 
 102           255           125 
 102           255           124 
 102           255           122 
 102           255           119 
 102           255           117 
 102           255           115 
 102           255           113 
 102           255           111 
 102           255           110 
 102           255           107 
 102           255           105 
 102           255           103 
 103           255           102 
 105           255           102 
 107           255           102 
 109           255           102 
 111           255           102 
 113           255           102 
 115           255           102 
 117           255           102 
 119           255           102 
 121           255           102 
 123           255           102 
 125           255           102 
 127           255           102 
 129           255           102 
 131           255           102 
 133           255           102 
 135           255           102 
 137           255           102 
 139           255           102 
 141           255           102 
 143           255           102 
 145           255           102 
 147           255           102 
 149           255           102 
 151           255           102 
 153           255           102 
 155           255           102 
 158           255           102 
 160           255           102 
 162           255           102 
 164           255           102 
 166           255           102 
 168           255           102 
 170           255           102 
 172           255           102 
 174           255           102 
 176           255           102 
 178           255           102 
 180           255           102 
 182           255           102 
 184           255           102 
 186           255           102 
 188           255           102 
 190           255           102 
 192           255           102 
 194           255           102 
 196           255           102 
 198           255           102 
 200           255           102 
 202           255           102 
 204           255           102 
 206           255           102 
 208           255           102 
 210           255           102 
 212           255           102 
 214           255           102 
 216           255           102 
 255           254           166 
 255           252           166 
 255           251           166 
 255           249           166 
 255           248           166 
 255           246           166 
 255           245           166 
 255           243           166 
 255           242           166 
 255           240           166 
 255           239           166 
 255           237           166 
 255           235           166 
 255           234           166 
 255           232           166 
 255           231           166 
 255           230           166 
 255           228           166 
 255           226           166 
 255           225           166 
 255           223           166 
 255           222           166 
 255           220           166 
 255           219           166 
 255           217           166 
 255           215           166 
 255           214           166 
 255           212           166 
 255           211           166 
 255           209           166 
 255           207           166 
 255           206           166 
 255           204           166 
 255           203           166 
 255           201           166 
 255           200           166 
 255           198           166 
 255           196           166 
 255           195           166 
 255           193           166 
 255           192           166 
 255           190           166 
 255           188           166 
 255           187           166 
 255           185           166 
 255           184           166 
 255           182           166 
 255           181           166 
 255           179           166 
 255           177           166 
 255           176           166 
 255           174           166 
 255           173           166 
 255           171           166 
 255           169           166 
 255           168           166 
 255           166           166 
 255           167           168 
 255           167           169 
 255           168           171 
 255           169           173 
 255           169           174 
 255           170           176 
 255           171           178 
 255           171           179 
 255           172           181 
 255           173           183 
 255           174           185 
 255           174           186 
 255           175           188 
 255           176           190 
 255           176           191 
 255           177           193 
 255           178           195 
 255           178           196 
 255           179           198 
 255           180           199 
 255           180           201 
 255           181           202 
 255           182           203 
 255           182           205 
 255           183           206 
 255           183           207 
 255           184           209 
 255           185           210 
 255           185           211 
 255           186           213 
 255           187           214 
 255           187           215 
 255           188           216 
 255           189           218 
 255           189           219 
 255           190           221 
 255           190           222 
 255           191           223 
 255           192           224 
 255           193           225 
 255           193           226 
 255           194           227 
 255           195           228 
 255           195           229 
 255           196           230 
 255           197           232 
 255           197           233 
 255           198           234 
 255           199           235 
 255           199           236 
 255           200           237 
 255           201           238 
 255           201           239 
 255           202           240 
 255           203           241 
 255           203           242 
