{ Red  Green  Blue }
 71            119           54 
 74            123           55 
 76            124           55 
 78            125           54 
 80            127           55 
 83            129           55 
 85            130           56 
 87            132           55 
 89            133           56 
 91            135           56 
 93            136           56 
 96            138           56 
 98            139           56 
 100           141           56 
 102           142           56 
 104           144           56 
 106           145           56 
 108           147           56 
 111           149           55 
 113           150           56 
 115           151           57 
 116           153           56 
 119           154           57 
 122           156           57 
 123           158           57 
 125           159           57 
 127           160           57 
 130           162           57 
 132           163           57 
 134           165           57 
 136           166           57 
 138           168           57 
 141           169           56 
 143           171           57 
 145           172           58 
 147           174           57 
 149           176           58 
 152           177           58 
 154           179           58 
 156           180           58 
 158           181           58 
 160           183           58 
 163           185           58 
 165           186           58 
 167           188           58 
 169           189           58 
 171           191           57 
 173           192           58 
 176           194           58 
 178           195           59 
 180           196           58 
 182           198           59 
 184           199           59 
 186           201           59 
 189           203           59 
 191           204           59 
 193           205           59 
 195           207           59 
 197           208           59 
 199           210           59 
 202           212           59 
 204           213           58 
 206           214           59 
 208           216           60 
 210           217           59 
 212           219           60 
 215           221           60 
 217           222           60 
 219           223           60 
 221           225           60 
 222           226           60 
 225           227           60 
 228           230           60 
 229           231           60 
 231           232           60 
 234           234           59 
 236           235           60 
 238           236           61 
 240           238           60 
 242           240           61 
 244           241           61 
 247           243           61 
 249           244           60 
 251           245           61 
 253           245           60 
 253           242           60 
 252           240           59 
 252           237           58 
 251           234           58 
 252           231           57 
 252           228           56 
 251           225           56 
 252           222           55 
 251           219           55 
 250           216           54 
 251           214           53 
 251           211           53 
 250           207           52 
 251           205           51 
 250           202           51 
 249           199           50 
 250           197           50 
 250           193           49 
 249           190           48 
 250           187           48 
 249           185           47 
 248           182           46 
 249           179           46 
 249           176           45 
 248           173           44 
 249           170           44 
 248           168           43 
 247           165           43 
 248           162           42 
 248           159           41 
 247           156           41 
 248           153           40 
 247           150           39 
 246           147           39 
 247           145           38 
 247           142           38 
 246           138           37 
 247           136           36 
 246           133           36 
 245           130           35 
 246           127           35 
 246           124           34 
 246           121           33 
 245           118           33 
 246           115           32 
 245           113           31 
 244           110           31 
 245           107           30 
 245           104           29 
 244           101           29 
 245           98            28 
 244           96            27 
 243           93            27 
 244           89            26 
 244           87            25 
 243           84            25 
 244           81            24 
 243           78            23 
 242           75            23 
 243           72            22 
 243           70            21 
 242           66            21 
 243           64            20 
 242           61            19 
 241           58            19 
 242           56            18 
 242           52            17 
 241           49            17 
 242           47            16 
 241           44            16 
 240           41            15 
 241           38            14 
 241           35            14 
 240           32            13 
 241           30            12 
 240           27            12 
 239           24            11 
 240           21            10 
 240           18            10 
 240           15            9 
 239           12            8 
 240           10            8 
 239           7             7 
 238           4             7 
 239           1             6 
 237           0             6 
 234           1             7 
 233           1             8 
 230           1             9 
 227           2             10 
 225           3             11 
 223           3             12 
 220           4             13 
 218           4             13 
 216           5             14 
 213           6             15 
 210           6             16 
 208           7             17 
 206           7             18 
 203           8             19 
 201           9             20 
 198           9             21 
 196           10            22 
 193           10            23 
 191           11            24 
 188           11            25 
 186           12            26 
 184           13            27 
 181           13            28 
 178           14            29 
 176           14            29 
 174           15            30 
 171           16            31 
 169           16            32 
 166           17            33 
 164           17            34 
 161           18            35 
 159           19            36 
 157           19            37 
 154           20            37 
 151           20            38 
 149           21            39 
 147           21            40 
 144           22            41 
 142           23            42 
 140           23            43 
 136           24            44 
 134           24            45 
 132           25            46 
 130           25            47 
 127           26            48 
 125           27            49 
 122           27            50 
 119           28            51 
 118           28            52 
 115           29            52 
 113           30            53 
 110           30            54 
 107           31            55 
 105           31            56 
 103           32            57 
 100           33            58 
 98            33            59 
 96            34            60 
 93            34            61 
 90            35            62 
 88            36            62 
 85            36            63 
 83            37            64 
 81            37            65 
 78            38            66 
 75            39            67 
 73            39            68 
 70            40            69 
 68            41            70 
 66            41            71 
 63            42            72 
 60            42            73 
 58            43            73 
 56            44            74 
 53            44            75 
 51            45            76 
 49            45            77 
 46            46            78 
 43            47            79 
 41            47            79 
 38            48            80 
 36            49            81 
 34            49            82 
 31            50            83 
 28            50            84 
 29            51            84 
 32            52            83 
 34            52            83 
 37            53            82 
 40            54            81 
 42            55            81 
 45            56            80 
 47            56            80 
 50            57            79 
 52            58            78 
 55            59            78 
 58            60            77 
 60            60            77 
 62            61            76 
 65            62            75 
 68            62            75 
 70            63            74 
 73            64            74 
 76            65            73 
 78            65            72 
 80            66            72 
 84            67            71 
 86            68            70 
 88            69            70 
 91            69            69 
 93            70            69 
 96            71            68 
 98            72            67 
 102           73            67 
 104           73            66 
 107           74            65 
 109           75            65 
 112           76            64 
 114           76            63 
 117           77            63 
 120           78            62 
 122           79            62 
 124           79            61 
 127           80            60 
 130           81            60 
 133           82            59 
 135           82            58 
 138           83            58 
 140           84            57 
 143           85            56 
 145           85            56 
 148           86            55 
 151           87            55 
 153           88            54 
 156           88            53 
 158           89            53 
 161           90            52 
 164           91            51 
 166           92            51 
 168           92            50 
 171           93            49 
 173           94            49 
 176           94            48 
 179           95            48 
 182           96            47 
 183           97            46 
 186           97            46 
 188           98            45 
 191           99            45 
 194           100           44 
 197           100           43 
 199           101           43 
 201           102           42 
 204           102           41 
 206           103           41 
 209           104           40 
 212           105           40 
 214           106           39 
 217           106           38 
 219           107           38 
 222           108           37 
 225           109           36 
 227           109           36 
 230           110           35 
 232           111           35 
 235           112           34 
 237           112           33 
 240           113           33 
 239           112           32 
