{ Red  Green  Blue }
 239           36            64 
 243           38            66 
 242           40            66 
 241           42            66 
 242           44            66 
 241           47            66 
 240           49            66 
 241           51            66 
 241           53            66 
 240           55            66 
 240           57            66 
 239           60            66 
 238           62            66 
 239           64            66 
 239           66            66 
 238           68            66 
 237           70            66 
 238           72            66 
 237           75            66 
 236           77            66 
 237           79            66 
 236           81            66 
 235           82            66 
 236           85            66 
 235           88            66 
 234           89            66 
 235           91            66 
 234           93            66 
 233           95            66 
 234           98            66 
 233           100           66 
 232           102           66 
 233           104           66 
 232           106           66 
 231           108           66 
 232           110           66 
 231           113           66 
 230           115           66 
 231           117           66 
 230           119           66 
 229           121           66 
 230           123           66 
 229           126           66 
 228           128           66 
 229           130           66 
 228           132           66 
 228           134           66 
 227           136           66 
 228           138           66 
 227           141           66 
 226           143           66 
 227           145           66 
 226           147           66 
 225           149           66 
 226           151           66 
 225           154           66 
 225           156           66 
 224           158           66 
 225           160           66 
 224           162           66 
 223           164           65 
 224           167           66 
 223           169           65 
 222           171           64 
 223           173           65 
 222           175           65 
 221           177           65 
 222           179           65 
 222           182           65 
 221           184           65 
 220           186           65 
 221           188           65 
 220           189           65 
 219           192           65 
 220           194           65 
 219           196           65 
 218           198           65 
 219           200           65 
 218           202           65 
 217           205           65 
 217           207           65 
 218           209           65 
 217           211           65 
 217           213           64 
 215           214           65 
 213           215           68 
 210           216           70 
 208           216           72 
 206           216           74 
 203           217           76 
 200           218           79 
 198           217           81 
 195           218           83 
 193           219           85 
 190           219           87 
 188           219           89 
 185           220           92 
 182           220           94 
 180           220           96 
 177           221           98 
 175           222           100 
 173           222           102 
 169           222           105 
 167           223           107 
 165           223           109 
 162           223           112 
 160           224           114 
 157           225           116 
 154           224           118 
 152           225           121 
 149           225           123 
 147           226           125 
 144           227           127 
 142           226           129 
 139           227           131 
 136           228           134 
 134           228           136 
 132           228           138 
 129           229           140 
 127           230           141 
 124           230           144 
 122           231           147 
 119           230           148 
 117           231           150 
 114           232           152 
 112           232           155 
 109           233           157 
 106           232           159 
 104           233           161 
 102           233           164 
 99            234           166 
 97            234           168 
 94            235           170 
 91            236           172 
 89            236           175 
 86            237           177 
 84            236           179 
 81            237           181 
 78            237           183 
 76            238           186 
 74            239           188 
 71            239           190 
 69            239           192 
 66            240           194 
 63            240           197 
 61            241           199 
 59            241           201 
 56            241           203 
 54            242           205 
 51            243           207 
 49            243           209 
 46            244           212 
 43            243           214 
 41            244           216 
 38            244           218 
 36            245           220 
 34            246           222 
 30            246           225 
 28            247           227 
 26            247           229 
 23            248           231 
 21            247           233 
 18            248           235 
 15            249           238 
 13            249           240 
 11            249           242 
 8             250           244 
 6             251           246 
 3             251           248 
 0             252           251 
 0             250           251 
 0             247           250 
 0             246           249 
 0             244           248 
 0             241           247 
 0             238           247 
 0             236           246 
 0             234           245 
 0             231           244 
 0             229           243 
 0             227           242 
 0             224           241 
 0             222           240 
 0             219           239 
 0             217           239 
 0             215           238 
 0             212           237 
 0             209           236 
 0             207           235 
 0             205           234 
 0             202           233 
 0             200           232 
 1             198           231 
 0             195           230 
 1             193           230 
 1             190           229 
 1             188           228 
 1             186           227 
 1             183           226 
 1             180           226 
 1             178           225 
 1             176           224 
 1             173           223 
 1             171           222 
 1             169           221 
 1             166           220 
 1             164           219 
 1             161           218 
 1             159           217 
 1             157           217 
 1             154           216 
 1             152           215 
 1             149           214 
 1             147           213 
 1             145           212 
 1             142           211 
 1             140           210 
 1             138           210 
 1             135           209 
 1             132           208 
 1             131           207 
 1             128           206 
 1             126           205 
 1             123           204 
 1             121           204 
 1             118           203 
 1             116           202 
 1             114           201 
 1             111           200 
 1             108           199 
 1             106           198 
 1             104           197 
 1             101           197 
 1             99            196 
 1             97            195 
 1             94            194 
 1             91            193 
 1             89            192 
 1             87            191 
 1             84            191 
 1             82            190 
 1             79            189 
 1             77            188 
 1             75            187 
 1             72            186 
 1             70            186 
 1             67            185 
 1             65            184 
 1             62            183 
 1             60            182 
 1             57            181 
 1             55            180 
 1             53            180 
 1             50            179 
 1             48            178 
 0             45            177 
 2             46            175 
 5             49            173 
 8             51            171 
 11            53            169 
 14            56            166 
 17            58            164 
 20            61            162 
 23            63            160 
 26            66            158 
 29            68            156 
 32            71            154 
 35            73            152 
 38            76            151 
 41            77            149 
 43            80            147 
 46            83            144 
 50            85            142 
 53            87            140 
 56            90            138 
 59            92            136 
 61            94            134 
 64            98            132 
 68            100           130 
 70            102           128 
 73            104           126 
 76            107           124 
 79            109           122 
 82            112           120 
 85            115           117 
 88            117           115 
 91            119           113 
 94            122           111 
 97            124           109 
 100           126           107 
 103           129           105 
 106           132           103 
 109           134           101 
 111           136           99 
 114           139           97 
 118           141           95 
 121           144           92 
 124           146           90 
 126           149           88 
 129           151           86 
 132           153           84 
 135           156           82 
 139           159           80 
 142           161           78 
 144           164           76 
 147           166           74 
 150           168           72 
 153           171           70 
 156           174           67 
 159           176           65 
 162           178           63 
 165           181           61 
 168           183           59 
 170           185           57 
 174           188           55 
 177           191           53 
 180           192           51 
 183           195           50 
 185           198           48 
 188           199           46 
 191           202           43 
 195           205           41 
 198           207           39 
 200           210           37 
 203           212           35 
 206           214           33 
 209           217           31 
 213           220           29 
 215           222           27 
 218           224           25 
 221           227           23 
 224           229           21 
 227           232           19 
 230           234           17 
 233           237           15 
 236           239           13 
 239           241           11 
 242           244           9 
 245           247           6 
 244           245           4 
