{ Red  Green  Blue }
 3             3             3 
 5             5             5 
 6             6             6 
 7             7             7 
 9             9             9 
 11            11            11 
 12            12            12 
 14            14            14 
 15            15            15 
 16            16            16 
 18            18            18 
 20            20            20 
 21            21            21 
 23            23            23 
 24            24            24 
 25            25            25 
 27            27            27 
 29            29            29 
 30            30            30 
 32            32            32 
 33            33            33 
 34            34            34 
 36            36            36 
 38            38            38 
 39            39            39 
 41            41            41 
 42            42            42 
 43            43            43 
 45            45            45 
 47            47            47 
 48            48            48 
 50            50            50 
 51            51            51 
 52            52            52 
 54            54            54 
 55            55            55 
 57            57            57 
 58            58            58 
 60            60            60 
 61            61            61 
 62            62            62 
 64            64            64 
 66            66            66 
 67            67            67 
 69            69            69 
 70            70            70 
 71            71            71 
 73            73            73 
 75            75            75 
 76            76            76 
 78            78            78 
 79            79            79 
 80            80            80 
 82            82            82 
 84            84            84 
 85            85            85 
 87            87            87 
 88            88            88 
 89            89            89 
 91            91            91 
 93            93            93 
 94            94            94 
 96            96            96 
 97            97            97 
 98            98            98 
 100           100           100 
 102           102           102 
 103           103           103 
 105           105           105 
 106           106           106 
 107           107           107 
 109           109           109 
 111           111           111 
 112           112           112 
 114           114           114 
 115           115           115 
 116           116           116 
 118           118           118 
 120           120           120 
 121           121           121 
 123           123           123 
 124           124           124 
 125           125           125 
 127           127           127 
 129           129           129 
 130           130           130 
 132           132           132 
 133           133           133 
 134           134           134 
 136           136           136 
 138           138           138 
 139           139           139 
 140           140           140 
 142           142           142 
 143           143           143 
 145           145           145 
 146           146           146 
 148           148           148 
 149           149           149 
 151           151           151 
 152           152           152 
 153           153           153 
 155           155           155 
 157           157           157 
 158           158           158 
 160           160           160 
 161           161           161 
 162           162           162 
 164           164           164 
 166           166           166 
 167           167           167 
 169           169           169 
 170           170           170 
 171           171           171 
 173           173           173 
 175           175           175 
 176           176           176 
 178           178           178 
 179           179           179 
 180           180           180 
 182           182           182 
 183           183           183 
 185           185           185 
 186           186           186 
 188           188           188 
 189           189           189 
 191           191           191 
 192           192           192 
 194           194           194 
 195           195           195 
 197           197           197 
 198           198           198 
 200           200           200 
 201           201           201 
 203           203           203 
 204           204           204 
 206           206           206 
 207           207           207 
 209           209           209 
 210           210           210 
 212           212           212 
 213           213           213 
 215           215           215 
 216           216           216 
 218           218           218 
 219           219           219 
 221           221           221 
 222           222           222 
 224           224           224 
 225           225           225 
 227           227           227 
 228           228           228 
 230           230           230 
 231           231           231 
 233           233           233 
 234           234           234 
 236           236           236 
 237           237           237 
 239           239           239 
 240           240           240 
 242           242           242 
 243           243           243 
 245           245           245 
 246           246           246 
 248           248           248 
 249           249           249 
 251           251           251 
 252           252           252 
 254           254           254 
 255           255           255 
 253           253           253 
 252           252           252 
 250           250           250 
 249           249           249 
 247           247           247 
 246           246           246 
 244           244           244 
 243           243           243 
 241           241           241 
 240           240           240 
 238           238           238 
 237           237           237 
 235           235           235 
 234           234           234 
 232           232           232 
 231           231           231 
 229           229           229 
 228           228           228 
 226           226           226 
 225           225           225 
 223           223           223 
 222           222           222 
 220           220           220 
 219           219           219 
 217           217           217 
 216           216           216 
 214           214           214 
 213           213           213 
 211           211           211 
 210           210           210 
 208           208           208 
 207           207           207 
 205           205           205 
 204           204           204 
 202           202           202 
 201           201           201 
 199           199           199 
 198           198           198 
 196           196           196 
 195           195           195 
 193           193           193 
 192           192           192 
 190           190           190 
 189           189           189 
 187           187           187 
 186           186           186 
 184           184           184 
 183           183           183 
 181           181           181 
 180           180           180 
 179           179           179 
 177           177           177 
 175           175           175 
 174           174           174 
 172           172           172 
 171           171           171 
 170           170           170 
 168           168           168 
 166           166           166 
 165           165           165 
 164           164           164 
 162           162           162 
 161           161           161 
 159           159           159 
 157           157           157 
 156           156           156 
 155           155           155 
 153           153           153 
 152           152           152 
 150           150           150 
 149           149           149 
 147           147           147 
 146           146           146 
 144           144           144 
 143           143           143 
 141           141           141 
 140           140           140 
 138           138           138 
 137           137           137 
 136           136           136 
 134           134           134 
 133           133           133 
 131           131           131 
 129           129           129 
 128           128           128 
 127           127           127 
 125           125           125 
 124           124           124 
 122           122           122 
 120           120           120 
 119           119           119 
 118           118           118 
 116           116           116 
 115           115           115 
 113           113           113 
 111           111           111 
 110           110           110 
 109           109           109 
 107           107           107 
 106           106           106 
 104           104           104 
 102           102           102 
 101           101           101 
 100           100           100 
 98            98            98 
 97            97            97 
 95            95            95 
 93            93            93 
 92            92            92 
 91            91            91 
 89            89            89 
 88            88            88 
 86            86            86 
 84            84            84 
 83            83            83 
 82            82            82 
 80            80            80 
 79            79            79 
 77            77            77 
 75            75            75 
 74            74            74 
 73            73            73 
 71            71            71 
 70            70            70 
 68            68            68 
 66            66            66 
 65            65            65 
 64            64            64 
 62            62            62 
 61            61            61 
 59            59            59 
 57            57            57 
 56            56            56 
 55            55            55 
 53            53            53 
 52            52            52 
 51            51            51 
 49            49            49 
 47            47            47 
 46            46            46 
 45            45            45 
 43            43            43 
 42            42            42 
 40            40            40 
 38            38            38 
 37            37            37 
 36            36            36 
 34            34            34 
 33            33            33 
 31            31            31 
 29            29            29 
 28            28            28 
 27            27            27 
 25            25            25 
 24            24            24 
 22            22            22 
 20            20            20 
 19            19            19 
 18            18            18 
 16            16            16 
 15            15            15 
 13            13            13 
 11            11            11 
 10            10            10 
 9             9             9 
 7             7             7 
 6             6             6 
 4             4             4 
 2             2             2 
 0             0             0 
