{ Red  Green  Blue }
 0             5             255 
 0             7             255 
 0             9             255 
 0             12            255 
 0             14            255 
 0             16            255 
 0             19            255 
 0             21            255 
 0             23            255 
 0             25            255 
 0             27            255 
 0             30            255 
 0             32            255 
 0             34            255 
 0             36            255 
 0             39            255 
 0             41            255 
 0             43            255 
 0             46            255 
 0             48            255 
 0             50            255 
 0             52            255 
 0             54            255 
 0             56            255 
 0             59            255 
 0             61            255 
 0             63            255 
 0             66            255 
 0             68            255 
 0             70            255 
 0             73            255 
 0             75            255 
 0             77            255 
 0             79            255 
 0             81            255 
 0             83            255 
 0             86            255 
 0             88            255 
 0             90            255 
 0             92            255 
 0             95            255 
 0             97            255 
 0             99            255 
 0             101           255 
 0             103           255 
 0             105           255 
 0             107           255 
 0             110           255 
 0             112           255 
 0             114           255 
 0             116           255 
 0             119           255 
 0             121           255 
 0             123           255 
 0             126           255 
 0             128           255 
 0             130           255 
 0             132           255 
 0             134           255 
 0             137           255 
 0             139           255 
 0             141           255 
 0             143           255 
 0             146           255 
 0             148           255 
 0             150           255 
 0             153           255 
 0             155           255 
 0             157           255 
 0             159           255 
 0             161           255 
 0             163           255 
 0             166           255 
 0             168           255 
 0             170           255 
 0             172           255 
 0             175           255 
 0             177           255 
 0             180           255 
 0             182           255 
 0             184           255 
 0             186           255 
 0             188           255 
 0             190           255 
 0             193           255 
 0             195           255 
 0             197           255 
 0             199           255 
 0             202           255 
 0             204           255 
 0             206           255 
 0             209           255 
 0             211           255 
 0             213           255 
 0             215           255 
 0             217           255 
 0             220           255 
 0             222           255 
 0             224           255 
 0             226           255 
 0             229           255 
 0             231           255 
 0             233           255 
 0             236           255 
 0             238           255 
 0             240           255 
 0             242           255 
 0             244           255 
 0             247           255 
 0             249           255 
 0             251           255 
 0             253           255 
 0             255           255 
 2             255           253 
 4             255           251 
 6             255           249 
 9             255           246 
 11            255           244 
 13            255           242 
 15            255           240 
 17            255           238 
 20            255           235 
 22            255           233 
 24            255           231 
 26            255           229 
 29            255           226 
 31            255           224 
 33            255           222 
 36            255           219 
 37            255           218 
 39            255           216 
 41            255           214 
 44            255           211 
 46            255           209 
 48            255           207 
 50            255           205 
 53            255           202 
 55            255           200 
 57            255           198 
 60            255           195 
 62            255           193 
 64            255           191 
 66            255           189 
 68            255           187 
 71            255           184 
 73            255           182 
 75            255           180 
 77            255           178 
 80            255           175 
 82            255           173 
 84            255           171 
 87            255           168 
 89            255           166 
 91            255           164 
 93            255           162 
 95            255           160 
 98            255           157 
 100           255           155 
 102           255           153 
 104           255           151 
 106           255           149 
 109           255           146 
 111           255           144 
 113           255           142 
 116           255           139 
 118           255           137 
 120           255           135 
 122           255           133 
 124           255           131 
 127           255           128 
 129           255           126 
 131           255           124 
 133           255           122 
 136           255           119 
 138           255           117 
 140           255           115 
 143           255           112 
 145           255           110 
 147           255           108 
 149           255           106 
 151           255           104 
 154           255           101 
 156           255           99 
 158           255           97 
 160           255           95 
 163           255           92 
 165           255           90 
 167           255           88 
 170           255           85 
 172           255           83 
 174           255           81 
 176           255           79 
 178           255           77 
 181           255           74 
 183           255           72 
 185           255           70 
 187           255           68 
 190           255           65 
 192           255           63 
 194           255           61 
 197           255           58 
 199           255           56 
 201           255           54 
 203           255           52 
 205           255           50 
 207           255           48 
 210           255           45 
 212           255           43 
 214           255           41 
 216           255           39 
 219           255           36 
 221           255           34 
 223           255           32 
 226           255           29 
 227           255           28 
 229           255           26 
 231           255           24 
 234           255           21 
 236           255           19 
 238           255           17 
 240           255           15 
 243           255           12 
 245           255           10 
 247           255           8 
 250           255           5 
 252           255           3 
 254           255           1 
 255           255           0 
 255           253           0 
 255           250           0 
 255           248           0 
 255           246           0 
 255           244           0 
 255           242           0 
 255           239           0 
 255           237           0 
 255           234           0 
 255           232           0 
 255           230           0 
 255           228           0 
 255           226           0 
 255           223           0 
 255           221           0 
 255           219           0 
 255           217           0 
 255           215           0 
 255           212           0 
 255           210           0 
 255           208           0 
 255           205           0 
 255           203           0 
 255           201           0 
 255           199           0 
 255           197           0 
 255           194           0 
 255           192           0 
 255           190           0 
 255           188           0 
 255           185           0 
 255           183           0 
 255           181           0 
 255           178           0 
 255           176           0 
 255           174           0 
 255           172           0 
 255           170           0 
 255           167           0 
 255           165           0 
 255           163           0 
 255           161           0 
 255           158           0 
 255           156           0 
 255           154           0 
 255           152           0 
 255           149           0 
 255           147           0 
 255           145           0 
 255           143           0 
 255           140           0 
 255           138           0 
 255           136           0 
 255           134           0 
 255           132           0 
 255           129           0 
 255           127           0 
 255           125           0 
 255           122           0 
 255           120           0 
 255           118           0 
 255           116           0 
 255           113           0 
 255           111           0 
 255           109           0 
 255           107           0 
 255           105           0 
 255           102           0 
 255           100           0 
 255           98            0 
 255           95            0 
 255           94            0 
 255           92            0 
 255           89            0 
 255           87            0 
 255           85            0 
 255           83            0 
 255           81            0 
 255           78            0 
 255           76            0 
 255           74            0 
 255           71            0 
 255           69            0 
 255           67            0 
 255           65            0 
 255           63            0 
 255           60            0 
 255           58            0 
 255           56            0 
 255           54            0 
 255           51            0 
 255           49            0 
 255           47            0 
 255           45            0 
 255           42            0 
 255           40            0 
 255           38            0 
 255           36            0 
 255           33            0 
 255           31            0 
 255           29            0 
 255           27            0 
 255           25            0 
 255           22            0 
 255           20            0 
 255           18            0 
 255           15            0 
 255           13            0 
 255           11            0 
 255           9             0 
 255           6             0 
 255           4             0 
